seqno,timestamp,lost,rtt
0,1764014400467533640,0,24012352
1,1764014400477920341,0,21338708
2,1764014400487734243,0,24177858
3,1764014400497958644,0,21074984
4,1764014400508251746,0,23041367
5,1764014400517541747,0,21383778
6,1764014400527440548,0,23383355
7,1764014400537848250,0,21000295
8,1764014400547488251,0,27347830
9,1764014400567160354,0,23626156
10,1764014400577445456,0,21073271
11,1764014400587501757,0,23168016
12,1764014400597446359,0,25241788
13,1764014400607374860,0,23154639
14,1764014400617382762,0,20952586
15,1764014400627355263,0,23945758
16,1764014400637502065,0,21821095
17,1764014400647464666,0,23410069
18,1764014400657655767,0,25936782
19,1764014400667826669,0,24325649
20,1764014400677588970,0,21130170
21,1764014400687731872,0,23806509
22,1764014400697434773,0,26832790
23,1764014400707610475,0,23575086
24,1764014400717482276,0,22905283
25,1764014400727698478,0,26972915
26,1764014400737701679,0,26347839
27,1764014400747670981,0,26641386
28,1764014400757740682,0,22511644
29,1764014400767576484,0,25990551
30,1764014400777909585,0,22337270
31,1764014400787876287,0,24304376
32,1764014400797522388,0,26334651
33,1764014400807684289,0,24591443
34,1764014400817405091,0,22659631
35,1764014400827393292,0,24832945
36,1764014400837515794,0,22638225
37,1764014400847341495,0,24962047
38,1764014400857425097,0,22709980
39,1764014400867637298,0,20366079
40,1764014400877624800,0,22568350
41,1764014400887411401,0,24847249
42,1764014400897454203,0,22710444
43,1764014400907710004,0,24117330
44,1764014400917578706,0,23096879
45,1764014400927613807,0,25038777
46,1764014400937552009,0,26935192
47,1764014400947796310,0,24676447
48,1764014400957568911,0,26795841
49,1764014400967618213,0,24583216
50,1764014400977739114,0,22635980
51,1764014400987491616,0,25019322
52,1764014400997493317,0,22352719
53,1764014401007647219,0,24420356
54,1764014401017392120,0,29720580
55,1764014401027498322,0,22865473
56,1764014401037307923,0,26582641
57,1764014401047323525,0,24552368
58,1764014401057444026,0,29717532
59,1764014401067500628,0,28680668
60,1764014401077461729,0,26775418
61,1764014401087479230,0,23162791
62,1764014401097396932,0,29463007
63,1764014401107425733,0,24270671
64,1764014401117522435,0,22211370
65,1764014401127464336,0,24401026
66,1764014401137577238,0,25104537
67,1764014401147626739,0,24218702
68,1764014401157606241,0,22063385
69,1764014401167811442,0,22563037
70,1764014401177646944,0,20861825
71,1764014401187565245,0,24343312
72,1764014401197553847,0,22176256
73,1764014401207616848,0,26926529
74,1764014401217593250,0,21118978
75,1764014401227529651,0,24411534
76,1764014401237520452,0,22207882
77,1764014401247550254,0,23182625
78,1764014401257551855,0,22251723
79,1764014401267516357,0,20413577
80,1764014401277540358,0,22341049
81,1764014401287550960,0,23501871
82,1764014401297754661,0,22777934
83,1764014401307535563,0,24709503
84,1764014401317527464,0,22614496
85,1764014401327852866,0,27172658
86,1764014401337717467,0,22579028
87,1764014401347431069,0,25158758
88,1764014401357519370,0,26001597
89,1764014401367760172,0,20138554
90,1764014401377547573,0,22376399
91,1764014401387563974,0,24722949
92,1764014401397640076,0,25479302
93,1764014401407554577,0,24939853
94,1764014401417670379,0,22569108
95,1764014401427445280,0,28605382
96,1764014401437675282,0,25989129
97,1764014401447656683,0,24567989
98,1764014401457575885,0,22662859
99,1764014401467518286,0,24822040
100,1764014401477482888,0,22650762
101,1764014401487877189,0,24430941
102,1764014401497596491,0,25931796
103,1764014401507620892,0,24649992
104,1764014401517569694,0,22451962
105,1764014401527556395,0,29050489
106,1764014401537672596,0,19267737
107,1764014401547624598,0,24455418
108,1764014401557445999,0,22618551
109,1764014401567761601,0,24139681
110,1764014401577539302,0,26337221
111,1764014401587334004,0,23572655
112,1764014401597491805,0,22659081
113,1764014401607555607,0,24523973
114,1764014401617407008,0,27789084
115,1764014401627524110,0,25228785
116,1764014401637462011,0,22370299
117,1764014401647668613,0,24961321
118,1764014401657683114,0,25743991
119,1764014401667627016,0,24579079
120,1764014401677743017,0,22286514
121,1764014401687675918,0,23003882
122,1764014401697718620,0,21996181
123,1764014401707631621,0,21221670
124,1764014401717564523,0,19403438
125,1764014401727523624,0,24290139
126,1764014401737374226,0,22306321
127,1764014401747832527,0,35297023
128,1764014401757469929,0,25684271
129,1764014401767481530,0,24423581
130,1764014401777517932,0,22201001
131,1764014401787500633,0,28307680
132,1764014401807316336,0,24696513
133,1764014401817609237,0,22055958
134,1764014401827516739,0,23274739
135,1764014401837612140,0,26206329
136,1764014401847673242,0,24124043
137,1764014401857629643,0,21939850
138,1764014401867707045,0,23333780
139,1764014401877488146,0,21480915
140,1764014401887552848,0,24540824
141,1764014401897571849,0,22476334
142,1764014401907404051,0,23433486
143,1764014401917529852,0,27118179
144,1764014401927706854,0,24258675
145,1764014401937367155,0,22531936
146,1764014401947644057,0,27688729
147,1764014401957457458,0,27511388
148,1764014401967904060,0,24558049
149,1764014401978205261,0,20389271
150,1764014401987522962,0,23392106
151,1764014401997941664,0,21084204
152,1764014402007728265,0,24874753
153,1764014402017489467,0,21902493
154,1764014402037140270,0,23549815
155,1764014402047965171,0,23025217
156,1764014402058172273,0,24862578
157,1764014402067481174,0,23553774
158,1764014402077607276,0,22793875
159,1764014402087579477,0,23413791
160,1764014402097385478,0,22150952
161,1764014402107715680,0,24712934
162,1764014402117543081,0,23179325
163,1764014402128005183,0,23987060
164,1764014402137811484,0,20980096
165,1764014402147920686,0,24489775
166,1764014402157605087,0,25328143
167,1764014402168110189,0,24415168
168,1764014402177878390,0,22440202
169,1764014402187386792,0,24972551
170,1764014402197768293,0,26262664
171,1764014402208206095,0,23596340
172,1764014402217851696,0,23181474
173,1764014402227645598,0,25489049
174,1764014402237637299,0,21368511
175,1764014402247464800,0,23739621
176,1764014402257572002,0,22561551
177,1764014402267454003,0,21782803
178,1764014402277674005,0,21126266
179,1764014402288010806,0,24532942
180,1764014402297523008,0,25614244
181,1764014402307383409,0,24364783
182,1764014402317492311,0,21627383
183,1764014402327647812,0,24647406
184,1764014402337339614,0,21718231
185,1764014402347567215,0,23714265
186,1764014402357685017,0,22611101
187,1764014402367621618,0,24669876
188,1764014402377841820,0,21005361
189,1764014402387962821,0,24437708
190,1764014402397797823,0,26191266
191,1764014402407490324,0,25521524
192,1764014402417628225,0,23528980
193,1764014402427566627,0,23878529
194,1764014402437485128,0,26974829
195,1764014402447699430,0,25831823
196,1764014402457787931,0,22056651
197,1764014402468193233,0,23467134
198,1764014402477577834,0,22692491
199,1764014402487332036,0,24928392
200,1764014402497677737,0,25451037
201,1764014402507960038,0,22985852
202,1764014402518049640,0,22552475
203,1764014402527754341,0,27274055
204,1764014402537522842,0,26511597
205,1764014402547486843,0,25127373
206,1764014402557558344,0,25660069
207,1764014402567880746,0,19911193
208,1764014402577205147,0,21706223
209,1764014402587863848,0,24369512
210,1764014402597475249,0,25578284
211,1764014402617007152,0,22912685
212,1764014402627569853,0,23222599
213,1764014402637246654,0,25177080
214,1764014402647229855,0,24220164
215,1764014402657518456,0,21967702
216,1764014402667402958,0,27241315
217,1764014402677318059,0,26013083
218,1764014402687326260,0,24226514
219,1764014402697361461,0,21447259
220,1764014402707540662,0,23065652
221,1764014402717466164,0,21869640
222,1764014402727491965,0,24450549
223,1764014402737517766,0,21229213
224,1764014402747967867,0,23099176
225,1764014402757539668,0,22305153
226,1764014402767528470,0,24655586
227,1764014402777473771,0,26035514
228,1764014402787447872,0,23544065
229,1764014402797664273,0,22307972
230,1764014402807538774,0,23298096
231,1764014402817474176,0,27105461
232,1764014402827951777,0,24259791
233,1764014402837567978,0,22331128
234,1764014402847601279,0,23533956
235,1764014402857741080,0,22207674
236,1764014402867534782,0,23821401
237,1764014402877472583,0,26100423
238,1764014402887910084,0,22904799
239,1764014402897710585,0,25966307
240,1764014402907629286,0,22972165
241,1764014402917664988,0,21366210
242,1764014402927659989,0,23779579
243,1764014402937539090,0,21339523
244,1764014402947314491,0,27340474
245,1764014402957490892,0,21053533
246,1764014402967465194,0,23598758
247,1764014402977506395,0,20720874
248,1764014402987494396,0,24116143
249,1764014402997426697,0,22026763
250,1764014403007393598,0,22969173
251,1764014403017579000,0,20986895
252,1764014403027548101,0,23998046
253,1764014403037594402,0,22377721
254,1764014403047844603,0,22877218
255,1764014403057633904,0,21088358
256,1764014403067658106,0,25103312
257,1764014403077786707,0,25350606
258,1764014403087907608,0,28230273
259,1764014403097611409,0,22758400
260,1764014403107562710,0,23090411
261,1764014403117673412,0,25416377
262,1764014403127660313,0,29602242
263,1764014403137741314,0,22265826
264,1764014403147607015,0,23311647
265,1764014403157403016,0,26714171
266,1764014403167347618,0,25320806
267,1764014403177498319,0,23954030
268,1764014403188194520,0,23058067
269,1764014403197549621,0,25303289
270,1764014403207811923,0,28491200
271,1764014403217530724,0,23157651
272,1764014403227346825,0,24400474
273,1764014403237560526,0,25031969
274,1764014403247594427,0,25451676
275,1764014403257542128,0,21812763
276,1764014403267757430,0,27394597
277,1764014403277325931,0,21722042
278,1764014403287901332,0,24813680
279,1764014403297666933,0,25634967
280,1764014403308052635,0,23120427
281,1764014403317777236,0,21105076
282,1764014403327954437,0,23369305
283,1764014403337565138,0,25223450
284,1764014403347348939,0,24371309
285,1764014403357353140,0,21673165
286,1764014403367339042,0,23162468
287,1764014403377384243,0,21209475
288,1764014403387420244,0,24150394
289,1764014403397438345,0,20801746
290,1764014403407494446,0,24282085
291,1764014403417445848,0,21495446
292,1764014403427391649,0,23520021
293,1764014403437458950,0,20868227
294,1764014403447411551,0,24267866
295,1764014403457452852,0,22146143
296,1764014403467503654,0,22833841
297,1764014403477552455,0,21022745
298,1764014403487536756,0,24058716
299,1764014403497520157,0,21628058
300,1764014403507507158,0,23178070
301,1764014403517591360,0,20881142
302,1764014403527372161,0,24236315
303,1764014403537599062,0,20971472
304,1764014403547531963,0,24039362
305,1764014403557545365,0,21383128
306,1764014403567579666,0,22647958
307,1764014403577532767,0,24969164
308,1764014403587472668,0,23543012
