seqno,timestamp,lost,rtt
0,1764966686617772257,0,19.072257
1,1764966686628148443,0,28.280595
2,1764966686638072429,0,27.122701
3,1764966686648083216,0,44.597593
4,1764966686657789902,0,34.929115
5,1764966686667837088,0,37.114431
6,1764966686678021474,0,36.004431
7,1764966686688150860,0,28.979334
8,1764966686698101746,0,19.056254
9,1764966686708091233,0,41.357918
10,1764966686717950219,0,44.067516
11,1764966686728092105,0,45.722893
12,1764966686737977991,0,50.556763
13,1764966686748062177,0,40.510224
14,1764966686757990764,0,42.831012
15,1764966686767674450,0,33.186737
16,1764966686777512537,0,23.354956
17,1764966686788199322,0,17.194297
18,1764966686797590409,0,19.196918
19,1764966686808096694,0,29.798539
20,1764966686817866781,0,43.693362
21,1764966686828094767,0,33.503364
22,1764966686837746953,0,23.859638
23,1764966686848164539,0,24.292395
24,1764966686857673426,0,26.591312
25,1764966686868069411,0,24.209677
26,1764966686877982898,0,18.080787
27,1764966686887561284,0,28.486154
28,1764966686897613471,0,18.455029
29,1764966686907603957,0,28.654782
30,1764966686917600243,0,26.366635
31,1764966686927660129,0,24.310711
32,1764966686937443515,0,30.581861
33,1764966686947643601,0,32.202643
34,1764966686957684687,0,77.929184
35,1764966686967707074,0,100.180836
36,1764966686977711260,0,90.222022
37,1764966686987761746,0,80.175365
38,1764966686997916932,0,70.024137
39,1764966687007744218,0,60.170683
40,1764966687017894504,1,
41,1764966687027682591,1,
42,1764966687037744377,1,
43,1764966687047736163,1,
44,1764966687057795849,0,20.447115
45,1764966687067553536,0,38.340247
46,1764966687077766221,0,28.151075
47,1764966687087768408,0,23.622053
48,1764966687098020493,0,44.587272
49,1764966687107797980,0,34.784594
50,1764966687117870066,0,24.730642
51,1764966687127661252,0,37.110641
52,1764966687138058538,0,26.729604
53,1764966687148029624,0,32.109717
54,1764966687157581211,0,33.107862
55,1764966687167815997,0,22.901749
56,1764966687177623983,0,35.801413
57,1764966687187686569,0,35.809533
58,1764966687198126055,0,29.92736
59,1764966687208080341,0,37.20799
60,1764966687218408927,0,26.93246
61,1764966687228203313,0,31.923213
62,1764966687238030500,0,33.022088
63,1764966687248072586,0,23.009767
64,1764966687257987072,0,33.876185
65,1764966687267822659,0,35.503442
66,1764966687277855145,0,36.81993
67,1764966687287525431,0,36.89163
68,1764966687297747317,0,31.459163
69,1764966687307811303,0,21.370219
70,1764966687318082889,0,22.121531
71,1764966687328077275,0,22.637846
72,1764966687338056162,0,35.534044
73,1764966687348169248,0,25.464308
74,1764966687357948934,0,26.179127
75,1764966687368054720,0,25.510657
76,1764966687377937506,0,26.954836
77,1764966687387813493,0,32.37549
78,1764966687398292578,0,32.565411
79,1764966687407979165,0,22.9081
80,1764966687417919651,0,23.38052
81,1764966687428051137,0,25.020269
82,1764966687437402624,0,26.22419
83,1764966687448129209,0,25.289026
84,1764966687457585396,0,26.592491
85,1764966687468054082,0,31.940995
86,1764966687478145668,0,32.708039
87,1764966687487832054,0,23.050188
88,1764966687498072740,0,28.720933
89,1764966687507430227,0,35.24624
90,1764966687517915713,0,24.79028
91,1764966687527794699,0,26.789173
92,1764966687538223685,0,26.078548
93,1764966687548067671,0,31.923384
94,1764966687557939158,0,32.911412
95,1764966687567930644,0,22.950162
96,1764966687578090330,0,33.553953
97,1764966687587709616,0,23.952188
98,1764966687597590403,0,24.540336
99,1764966687607682189,0,25.072877
100,1764966687617669475,0,25.668779
101,1764966687627460561,0,31.769762
102,1764966687637633447,0,32.261239
103,1764966687647626934,0,32.977654
104,1764966687657583720,0,23.041272
105,1764966687667448506,0,23.968812
106,1764966687677630492,0,24.492837
107,1764966687687671078,0,24.942917
108,1764966687697683264,0,25.980893
109,1764966687707702750,0,32.096179
110,1764966687717691937,0,32.985203
111,1764966687727771523,0,22.916742
112,1764966687737706809,0,34.96077
113,1764966687747682495,0,35.959763
114,1764966687757883081,0,36.147392
115,1764966687767931067,0,26.128169
116,1764966687778322753,0,26.219784
117,1764966687788114939,0,32.139784
118,1764966687797981226,0,33.065344
119,1764966687807786712,0,23.271657
120,1764966687817771998,0,34.830921
121,1764966687827525485,0,36.28354
122,1764966687837714671,0,35.981614
123,1764966687847627957,0,26.081412
124,1764966687857755443,0,42.441941
125,1764966687868037129,0,32.18516
126,1764966687877959115,0,26.664481
127,1764966687887791902,0,22.51666
128,1764966687897559888,0,23.512956
129,1764966687907789574,0,25.150037
130,1764966687917594860,0,24.489844
131,1764966687927556247,0,25.705215
132,1764966687937958832,0,25.447515
133,1764966687947847818,0,26.13692
134,1764966687957671705,0,28.499438
135,1764966687967655291,0,22.496375
136,1764966687977883977,0,24.115652
137,1764966687988005463,0,23.654343
138,1764966687997733850,0,26.050486
139,1764966688008039335,0,25.597266
140,1764966688018072521,0,26.417905
141,1764966688028111808,0,31.942847
142,1764966688038280093,0,27.557763
143,1764966688048397079,0,22.647009
144,1764966688057728167,0,23.543449
145,1764966688068098152,0,23.884569
146,1764966688077775239,0,25.957176
147,1764966688087609525,0,25.851124
148,1764966688097657711,0,26.383835
149,1764966688108409696,0,31.642124
150,1764966688118332383,0,32.395661
151,1764966688127838870,0,33.954277
152,1764966688137999256,0,23.832722
153,1764966688147815342,0,24.006856
154,1764966688157963528,0,24.955171
155,1764966688168033314,0,25.197889
156,1764966688177484101,0,26.614502
157,1764966688188061986,0,31.947393
158,1764966688197889373,0,33.034617
159,1764966688207695959,0,23.360156
160,1764966688217765645,0,23.473218
161,1764966688227514232,0,24.474345
162,1764966688237536718,0,26.203865
163,1764966688247781704,0,25.860909
164,1764966688258058190,0,26.007196
165,1764966688268160976,0,31.644935
166,1764966688277991462,0,33.606029
167,1764966688287777548,0,23.847169
168,1764966688297677935,0,23.875228
169,1764966688308087420,0,23.901791
170,1764966688318406606,0,24.076268
171,1764966688328046393,0,24.702787
172,1764966688338032779,0,25.420383
173,1764966688347774666,0,31.527879
174,1764966688357734852,0,32.177079
175,1764966688367630138,0,22.292286
176,1764966688377573924,0,23.034272
177,1764966688387538211,0,23.861083
178,1764966688397621897,0,24.367765
179,1764966688407647783,0,24.986285
180,1764966688417640169,0,25.76542
181,1764966688427709855,0,31.613861
182,1764966688437672741,0,32.928611
183,1764966688447628027,0,22.984592
184,1764966688457607914,0,33.576546
185,1764966688467520800,0,34.521452
186,1764966688477980286,0,36.221027
187,1764966688487716372,0,30.338803
188,1764966688497749658,0,31.186283
189,1764966688507813944,0,21.143946
190,1764966688517755331,0,21.610158
191,1764966688527575017,0,22.657489
192,1764966688538057602,0,24.173528
