since,relative_seconds,rtt
0.000,0.000,19.07
0.010,0.010,28.28
0.020,0.020,27.12
0.030,0.030,44.60
0.040,0.040,34.93
0.050,0.050,37.11
0.060,0.060,36.00
0.070,0.070,28.98
0.080,0.080,19.06
0.090,0.090,41.36
0.100,0.100,44.07
0.110,0.110,45.72
0.120,0.120,50.56
0.130,0.130,40.51
0.140,0.140,42.83
0.150,0.150,33.19
0.160,0.160,23.35
0.170,0.170,17.19
0.180,0.180,19.20
0.190,0.190,29.80
0.200,0.200,43.69
0.210,0.210,33.50
0.220,0.220,23.86
0.230,0.230,24.29
0.240,0.240,26.59
0.250,0.250,24.21
0.260,0.260,18.08
0.270,0.270,28.49
0.280,0.280,18.46
0.290,0.290,28.65
0.300,0.300,26.37
0.310,0.310,24.31
0.320,0.320,30.58
0.330,0.330,32.20
0.340,0.340,77.93
0.350,0.350,100.18
0.360,0.360,90.22
0.370,0.370,80.18
0.380,0.380,70.02
0.390,0.390,60.17
0.440,0.440,20.45
0.450,0.450,38.34
0.460,0.460,28.15
0.470,0.470,23.62
0.480,0.480,44.59
0.490,0.490,34.78
0.500,0.500,24.73
0.510,0.510,37.11
0.520,0.520,26.73
0.530,0.530,32.11
0.540,0.540,33.11
0.550,0.550,22.90
0.560,0.560,35.80
0.570,0.570,35.81
0.580,0.580,29.93
0.590,0.590,37.21
0.601,0.601,26.93
0.610,0.610,31.92
0.620,0.620,33.02
0.630,0.630,23.01
0.640,0.640,33.88
0.650,0.650,35.50
0.660,0.660,36.82
0.670,0.670,36.89
0.680,0.680,31.46
0.690,0.690,21.37
0.700,0.700,22.12
0.710,0.710,22.64
0.720,0.720,35.53
0.730,0.730,25.46
0.740,0.740,26.18
0.750,0.750,25.51
0.760,0.760,26.95
0.770,0.770,32.38
0.781,0.781,32.57
0.790,0.790,22.91
0.800,0.800,23.38
0.810,0.810,25.02
0.820,0.820,26.22
0.830,0.830,25.29
0.840,0.840,26.59
0.850,0.850,31.94
0.860,0.860,32.71
0.870,0.870,23.05
0.880,0.880,28.72
0.890,0.890,35.25
0.900,0.900,24.79
0.910,0.910,26.79
0.920,0.920,26.08
0.930,0.930,31.92
0.940,0.940,32.91
0.950,0.950,22.95
0.960,0.960,33.55
0.970,0.970,23.95
0.980,0.980,24.54
0.990,0.990,25.07
1.000,1.000,25.67
1.010,1.010,31.77
1.020,1.020,32.26
1.030,1.030,32.98
1.040,1.040,23.04
1.050,1.050,23.97
1.060,1.060,24.49
1.070,1.070,24.94
1.080,1.080,25.98
1.090,1.090,32.10
1.100,1.100,32.99
1.110,1.110,22.92
1.120,1.120,34.96
1.130,1.130,35.96
1.140,1.140,36.15
1.150,1.150,26.13
1.161,1.161,26.22
1.170,1.170,32.14
1.180,1.180,33.07
1.190,1.190,23.27
1.200,1.200,34.83
1.210,1.210,36.28
1.220,1.220,35.98
1.230,1.230,26.08
1.240,1.240,42.44
1.250,1.250,32.19
1.260,1.260,26.66
1.270,1.270,22.52
1.280,1.280,23.51
1.290,1.290,25.15
1.300,1.300,24.49
1.310,1.310,25.71
1.320,1.320,25.45
1.330,1.330,26.14
1.340,1.340,28.50
1.350,1.350,22.50
1.360,1.360,24.12
1.370,1.370,23.65
1.380,1.380,26.05
1.390,1.390,25.60
1.400,1.400,26.42
1.410,1.410,31.94
1.421,1.421,27.56
1.431,1.431,22.65
1.440,1.440,23.54
1.450,1.450,23.88
1.460,1.460,25.96
1.470,1.470,25.85
1.480,1.480,26.38
1.491,1.491,31.64
1.501,1.501,32.40
1.510,1.510,33.95
1.520,1.520,23.83
1.530,1.530,24.01
1.540,1.540,24.96
1.550,1.550,25.20
1.560,1.560,26.61
1.570,1.570,31.95
1.580,1.580,33.03
1.590,1.590,23.36
1.600,1.600,23.47
1.610,1.610,24.47
1.620,1.620,26.20
1.630,1.630,25.86
1.640,1.640,26.01
1.650,1.650,31.64
1.660,1.660,33.61
1.670,1.670,23.85
1.680,1.680,23.88
1.690,1.690,23.90
1.701,1.701,24.08
1.710,1.710,24.70
1.720,1.720,25.42
1.730,1.730,31.53
1.740,1.740,32.18
1.750,1.750,22.29
1.760,1.760,23.03
1.770,1.770,23.86
1.780,1.780,24.37
1.790,1.790,24.99
1.800,1.800,25.77
1.810,1.810,31.61
1.820,1.820,32.93
1.830,1.830,22.98
1.840,1.840,33.58
1.850,1.850,34.52
1.860,1.860,36.22
1.870,1.870,30.34
1.880,1.880,31.19
1.890,1.890,21.14
1.900,1.900,21.61
1.910,1.910,22.66
1.920,1.920,24.17
1.930,1.930,23.35
1.940,1.940,24.34
1.950,1.950,24.69
1.960,1.960,26.80
1.970,1.970,26.67
1.980,1.980,33.59
1.990,1.990,23.32
2.000,2.000,34.87
2.010,2.010,35.67
2.020,2.020,35.19
2.030,2.030,30.38
2.040,2.040,31.07
2.050,2.050,31.93
2.060,2.060,22.42
2.070,2.070,22.97
2.080,2.080,35.24
2.090,2.090,30.82
2.100,2.100,29.93
2.110,2.110,25.47
2.120,2.120,26.72
2.130,2.130,32.15
2.140,2.140,32.13
2.150,2.150,22.14
2.160,2.160,35.12
2.170,2.170,29.55
2.181,2.181,29.53
2.190,2.190,25.73
2.200,2.200,27.61
2.210,2.210,32.27
2.220,2.220,32.53
2.230,2.230,22.74
2.240,2.240,34.20
2.250,2.250,30.02
2.260,2.260,36.44
2.270,2.270,26.34
2.280,2.280,25.96
2.290,2.290,31.42
2.300,2.300,32.54
2.310,2.310,22.76
2.320,2.320,34.88
2.330,2.330,36.05
2.340,2.340,36.41
2.350,2.350,36.99
2.360,2.360,31.69
2.370,2.370,20.96
2.380,2.380,23.79
2.390,2.390,25.10
2.400,2.400,34.29
2.410,2.410,36.28
2.420,2.420,35.13
2.430,2.430,37.31
2.440,2.440,31.27
2.450,2.450,21.39
2.460,2.460,27.61
2.470,2.470,22.16
2.480,2.480,22.65
2.490,2.490,23.49
2.500,2.500,35.18
2.510,2.510,40.95
2.520,2.520,31.10
2.530,2.530,20.92
2.540,2.540,21.56
2.550,2.550,22.22
2.560,2.560,28.34
2.570,2.570,23.62
2.580,2.580,24.15
2.590,2.590,26.32
2.600,2.600,25.98
2.610,2.610,31.45
2.620,2.620,32.74
2.630,2.630,22.78
2.640,2.640,23.55
2.650,2.650,23.63
2.660,2.660,24.16
2.670,2.670,24.84
2.680,2.680,25.95
2.690,2.690,31.68
2.700,2.700,32.64
2.710,2.710,22.37
