dataset,trace_name,success,avg_bitrate_kbps,rebuffer_ratio,rebuffer_count,bitrate_switches,startup_delay_ms,avg_throughput_kbps,bandwidth_utilization
synthetic,bursty,True,1261.33,0.000000,0,26,218.34,2128.14,0.5927
synthetic,constant_high,True,4350.67,0.000000,0,3,31.83,5022.12,0.8663
synthetic,constant_low,True,300.00,0.000000,0,0,286.38,498.05,0.6023
synthetic,constant_medium,True,1412.00,0.000000,0,13,79.26,1988.83,0.7100
synthetic,degrading,True,2937.33,0.000000,0,2,36.18,3940.06,0.7455
synthetic,improving,True,433.33,0.000000,0,14,340.39,695.72,0.6229
synthetic,step_changes,True,710.67,0.000000,0,5,165.92,1087.51,0.6535
synthetic,variable_3g,True,1113.33,0.000000,0,14,99.06,1613.71,0.6899
fcc,trace_797466_http---www.amazon_part1,True,300.00,0.000000,0,0,324.24,462.62,0.6485
fcc,trace_797466_http---www.amazon_part2,True,684.00,0.000000,0,1,190.31,788.17,0.8678
fcc,trace_799296_http---www.amazon_part0,True,1174.67,0.000000,0,2,80.08,1844.47,0.6369
fcc,trace_799448_http---www.facebook_part6,True,1121.33,0.000000,0,2,116.57,1286.73,0.8715
fcc,trace_806172_http---www.amazon_part0,True,904.00,0.000000,0,3,153.22,1151.78,0.7849
fcc,trace_806330_http---www.amazon_part0,True,536.00,0.000000,0,6,311.07,806.25,0.6648
fcc,trace_849842_http---www.facebook_part1,True,300.00,0.000000,0,0,314.19,477.42,0.6284
fcc,trace_901648_http---www.amazon_part1,True,1956.00,0.000000,0,2,50.89,2947.51,0.6636
fcc,trace_925800_http---www.ebay_part0,True,641.33,0.000000,0,1,202.99,839.83,0.7636
fcc,trace_939562_http---www.google_part1,True,1174.67,0.000000,0,2,89.50,1676.05,0.7009
fcc,trace_939592_http---www.facebook_part0,True,921.33,0.000000,0,4,104.51,1261.04,0.7306
