since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,16.39,24067
0.011,0.011,17.54,24067
0.020,0.020,16.48,24067
0.030,0.030,18.53,24067
0.040,0.040,16.54,24067
0.050,0.050,22.66,24067
0.060,0.060,20.59,24067
0.070,0.070,20.81,24067
0.080,0.080,20.65,24067
0.090,0.090,20.07,24067
0.100,0.100,20.66,24067
0.110,0.110,26.93,97622
0.120,0.120,25.35,97622
0.130,0.130,22.26,97622
0.140,0.140,29.45,97622
0.150,0.150,26.31,97622
0.160,0.160,24.95,97622
0.170,0.170,19.49,97622
0.180,0.180,24.79,97622
0.190,0.190,32.34,97622
0.200,0.200,31.65,97622
0.210,0.210,21.20,130981
0.221,0.221,29.42,130981
0.230,0.230,25.59,130981
0.240,0.240,22.83,130981
0.250,0.250,19.73,130981
0.260,0.260,25.62,130981
0.270,0.270,20.04,130981
0.280,0.280,21.76,130981
0.290,0.290,23.91,130981
0.300,0.300,17.94,130981
0.310,0.310,19.15,120875
0.320,0.320,25.50,120875
0.330,0.330,23.80,120875
0.340,0.340,21.59,120875
0.350,0.350,19.42,120875
0.360,0.360,18.01,120875
0.370,0.370,32.08,120875
0.380,0.380,21.81,120875
0.390,0.390,19.75,120875
0.400,0.400,21.19,120875
0.410,0.410,26.22,143396
0.420,0.420,25.69,143396
0.430,0.430,23.91,143396
0.440,0.440,21.11,143396
0.450,0.450,19.30,143396
0.460,0.460,16.87,143396
0.470,0.470,19.51,143396
0.480,0.480,17.28,143396
0.490,0.490,30.80,143396
0.500,0.500,28.53,143396
0.510,0.510,18.52,171011
0.520,0.520,17.36,171011
0.530,0.530,23.12,171011
0.540,0.540,21.42,171011
0.550,0.550,31.03,171011
0.560,0.560,21.18,171011
0.570,0.570,19.10,171011
0.580,0.580,17.15,171011
0.590,0.590,23.07,171011
0.600,0.600,21.31,171011
0.610,0.610,19.26,179641
0.620,0.620,17.09,179641
0.630,0.630,19.11,179641
0.640,0.640,24.58,179641
0.650,0.650,22.91,179641
0.660,0.660,21.17,179641
0.670,0.670,19.32,179641
0.680,0.680,29.09,179641
0.690,0.690,23.08,179641
0.700,0.700,17.01,179641
0.710,0.710,22.96,198399
0.720,0.720,21.15,198399
0.740,0.740,17.26,198399
0.750,0.750,23.15,198399
0.760,0.760,21.42,198399
0.770,0.770,19.52,198399
0.780,0.780,20.65,198399
0.790,0.790,26.83,198399
0.800,0.800,16.79,198399
0.810,0.810,22.89,219780
0.820,0.820,21.29,219780
0.830,0.830,28.29,219780
0.840,0.840,26.22,219780
0.850,0.850,18.96,219780
0.860,0.860,17.53,219780
0.870,0.870,22.46,219780
0.880,0.880,20.94,219780
0.890,0.890,19.27,219780
0.900,0.900,17.10,219780
0.910,0.910,23.45,169914
0.920,0.920,24.70,169914
0.930,0.930,23.60,169914
0.940,0.940,21.05,169914
0.950,0.950,19.21,169914
0.960,0.960,16.97,169914
0.970,0.970,23.41,169914
0.980,0.980,20.94,169914
0.990,0.990,19.35,169914
1.000,1.000,17.05,169914
1.010,1.010,19.43,280686
1.020,1.020,17.15,280686
1.030,1.030,23.10,280686
1.040,1.040,21.37,280686
1.050,1.050,19.45,280686
1.060,1.060,17.03,280686
1.070,1.070,23.28,280686
1.080,1.080,16.08,280686
1.090,1.090,31.10,280686
1.100,1.100,21.17,280686
1.110,1.110,19.54,207591
1.120,1.120,17.53,207591
1.130,1.130,21.77,207591
1.140,1.140,29.53,207591
1.150,1.150,19.31,207591
1.160,1.160,19.54,207591
1.170,1.170,25.99,207591
1.180,1.180,25.29,207591
1.190,1.190,24.20,207591
1.200,1.200,20.66,142547
1.210,1.210,18.13,142547
1.220,1.220,17.94,142547
1.230,1.230,19.42,142547
1.240,1.240,17.42,142547
1.250,1.250,23.39,142547
1.260,1.260,20.50,142547
1.270,1.270,20.35,142547
1.280,1.280,17.91,142547
1.290,1.290,23.45,142547
1.300,1.300,21.60,142547
1.310,1.310,23.22,200132
1.320,1.320,21.13,200132
1.330,1.330,26.40,200132
1.340,1.340,25.14,200132
1.350,1.350,23.47,200132
1.360,1.360,20.90,200132
1.370,1.370,19.24,200132
1.380,1.380,21.15,200132
1.390,1.390,19.08,200132
1.400,1.400,16.52,210128
1.410,1.410,31.36,210128
1.420,1.420,21.45,210128
1.430,1.430,19.86,210128
1.440,1.440,17.37,210128
1.450,1.450,19.45,210128
1.460,1.460,16.91,210128
1.470,1.470,31.49,210128
1.480,1.480,21.42,210128
1.490,1.490,19.53,210128
1.500,1.500,17.52,210128
1.510,1.510,31.25,174700
1.520,1.520,29.41,174700
1.530,1.530,19.69,174700
1.540,1.540,20.78,174700
1.550,1.550,19.40,174700
1.560,1.560,17.59,174700
1.570,1.570,23.45,174700
1.580,1.580,21.52,174700
1.590,1.590,19.57,174700
1.600,1.600,17.45,174700
1.610,1.610,18.77,154403
1.620,1.620,17.39,154403
1.630,1.630,23.35,154403
1.640,1.640,21.04,154403
1.650,1.650,19.35,154403
1.660,1.660,17.58,154403
1.670,1.670,30.99,154403
1.680,1.680,25.45,154403
1.690,1.690,22.74,154403
1.700,1.700,21.01,154403
1.710,1.710,19.15,181614
1.720,1.720,17.35,181614
1.730,1.730,23.20,181614
1.740,1.740,20.89,181614
1.750,1.750,18.88,181614
1.760,1.760,17.11,181614
1.770,1.770,19.72,181614
1.780,1.780,17.50,181614
1.790,1.790,24.76,181614
1.800,1.800,20.96,181614
1.810,1.810,18.93,193816
1.820,1.820,18.27,193816
1.830,1.830,19.49,193816
1.840,1.840,33.36,193816
1.850,1.850,23.66,193816
1.860,1.860,20.99,193816
1.870,1.870,20.14,193816
1.880,1.880,17.06,193816
1.890,1.890,23.26,193816
1.900,1.900,29.39,193816
1.910,1.910,19.43,207111
1.920,1.920,21.36,207111
1.930,1.930,27.62,207111
1.940,1.940,25.34,207111
1.950,1.950,22.55,207111
1.960,1.960,20.55,207111
