since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,17.32,44992
0.010,0.010,66.83,44992
0.020,0.020,73.06,44992
0.030,0.030,62.96,44992
0.040,0.040,53.07,44992
0.050,0.050,43.10,44992
0.060,0.060,33.12,44992
0.080,0.080,20.67,44992
0.090,0.090,30.23,44992
0.100,0.100,36.68,44992
0.110,0.110,26.85,66936
0.130,0.130,30.68,66936
0.140,0.140,25.08,66936
0.150,0.150,27.53,66936
0.160,0.160,17.58,66936
0.170,0.170,22.86,66936
0.180,0.180,21.19,66936
0.190,0.190,27.00,66936
0.200,0.200,17.19,107739
0.210,0.210,24.47,107739
0.220,0.220,16.33,107739
0.230,0.230,18.43,107739
0.240,0.240,21.27,107739
0.250,0.250,18.96,107739
0.260,0.260,25.08,107739
0.270,0.270,19.68,107739
0.280,0.280,17.66,107739
0.290,0.290,19.57,107739
0.300,0.300,16.68,75766
0.310,0.310,19.21,75766
0.320,0.320,18.28,75766
0.330,0.330,27.21,75766
0.340,0.340,20.35,75766
0.350,0.350,19.54,75766
0.360,0.360,17.44,75766
0.370,0.370,19.76,75766
0.380,0.380,18.03,75766
0.390,0.390,23.46,75766
0.400,0.400,21.42,75766
0.410,0.410,23.62,85607
0.420,0.420,20.78,85607
0.430,0.430,26.86,85607
0.440,0.440,26.45,85607
0.450,0.450,23.15,85607
0.460,0.460,21.50,85607
0.470,0.470,27.60,85607
0.480,0.480,20.89,85607
0.490,0.490,19.08,85607
0.500,0.500,16.76,85607
0.510,0.510,18.80,65864
0.520,0.520,17.35,65864
0.530,0.530,18.63,65864
0.540,0.540,16.61,65864
0.550,0.550,23.18,65864
0.560,0.560,20.26,65864
0.570,0.570,22.57,65864
0.580,0.580,16.52,65864
0.590,0.590,19.01,65864
0.600,0.600,16.81,65864
0.610,0.610,18.28,58108
0.620,0.620,21.25,58108
0.630,0.630,20.67,58108
0.640,0.640,21.04,58108
0.650,0.650,18.98,58108
0.661,0.661,17.48,58108
0.670,0.670,20.04,58108
0.680,0.680,17.26,58108
0.690,0.690,19.51,58108
0.700,0.700,17.93,58108
0.710,0.710,27.57,57171
0.720,0.720,17.24,57171
0.730,0.730,19.79,57171
0.740,0.740,21.90,57171
0.750,0.750,19.22,57171
0.760,0.760,17.56,57171
0.770,0.770,24.30,57171
0.780,0.780,22.04,57171
0.790,0.790,19.66,57171
0.800,0.800,17.70,69674
0.810,0.810,35.62,69674
0.820,0.820,33.88,69674
0.830,0.830,23.85,69674
0.840,0.840,22.13,69674
0.850,0.850,19.74,69674
0.860,0.860,21.32,69674
0.870,0.870,28.97,69674
0.880,0.880,26.38,69674
0.891,0.891,22.94,69674
0.900,0.900,21.68,55174
0.910,0.910,27.68,55174
0.920,0.920,17.72,55174
0.930,0.930,24.03,55174
0.940,0.940,18.64,55174
0.950,0.950,39.69,55174
0.960,0.960,37.94,55174
0.970,0.970,28.02,55174
0.980,0.980,18.07,55174
0.990,0.990,24.69,55174
1.000,1.000,21.39,55174
1.010,1.010,19.67,79583
1.020,1.020,21.09,79583
1.030,1.030,26.76,79583
1.040,1.040,21.29,79583
1.050,1.050,18.43,79583
1.060,1.060,28.69,79583
