since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,40.00,0
1.000,1.000,40.00,0
1.000,1.000,40.00,0
2.000,2.000,40.00,0
3.000,3.000,40.00,4
4.000,4.000,40.00,0
5.000,5.000,40.00,0
6.000,6.000,40.00,0
7.000,7.000,40.00,0
9.000,9.000,40.00,0
10.000,10.000,40.00,12
11.000,11.000,40.00,0
12.000,12.000,40.00,7445
13.000,13.000,40.00,270
14.000,14.000,40.00,0
15.000,15.000,40.00,2123
16.000,16.000,40.00,11
17.000,17.000,40.00,0
18.000,18.000,40.00,3
19.000,19.000,40.00,0
21.000,21.000,40.00,260
22.000,22.000,40.00,0
23.000,23.000,40.00,171
24.000,24.000,40.00,1284
25.000,25.000,40.00,0
26.000,26.000,40.00,0
27.000,27.000,40.00,0
28.000,28.000,40.00,0
29.000,29.000,40.00,33808
30.000,30.000,40.00,54316
32.000,32.000,40.00,5166
33.000,33.000,40.00,0
34.000,34.000,40.00,2490
35.000,35.000,40.00,0
36.000,36.000,40.00,278
37.000,37.000,40.00,0
38.000,38.000,40.00,1699
39.000,39.000,40.00,0
41.000,41.000,40.00,275
42.000,42.000,40.00,971
43.000,43.000,40.00,0
44.000,44.000,40.00,278
45.000,45.000,40.00,1903
46.000,46.000,40.00,280
47.000,47.000,40.00,0
48.000,48.000,40.00,273
50.000,50.000,40.00,1420
51.000,51.000,40.00,0
52.000,52.000,40.00,1130
53.000,53.000,40.00,0
54.000,54.000,40.00,279
55.000,55.000,40.00,3046
56.000,56.000,40.00,273
57.000,57.000,40.00,0
59.000,59.000,40.00,278
60.000,60.000,40.00,281
61.000,61.000,40.00,0
62.000,62.000,40.00,278
63.000,63.000,40.00,0
64.000,64.000,40.00,275
65.000,65.000,40.00,1269
66.000,66.000,40.00,278
68.000,68.000,40.00,0
69.000,69.000,40.00,277
70.000,70.000,40.00,1757
71.000,71.000,40.00,283
72.000,72.000,40.00,488
73.000,73.000,40.00,1373
74.000,74.000,40.00,277
75.000,75.000,40.00,0
77.000,77.000,40.00,280
78.000,78.000,40.00,1306
79.000,79.000,40.00,276
80.000,80.000,40.00,0
81.000,81.000,40.00,274
82.000,82.000,40.00,933
83.000,83.000,40.00,0
84.000,84.000,40.00,0
85.000,85.000,40.00,1
86.000,86.000,40.00,1935
87.000,87.000,40.00,0
88.000,88.000,40.00,275
89.000,89.000,40.00,0
90.000,90.000,40.00,278
91.000,91.000,40.00,844
92.000,92.000,40.00,279
94.000,94.000,40.00,0
95.000,95.000,40.00,0
96.000,96.000,40.00,140
96.000,96.000,40.00,140
97.000,97.000,40.00,1938
98.000,98.000,40.00,281
99.000,99.000,40.00,0
100.000,100.000,40.00,281
102.000,102.000,40.00,1673
103.000,103.000,40.00,283
104.000,104.000,40.00,0
105.000,105.000,40.00,279
106.000,106.000,40.00,2458
107.000,107.000,40.00,0
108.000,108.000,40.00,277
110.000,110.000,40.00,1723
111.000,111.000,40.00,0
112.000,112.000,40.00,1093
113.000,113.000,40.00,0
114.000,114.000,40.00,282
115.000,115.000,40.00,1291
116.000,116.000,40.00,275
117.000,117.000,40.00,0
119.000,119.000,40.00,277
120.000,120.000,40.00,1287
121.000,121.000,40.00,0
122.000,122.000,40.00,277
123.000,123.000,40.00,0
124.000,124.000,40.00,1406
125.000,125.000,40.00,0
126.000,126.000,40.00,286
127.000,127.000,40.00,0
128.000,128.000,40.00,0
129.000,129.000,40.00,2353
130.000,130.000,40.00,277
131.000,131.000,40.00,0
132.000,132.000,40.00,1618
133.000,133.000,40.00,0
134.000,134.000,40.00,277
135.000,135.000,40.00,763
136.000,136.000,40.00,276
138.000,138.000,40.00,380
138.000,138.000,40.00,380
139.000,139.000,40.00,0
140.000,140.000,40.00,281
141.000,141.000,40.00,0
142.000,142.000,40.00,300
143.000,143.000,40.00,2498
144.000,144.000,40.00,14
145.000,145.000,40.00,246
146.000,146.000,40.00,278
147.000,147.000,40.00,278
148.000,148.000,40.00,2746
149.000,149.000,40.00,0
150.000,150.000,40.00,327
151.000,151.000,40.00,0
152.000,152.000,40.00,275
153.000,153.000,40.00,2098
154.000,154.000,40.00,278
156.000,156.000,40.00,0
156.000,156.000,40.00,0
157.000,157.000,40.00,0
158.000,158.000,40.00,277
159.000,159.000,40.00,1382
160.000,160.000,40.00,275
161.000,161.000,40.00,0
162.000,162.000,40.00,1104
163.000,163.000,40.00,0
165.000,165.000,40.00,806
165.000,165.000,40.00,806
166.000,166.000,40.00,280
167.000,167.000,40.00,0
168.000,168.000,40.00,2299
169.000,169.000,40.00,0
170.000,170.000,40.00,277
171.000,171.000,40.00,0
172.000,172.000,40.00,2467
174.000,174.000,40.00,0
174.000,174.000,40.00,0
175.000,175.000,40.00,0
176.000,176.000,40.00,2696
177.000,177.000,40.00,0
178.000,178.000,40.00,278
179.000,179.000,40.00,0
180.000,180.000,40.00,278
182.000,182.000,40.00,2406
183.000,183.000,40.00,281
184.000,184.000,40.00,0
185.000,185.000,40.00,275
186.000,186.000,40.00,1531
187.000,187.000,40.00,278
188.000,188.000,40.00,135
189.000,189.000,40.00,970
191.000,191.000,40.00,279
191.000,191.000,40.00,279
192.000,192.000,40.00,3573
193.000,193.000,40.00,280
194.000,194.000,40.00,0
195.000,195.000,40.00,278
196.000,196.000,40.00,0
197.000,197.000,40.00,2091
198.000,198.000,40.00,279
200.000,200.000,40.00,0
201.000,201.000,40.00,978
202.000,202.000,40.00,304
202.000,202.000,40.00,304
203.000,203.000,40.00,2010
204.000,204.000,40.00,281
205.000,205.000,40.00,0
206.000,206.000,40.00,1641
207.000,207.000,40.00,0
209.000,209.000,40.00,276
210.000,210.000,40.00,2574
211.000,211.000,40.00,0
211.000,211.000,40.00,0
212.000,212.000,40.00,277
213.000,213.000,40.00,0
214.000,214.000,40.00,1603
215.000,215.000,40.00,0
216.000,216.000,40.00,1792
218.000,218.000,40.00,0
219.000,219.000,40.00,0
219.000,219.000,40.00,0
220.000,220.000,40.00,629
221.000,221.000,40.00,0
222.000,222.000,40.00,278
223.000,223.000,40.00,1989
224.000,224.000,40.00,275
226.000,226.000,40.00,0
227.000,227.000,40.00,2317
228.000,228.000,40.00,0
229.000,229.000,40.00,279
229.000,229.000,40.00,279
230.000,230.000,40.00,0
231.000,231.000,40.00,277
232.000,232.000,40.00,2846
233.000,233.000,40.00,0
235.000,235.000,40.00,140
236.000,236.000,40.00,280
237.000,237.000,40.00,2001
238.000,238.000,40.00,276
239.000,239.000,40.00,0
240.000,240.000,40.00,2273
241.000,241.000,40.00,0
243.000,243.000,40.00,279
244.000,244.000,40.00,1501
245.000,245.000,40.00,0
246.000,246.000,40.00,285
247.000,247.000,40.00,2158
248.000,248.000,40.00,277
249.000,249.000,40.00,0
250.000,250.000,40.00,277
252.000,252.000,40.00,1901
253.000,253.000,40.00,278
254.000,254.000,40.00,0
255.000,255.000,40.00,2068
256.000,256.000,40.00,0
257.000,257.000,40.00,1355
257.000,257.000,40.00,1355
258.000,258.000,40.00,0
260.000,260.000,40.00,2
261.000,261.000,40.00,280
262.000,262.000,40.00,1839
263.000,263.000,40.00,0
264.000,264.000,40.00,274
265.000,265.000,40.00,2134
266.000,266.000,40.00,278
267.000,267.000,40.00,0
269.000,269.000,40.00,140
270.000,270.000,40.00,1050
270.000,270.000,40.00,1050
271.000,271.000,40.00,2
272.000,272.000,40.00,276
273.000,273.000,40.00,0
274.000,274.000,40.00,1685
275.000,275.000,40.00,0
277.000,277.000,40.00,2828
278.000,278.000,40.00,279
279.000,279.000,40.00,0
280.000,280.000,40.00,275
281.000,281.000,40.00,1690
282.000,282.000,40.00,281
283.000,283.000,40.00,0
284.000,284.000,40.00,276
286.000,286.000,40.00,1455
287.000,287.000,40.00,277
288.000,288.000,40.00,0
289.000,289.000,40.00,2243
290.000,290.000,40.00,279
291.000,291.000,40.00,0
292.000,292.000,40.00,1479
293.000,293.000,40.00,1479
294.000,294.000,40.00,275
295.000,295.000,40.00,0
296.000,296.000,40.00,275
297.000,297.000,40.00,3167
298.000,298.000,40.00,280
299.000,299.000,40.00,0
300.000,300.000,40.00,275
301.000,301.000,40.00,0
302.000,302.000,40.00,0
303.000,303.000,40.00,1906
304.000,304.000,40.00,2129
305.000,305.000,40.00,0
306.000,306.000,40.00,276
307.000,307.000,40.00,0
308.000,308.000,40.00,2514
309.000,309.000,40.00,0
310.000,310.000,40.00,278
312.000,312.000,40.00,2672
313.000,313.000,40.00,0
314.000,314.000,40.00,276
315.000,315.000,40.00,0
316.000,316.000,40.00,2233
317.000,317.000,40.00,0
318.000,318.000,40.00,288
320.000,320.000,40.00,2365
321.000,321.000,40.00,0
322.000,322.000,40.00,321
322.000,322.000,40.00,321
323.000,323.000,40.00,0
324.000,324.000,40.00,1104
325.000,325.000,40.00,0
326.000,326.000,40.00,277
