since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,40.00,0
0.000,0.000,40.00,0
1.000,1.000,40.00,0
1.000,1.000,40.00,0
2.000,2.000,40.00,0
3.000,3.000,40.00,0
4.000,4.000,40.00,2851
6.000,6.000,40.00,908
7.000,7.000,40.00,1168
8.000,8.000,40.00,1899
9.000,9.000,40.00,153802
10.000,10.000,40.00,88740
11.000,11.000,40.00,67381
12.000,12.000,40.00,0
13.000,13.000,40.00,4072
14.000,14.000,40.00,0
15.000,15.000,40.00,0
16.000,16.000,40.00,0
17.000,17.000,40.00,4020
18.000,18.000,40.00,5813
19.000,19.000,40.00,0
21.000,21.000,40.00,292
22.000,22.000,40.00,2920
23.000,23.000,40.00,0
24.000,24.000,40.00,0
25.000,25.000,40.00,3840
26.000,26.000,40.00,0
27.000,27.000,40.00,277
28.000,28.000,40.00,0
29.000,29.000,40.00,7632
30.000,30.000,40.00,0
31.000,31.000,40.00,278
32.000,32.000,40.00,4297
33.000,33.000,40.00,0
34.000,34.000,40.00,4072
36.000,36.000,40.00,0
37.000,37.000,40.00,278
38.000,38.000,40.00,0
39.000,39.000,40.00,13690
40.000,40.000,40.00,0
41.000,41.000,40.00,5887
42.000,42.000,40.00,275
43.000,43.000,40.00,3081
44.000,44.000,40.00,0
45.000,45.000,40.00,278
46.000,46.000,40.00,5270
47.000,47.000,40.00,0
48.000,48.000,40.00,77
49.000,49.000,40.00,0
50.000,50.000,40.00,273
51.000,51.000,40.00,0
53.000,53.000,40.00,4407
54.000,54.000,40.00,276
55.000,55.000,40.00,0
56.000,56.000,40.00,0
57.000,57.000,40.00,3599
58.000,58.000,40.00,277
59.000,59.000,40.00,0
60.000,60.000,40.00,0
61.000,61.000,40.00,2723
62.000,62.000,40.00,278
63.000,63.000,40.00,4195
64.000,64.000,40.00,0
65.000,65.000,40.00,1
66.000,66.000,40.00,279
68.000,68.000,40.00,0
69.000,69.000,40.00,4633
70.000,70.000,40.00,18
71.000,71.000,40.00,280
72.000,72.000,40.00,0
73.000,73.000,40.00,8978
74.000,74.000,40.00,0
75.000,75.000,40.00,274
76.000,76.000,40.00,0
77.000,77.000,40.00,9618
78.000,78.000,40.00,7
79.000,79.000,40.00,0
80.000,80.000,40.00,170
81.000,81.000,40.00,3982
83.000,83.000,40.00,944
84.000,84.000,40.00,0
85.000,85.000,40.00,276
86.000,86.000,40.00,0
87.000,87.000,40.00,4586
88.000,88.000,40.00,0
89.000,89.000,40.00,2892
90.000,90.000,40.00,0
91.000,91.000,40.00,276
92.000,92.000,40.00,278
93.000,93.000,40.00,4772
94.000,94.000,40.00,0
95.000,95.000,40.00,0
96.000,96.000,40.00,5669
98.000,98.000,40.00,0
99.000,99.000,40.00,278
100.000,100.000,40.00,275
101.000,101.000,40.00,3469
102.000,102.000,40.00,284
103.000,103.000,40.00,0
104.000,104.000,40.00,0
105.000,105.000,40.00,3990
106.000,106.000,40.00,275
107.000,107.000,40.00,0
108.000,108.000,40.00,0
109.000,109.000,40.00,1596
110.000,110.000,40.00,240
111.000,111.000,40.00,8290
113.000,113.000,40.00,290
114.000,114.000,40.00,0
115.000,115.000,40.00,3588
116.000,116.000,40.00,0
117.000,117.000,40.00,278
118.000,118.000,40.00,0
119.000,119.000,40.00,7983
120.000,120.000,40.00,278
121.000,121.000,40.00,0
122.000,122.000,40.00,275
123.000,123.000,40.00,0
124.000,124.000,40.00,109
125.000,125.000,40.00,0
126.000,126.000,40.00,5312
128.000,128.000,40.00,0
129.000,129.000,40.00,10338
130.000,130.000,40.00,0
131.000,131.000,40.00,277
132.000,132.000,40.00,0
133.000,133.000,40.00,12812
134.000,134.000,40.00,0
135.000,135.000,40.00,278
136.000,136.000,40.00,278
137.000,137.000,40.00,0
138.000,138.000,40.00,112
139.000,139.000,40.00,0
140.000,140.000,40.00,277
141.000,141.000,40.00,0
143.000,143.000,40.00,1054
144.000,144.000,40.00,0
145.000,145.000,40.00,278
146.000,146.000,40.00,0
147.000,147.000,40.00,276
148.000,148.000,40.00,0
149.000,149.000,40.00,4396
150.000,150.000,40.00,0
151.000,151.000,40.00,276
152.000,152.000,40.00,0
153.000,153.000,40.00,4040
154.000,154.000,40.00,275
155.000,155.000,40.00,0
157.000,157.000,40.00,9926
158.000,158.000,40.00,280
159.000,159.000,40.00,0
160.000,160.000,40.00,0
161.000,161.000,40.00,8106
162.000,162.000,40.00,0
163.000,163.000,40.00,279
164.000,164.000,40.00,0
165.000,165.000,40.00,9997
166.000,166.000,40.00,0
167.000,167.000,40.00,555
168.000,168.000,40.00,3305
169.000,169.000,40.00,0
170.000,170.000,40.00,276
172.000,172.000,40.00,0
173.000,173.000,40.00,6097
174.000,174.000,40.00,0
175.000,175.000,40.00,279
176.000,176.000,40.00,0
177.000,177.000,40.00,3827
178.000,178.000,40.00,0
179.000,179.000,40.00,5249
180.000,180.000,40.00,0
181.000,181.000,40.00,277
182.000,182.000,40.00,0
183.000,183.000,40.00,5988
184.000,184.000,40.00,0
186.000,186.000,40.00,0
187.000,187.000,40.00,2827
188.000,188.000,40.00,44
189.000,189.000,40.00,8040
190.000,190.000,40.00,40
191.000,191.000,40.00,321
192.000,192.000,40.00,317
193.000,193.000,40.00,5059
194.000,194.000,40.00,0
195.000,195.000,40.00,92
196.000,196.000,40.00,0
197.000,197.000,40.00,8257
198.000,198.000,40.00,184
199.000,199.000,40.00,0
201.000,201.000,40.00,3373
202.000,202.000,40.00,0
203.000,203.000,40.00,275
204.000,204.000,40.00,0
205.000,205.000,40.00,277
206.000,206.000,40.00,5785
207.000,207.000,40.00,0
208.000,208.000,40.00,0
209.000,209.000,40.00,4093
210.000,210.000,40.00,0
211.000,211.000,40.00,2276
212.000,212.000,40.00,280
213.000,213.000,40.00,0
214.000,214.000,40.00,1405
215.000,215.000,40.00,0
217.000,217.000,40.00,276
218.000,218.000,40.00,0
219.000,219.000,40.00,2030
220.000,220.000,40.00,0
221.000,221.000,40.00,3094
222.000,222.000,40.00,0
223.000,223.000,40.00,4196
224.000,224.000,40.00,0
225.000,225.000,40.00,6315
226.000,226.000,40.00,275
227.000,227.000,40.00,0
228.000,228.000,40.00,3804
229.000,229.000,40.00,0
231.000,231.000,40.00,7592
232.000,232.000,40.00,0
233.000,233.000,40.00,281
234.000,234.000,40.00,0
235.000,235.000,40.00,6245
236.000,236.000,40.00,0
237.000,237.000,40.00,278
238.000,238.000,40.00,8531
239.000,239.000,40.00,0
240.000,240.000,40.00,0
241.000,241.000,40.00,277
242.000,242.000,40.00,5015
243.000,243.000,40.00,0
244.000,244.000,40.00,286
246.000,246.000,40.00,1847
247.000,247.000,40.00,0
248.000,248.000,40.00,0
249.000,249.000,40.00,4764
250.000,250.000,40.00,276
251.000,251.000,40.00,1
252.000,252.000,40.00,0
253.000,253.000,40.00,9973
254.000,254.000,40.00,0
255.000,255.000,40.00,279
256.000,256.000,40.00,0
257.000,257.000,40.00,8633
258.000,258.000,40.00,121
259.000,259.000,40.00,0
261.000,261.000,40.00,279
262.000,262.000,40.00,0
263.000,263.000,40.00,4367
264.000,264.000,40.00,279
265.000,265.000,40.00,4037
266.000,266.000,40.00,0
267.000,267.000,40.00,272
268.000,268.000,40.00,0
269.000,269.000,40.00,7905
