since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,40.00,22
0.000,0.000,40.00,22
0.000,0.000,40.00,73
2.000,2.000,40.00,72
3.000,3.000,40.00,106
4.000,4.000,40.00,10
5.000,5.000,40.00,6
5.000,5.000,143.00,6
6.000,6.000,40.00,1034
7.000,7.000,40.00,1993
8.000,8.000,40.00,2914
9.000,9.000,40.00,2559
10.000,10.000,40.00,2686
11.000,11.000,40.00,2724
13.000,13.000,40.00,2412
14.000,14.000,40.00,2111
15.000,15.000,40.00,2412
16.000,16.000,40.00,2570
18.000,18.000,40.00,1
19.000,19.000,134.00,1
19.000,19.000,40.00,339
20.000,20.000,40.00,1676
21.000,21.000,40.00,1914
23.000,23.000,40.00,2366
24.000,24.000,40.00,2243
25.000,25.000,40.00,3619
26.000,26.000,40.00,3560
27.000,27.000,40.00,927
28.000,28.000,40.00,22
29.000,29.000,40.00,11
30.000,30.000,40.00,3167
31.000,31.000,40.00,2964
33.000,33.000,40.00,2
34.000,34.000,40.00,2
34.000,34.000,279.00,2
35.000,35.000,40.00,2
36.000,36.000,40.00,11
37.000,37.000,40.00,22
38.000,38.000,40.00,67
39.000,39.000,40.00,68
40.000,40.000,40.00,255
41.000,41.000,40.00,0
43.000,43.000,40.00,2438
44.000,44.000,40.00,7018
44.000,44.000,40.00,7018
45.000,45.000,40.00,9033
47.000,47.000,40.00,1897
48.000,48.000,90.00,1897
48.000,48.000,40.00,138
49.000,49.000,40.00,5017
50.000,50.000,40.00,6080
51.000,51.000,40.00,9904
52.000,52.000,40.00,12551
53.000,53.000,40.00,12364
55.000,55.000,40.00,13511
56.000,56.000,40.00,12139
56.000,56.000,40.00,12139
57.000,57.000,40.00,12476
58.000,58.000,40.00,13928
59.000,59.000,40.00,12793
60.000,60.000,40.00,13217
61.000,61.000,40.00,6
62.000,62.000,92.00,6
62.000,62.000,40.00,6
62.000,62.000,40.00,2985
63.000,63.000,40.00,15494
64.000,64.000,40.00,14663
66.000,66.000,40.00,15362
67.000,67.000,40.00,14247
68.000,68.000,40.00,17722
69.000,69.000,40.00,16555
69.000,69.000,40.00,16555
70.000,70.000,40.00,19157
71.000,71.000,40.00,15950
72.000,72.000,40.00,17310
73.000,73.000,40.00,16906
74.000,74.000,40.00,15675
75.000,75.000,40.00,2
75.000,75.000,91.00,2
76.000,76.000,40.00,2
77.000,77.000,40.00,5668
78.000,78.000,40.00,8909
79.000,79.000,40.00,8389
80.000,80.000,40.00,8115
81.000,81.000,40.00,16148
83.000,83.000,40.00,17080
84.000,84.000,40.00,17046
85.000,85.000,40.00,17962
86.000,86.000,40.00,18632
89.000,89.000,40.00,4467
89.000,89.000,40.00,4467
89.000,89.000,94.00,4467
90.000,90.000,40.00,452
91.000,91.000,40.00,8130
92.000,92.000,40.00,14716
93.000,93.000,40.00,18236
94.000,94.000,40.00,18190
95.000,95.000,40.00,18962
96.000,96.000,40.00,18962
96.000,96.000,40.00,19333
97.000,97.000,40.00,19532
99.000,99.000,40.00,18867
100.000,100.000,40.00,18078
102.000,102.000,40.00,15791
102.000,102.000,40.00,14500
103.000,103.000,40.00,3
103.000,103.000,40.00,3
103.000,103.000,91.00,3
104.000,104.000,40.00,7252
105.000,105.000,40.00,16727
106.000,106.000,40.00,18263
107.000,107.000,40.00,17310
108.000,108.000,40.00,17085
110.000,110.000,40.00,17285
110.000,110.000,40.00,17285
111.000,111.000,40.00,16662
112.000,112.000,40.00,17037
113.000,113.000,40.00,17054
114.000,114.000,40.00,17826
116.000,116.000,40.00,12510
117.000,117.000,40.00,12510
117.000,117.000,91.00,12510
117.000,117.000,40.00,4
118.000,118.000,40.00,7767
119.000,119.000,40.00,16575
121.000,121.000,40.00,10455
122.000,122.000,40.00,16398
123.000,123.000,40.00,19284
124.000,124.000,40.00,20163
125.000,125.000,40.00,20288
126.000,126.000,40.00,21080
127.000,127.000,40.00,21972
128.000,128.000,40.00,22826
131.000,131.000,40.00,3747
131.000,131.000,94.00,3747
132.000,132.000,40.00,3082
133.000,133.000,40.00,7798
134.000,134.000,40.00,9277
135.000,135.000,40.00,8534
136.000,136.000,40.00,6589
137.000,137.000,40.00,6310
138.000,138.000,40.00,7960
139.000,139.000,40.00,7868
140.000,140.000,40.00,7577
141.000,141.000,40.00,7577
142.000,142.000,40.00,7837
144.000,144.000,40.00,3923
145.000,145.000,40.00,2
145.000,145.000,93.00,2
146.000,146.000,40.00,4495
147.000,147.000,40.00,6727
148.000,148.000,40.00,6727
148.000,148.000,40.00,8202
149.000,149.000,40.00,7613
150.000,150.000,40.00,12136
151.000,151.000,40.00,13984
153.000,153.000,40.00,10907
154.000,154.000,40.00,7806
155.000,155.000,40.00,4199
155.000,155.000,40.00,4199
156.000,156.000,40.00,3790
158.000,158.000,40.00,1565
159.000,159.000,214.00,1565
159.000,159.000,40.00,269
160.000,160.000,40.00,2935
161.000,161.000,40.00,3693
162.000,162.000,40.00,3693
162.000,162.000,40.00,4150
164.000,164.000,40.00,3648
165.000,165.000,40.00,10012
166.000,166.000,40.00,8089
167.000,167.000,40.00,7329
168.000,168.000,40.00,14336
170.000,170.000,40.00,13294
171.000,171.000,40.00,9071
172.000,172.000,40.00,1798
173.000,173.000,129.00,1798
173.000,173.000,40.00,1024
175.000,175.000,40.00,4808
176.000,176.000,40.00,5785
176.000,176.000,40.00,5785
177.000,177.000,40.00,6054
178.000,178.000,40.00,5977
179.000,179.000,40.00,5438
180.000,180.000,40.00,5574
181.000,181.000,40.00,6032
182.000,182.000,40.00,5812
183.000,183.000,40.00,5812
183.000,183.000,40.00,5992
184.000,184.000,40.00,4830
186.000,186.000,40.00,2983
187.000,187.000,117.00,3
187.000,187.000,40.00,3
188.000,188.000,40.00,3932
189.000,189.000,40.00,5461
190.000,190.000,40.00,5477
191.000,191.000,40.00,5553
192.000,192.000,40.00,6018
193.000,193.000,40.00,5415
194.000,194.000,40.00,6318
195.000,195.000,40.00,5778
196.000,196.000,40.00,5778
197.000,197.000,40.00,6339
198.000,198.000,40.00,6550
200.000,200.000,40.00,0
201.000,201.000,112.00,0
201.000,201.000,40.00,358
202.000,202.000,40.00,5954
203.000,203.000,40.00,8540
204.000,204.000,40.00,10325
205.000,205.000,40.00,12108
207.000,207.000,40.00,12276
208.000,208.000,40.00,9664
209.000,209.000,40.00,8927
209.000,209.000,40.00,8927
210.000,210.000,40.00,9480
211.000,211.000,40.00,9541
212.000,212.000,40.00,9279
213.000,213.000,40.00,11715
214.000,214.000,40.00,1
214.000,214.000,114.00,1
215.000,215.000,40.00,2028
216.000,216.000,40.00,2028
216.000,216.000,40.00,4823
218.000,218.000,40.00,5644
219.000,219.000,40.00,9521
220.000,220.000,40.00,8626
221.000,221.000,40.00,9300
222.000,222.000,40.00,8702
223.000,223.000,40.00,11315
224.000,224.000,40.00,11315
224.000,224.000,40.00,6946
225.000,225.000,40.00,8791
226.000,226.000,40.00,10203
227.000,227.000,40.00,2949
229.000,229.000,40.00,2
229.000,229.000,179.00,2
230.000,230.000,40.00,2681
231.000,231.000,40.00,3625
232.000,232.000,40.00,7492
233.000,233.000,40.00,5805
233.000,233.000,40.00,5805
234.000,234.000,40.00,6761
235.000,235.000,40.00,7321
236.000,236.000,40.00,7812
237.000,237.000,40.00,5555
238.000,238.000,40.00,12299
240.000,240.000,40.00,11473
241.000,241.000,40.00,9808
242.000,242.000,40.00,610
242.000,242.000,124.00,610
243.000,243.000,40.00,137
244.000,244.000,40.00,2350
245.000,245.000,40.00,2974
246.000,246.000,40.00,4132
247.000,247.000,40.00,4156
248.000,248.000,40.00,2535
249.000,249.000,40.00,3642
251.000,251.000,40.00,3227
252.000,252.000,40.00,4842
253.000,253.000,40.00,4314
256.000,256.000,40.00,1
256.000,256.000,115.00,1
257.000,257.000,40.00,455
258.000,258.000,40.00,4218
259.000,259.000,40.00,2796
261.000,261.000,40.00,2734
262.000,262.000,40.00,3129
263.000,263.000,40.00,3850
264.000,264.000,40.00,4082
265.000,265.000,40.00,4729
266.000,266.000,40.00,7615
267.000,267.000,40.00,6732
269.000,269.000,40.00,5232
269.000,269.000,40.00,2201
270.000,270.000,118.00,2201
270.000,270.000,40.00,2
272.000,272.000,40.00,4612
273.000,273.000,40.00,4287
273.000,273.000,40.00,4287
274.000,274.000,40.00,4986
275.000,275.000,40.00,2505
276.000,276.000,40.00,3444
277.000,277.000,40.00,1865
278.000,278.000,40.00,4401
279.000,279.000,40.00,2556
280.000,280.000,40.00,3194
281.000,281.000,40.00,5007
283.000,283.000,40.00,3533
283.000,283.000,40.00,3533
284.000,284.000,40.00,11
284.000,284.000,110.00,11
285.000,285.000,40.00,237
286.000,286.000,40.00,378
287.000,287.000,40.00,2786
288.000,288.000,40.00,3648
289.000,289.000,40.00,3890
290.000,290.000,40.00,3890
290.000,290.000,40.00,3246
291.000,291.000,40.00,3148
292.000,292.000,40.00,2589
294.000,294.000,40.00,2381
295.000,295.000,40.00,2056
297.000,297.000,40.00,3987
297.000,297.000,40.00,3987
298.000,298.000,40.00,1
298.000,298.000,120.00,1
299.000,299.000,40.00,2216
300.000,300.000,40.00,6079
301.000,301.000,40.00,5907
302.000,302.000,40.00,7199
303.000,303.000,40.00,8689
305.000,305.000,40.00,8928
306.000,306.000,40.00,6896
307.000,307.000,40.00,8631
307.000,307.000,40.00,8631
308.000,308.000,40.00,10729
