since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,40.00,63
1.000,1.000,40.00,2
1.000,1.000,40.00,2
2.000,2.000,40.00,0
3.000,3.000,40.00,2
4.000,4.000,67.00,4
4.000,4.000,40.00,4
5.000,5.000,40.00,20568
7.000,7.000,40.00,22021
8.000,8.000,40.00,22064
9.000,9.000,40.00,20854
10.000,10.000,40.00,21208
11.000,11.000,40.00,21882
12.000,12.000,40.00,21508
14.000,14.000,40.00,21777
15.000,15.000,40.00,21536
17.000,17.000,40.00,4772
18.000,18.000,66.00,4772
18.000,18.000,40.00,3090
20.000,20.000,40.00,20791
21.000,21.000,40.00,23288
22.000,22.000,40.00,23119
23.000,23.000,40.00,24412
24.000,24.000,40.00,23779
26.000,26.000,40.00,22444
27.000,27.000,40.00,23291
28.000,28.000,40.00,23529
29.000,29.000,40.00,23327
30.000,30.000,40.00,21119
31.000,31.000,40.00,0
32.000,32.000,68.00,0
32.000,32.000,40.00,6737
34.000,34.000,40.00,19847
35.000,35.000,40.00,19671
36.000,36.000,40.00,20380
37.000,37.000,40.00,22519
38.000,38.000,40.00,19874
40.000,40.000,40.00,19880
41.000,41.000,40.00,20028
42.000,42.000,40.00,19960
43.000,43.000,40.00,19981
44.000,44.000,40.00,13167
46.000,46.000,40.00,1
46.000,46.000,67.00,1
47.000,47.000,40.00,40865
48.000,48.000,40.00,172585
49.000,49.000,40.00,212886
50.000,50.000,40.00,158790
51.000,51.000,40.00,227954
52.000,52.000,40.00,185998
53.000,53.000,40.00,201222
55.000,55.000,40.00,191885
56.000,56.000,40.00,223517
57.000,57.000,40.00,240438
58.000,58.000,40.00,225336
59.000,59.000,40.00,13793
60.000,60.000,68.00,13793
60.000,60.000,40.00,15361
61.000,61.000,40.00,126947
63.000,63.000,40.00,253265
64.000,64.000,40.00,246339
65.000,65.000,40.00,198862
66.000,66.000,40.00,207575
67.000,67.000,40.00,209643
68.000,68.000,40.00,186966
69.000,69.000,40.00,211141
70.000,70.000,40.00,223919
73.000,73.000,40.00,0
73.000,73.000,67.00,0
74.000,74.000,40.00,7641
75.000,75.000,40.00,71736
76.000,76.000,40.00,223908
77.000,77.000,40.00,239477
79.000,79.000,40.00,185109
80.000,80.000,40.00,223501
81.000,81.000,40.00,225894
82.000,82.000,40.00,230637
83.000,83.000,40.00,192252
84.000,84.000,40.00,212614
85.000,85.000,40.00,207369
86.000,86.000,40.00,15121
87.000,87.000,69.00,15121
88.000,88.000,40.00,3988
89.000,89.000,40.00,127128
90.000,90.000,40.00,198320
91.000,91.000,40.00,196772
92.000,92.000,40.00,194979
93.000,93.000,40.00,214933
94.000,94.000,40.00,199693
96.000,96.000,40.00,224814
97.000,97.000,40.00,209523
98.000,98.000,40.00,213214
100.000,100.000,40.00,70508
101.000,101.000,69.00,70508
101.000,101.000,40.00,332
102.000,102.000,40.00,197668
104.000,104.000,40.00,168579
105.000,105.000,40.00,230002
106.000,106.000,40.00,209638
107.000,107.000,40.00,216138
108.000,108.000,40.00,218535
109.000,109.000,40.00,223984
110.000,110.000,40.00,217937
111.000,111.000,40.00,204961
114.000,114.000,40.00,96732
115.000,115.000,66.00,2
115.000,115.000,40.00,2
116.000,116.000,40.00,41652
117.000,117.000,40.00,170746
118.000,118.000,40.00,221937
120.000,120.000,40.00,182713
121.000,121.000,40.00,217602
122.000,122.000,40.00,209501
123.000,123.000,40.00,214706
124.000,124.000,40.00,217734
125.000,125.000,40.00,213130
126.000,126.000,40.00,248966
127.000,127.000,40.00,181508
128.000,128.000,40.00,1
129.000,129.000,73.00,1
130.000,130.000,40.00,15992
131.000,131.000,40.00,109013
132.000,132.000,40.00,226162
133.000,133.000,40.00,208178
134.000,134.000,40.00,228265
135.000,135.000,40.00,213698
136.000,136.000,40.00,227489
138.000,138.000,40.00,243137
139.000,139.000,40.00,210070
140.000,140.000,40.00,241640
141.000,141.000,40.00,210454
142.000,142.000,40.00,0
143.000,143.000,66.00,0
143.000,143.000,40.00,11567
144.000,144.000,40.00,13696
146.000,146.000,40.00,160839
147.000,147.000,40.00,200689
148.000,148.000,40.00,158561
149.000,149.000,40.00,183135
150.000,150.000,40.00,163311
151.000,151.000,40.00,202513
152.000,152.000,40.00,200567
154.000,154.000,40.00,195407
155.000,155.000,40.00,164511
156.000,156.000,40.00,6229
156.000,156.000,71.00,6229
157.000,157.000,40.00,843
158.000,158.000,40.00,5194
160.000,160.000,40.00,63040
161.000,161.000,40.00,193414
162.000,162.000,40.00,204533
163.000,163.000,40.00,196760
164.000,164.000,40.00,180522
165.000,165.000,40.00,219997
166.000,166.000,40.00,219002
169.000,169.000,40.00,163737
170.000,170.000,40.00,1
170.000,170.000,69.00,1
171.000,171.000,40.00,30213
172.000,172.000,40.00,206570
173.000,173.000,40.00,36201
174.000,174.000,40.00,22661
176.000,176.000,40.00,24302
177.000,177.000,40.00,134566
178.000,178.000,40.00,44328
179.000,179.000,40.00,217025
180.000,180.000,40.00,236654
181.000,181.000,40.00,233999
182.000,182.000,40.00,244186
184.000,184.000,40.00,8502
184.000,184.000,65.00,8502
185.000,185.000,40.00,8700
186.000,186.000,40.00,86111
187.000,187.000,40.00,237638
188.000,188.000,40.00,220913
189.000,189.000,40.00,202045
190.000,190.000,40.00,223107
192.000,192.000,40.00,229838
193.000,193.000,40.00,222308
194.000,194.000,40.00,150335
195.000,195.000,40.00,153539
196.000,196.000,40.00,151633
197.000,197.000,40.00,2273
198.000,198.000,68.00,2273
199.000,199.000,40.00,7516
200.000,200.000,40.00,97435
201.000,201.000,40.00,239219
202.000,202.000,40.00,68633
203.000,203.000,40.00,0
204.000,204.000,40.00,0
206.000,206.000,40.00,0
207.000,207.000,40.00,3034
208.000,208.000,40.00,11282
209.000,209.000,40.00,56939
210.000,210.000,40.00,69172
211.000,211.000,40.00,1
212.000,212.000,68.00,1
213.000,213.000,40.00,16622
214.000,214.000,40.00,102094
215.000,215.000,40.00,165165
216.000,216.000,40.00,103974
217.000,217.000,40.00,62937
219.000,219.000,40.00,63624
220.000,220.000,40.00,69483
221.000,221.000,40.00,72115
222.000,222.000,40.00,77878
223.000,223.000,40.00,84485
224.000,224.000,40.00,58868
226.000,226.000,40.00,2
226.000,226.000,68.00,2
227.000,227.000,40.00,49216
228.000,228.000,40.00,211284
229.000,229.000,40.00,225751
230.000,230.000,40.00,228812
231.000,231.000,40.00,228406
232.000,232.000,40.00,249568
233.000,233.000,40.00,245656
235.000,235.000,40.00,208066
236.000,236.000,40.00,235513
237.000,237.000,40.00,175567
238.000,238.000,40.00,136001
239.000,239.000,40.00,5913
239.000,239.000,67.00,5913
240.000,240.000,40.00,49228
242.000,242.000,40.00,215352
243.000,243.000,40.00,242683
244.000,244.000,40.00,241359
245.000,245.000,40.00,249059
246.000,246.000,40.00,221764
247.000,247.000,40.00,180837
248.000,248.000,40.00,181753
250.000,250.000,40.00,180977
252.000,252.000,40.00,155546
253.000,253.000,40.00,1
253.000,253.000,67.00,1
254.000,254.000,40.00,35376
255.000,255.000,40.00,219295
257.000,257.000,40.00,245290
258.000,258.000,40.00,238538
259.000,259.000,40.00,223033
260.000,260.000,40.00,203521
261.000,261.000,40.00,207774
262.000,262.000,40.00,205316
263.000,263.000,40.00,165059
264.000,264.000,40.00,175389
266.000,266.000,40.00,114327
267.000,267.000,40.00,0
267.000,267.000,66.00,0
268.000,268.000,40.00,9560
269.000,269.000,40.00,20431
270.000,270.000,40.00,20465
271.000,271.000,40.00,66640
273.000,273.000,40.00,205520
274.000,274.000,40.00,243414
275.000,275.000,40.00,250035
276.000,276.000,40.00,150842
277.000,277.000,40.00,203519
278.000,278.000,40.00,205883
279.000,279.000,40.00,207236
279.000,279.000,40.00,207236
280.000,280.000,40.00,0
281.000,281.000,69.00,0
282.000,282.000,40.00,5890
283.000,283.000,40.00,88110
284.000,284.000,40.00,110418
285.000,285.000,40.00,174945
286.000,286.000,40.00,246378
287.000,287.000,40.00,231768
288.000,288.000,40.00,166102
290.000,290.000,40.00,206526
291.000,291.000,40.00,205154
292.000,292.000,40.00,206435
294.000,294.000,40.00,36681
295.000,295.000,70.00,36681
295.000,295.000,40.00,1982
296.000,296.000,40.00,17379
298.000,298.000,40.00,17418
299.000,299.000,40.00,17865
300.000,300.000,40.00,18115
301.000,301.000,40.00,18741
302.000,302.000,40.00,19045
303.000,303.000,40.00,17711
305.000,305.000,40.00,19001
306.000,306.000,40.00,18573
307.000,307.000,40.00,39116
308.000,308.000,40.00,0
309.000,309.000,67.00,0
309.000,309.000,40.00,8034
311.000,311.000,40.00,124763
312.000,312.000,40.00,178538
313.000,313.000,40.00,190331
314.000,314.000,40.00,159432
315.000,315.000,40.00,172338
316.000,316.000,40.00,162770
318.000,318.000,40.00,177912
319.000,319.000,40.00,163801
320.000,320.000,40.00,162506
321.000,321.000,40.00,162407
322.000,322.000,40.00,0
323.000,323.000,68.00,0
323.000,323.000,40.00,10180
325.000,325.000,40.00,64925
326.000,326.000,40.00,177442
327.000,327.000,40.00,102900
328.000,328.000,40.00,203292
329.000,329.000,40.00,250048
330.000,330.000,40.00,245930
331.000,331.000,40.00,222493
332.000,332.000,40.00,210588
334.000,334.000,40.00,224225
335.000,335.000,40.00,219483
335.000,335.000,40.00,219483
336.000,336.000,40.00,0
336.000,336.000,69.00,0
337.000,337.000,40.00,6191
338.000,338.000,40.00,62004
339.000,339.000,40.00,203860
341.000,341.000,40.00,245202
342.000,342.000,40.00,232983
343.000,343.000,40.00,253681
344.000,344.000,40.00,217065
345.000,345.000,40.00,232206
346.000,346.000,40.00,245830
347.000,347.000,40.00,223112
348.000,348.000,40.00,224680
350.000,350.000,40.00,49136
350.000,350.000,67.00,49136
351.000,351.000,40.00,1932
352.000,352.000,40.00,45115
353.000,353.000,40.00,142623
354.000,354.000,40.00,167470
355.000,355.000,40.00,166677
356.000,356.000,40.00,178448
358.000,358.000,40.00,173103
359.000,359.000,40.00,180935
360.000,360.000,40.00,179081
361.000,361.000,40.00,194392
363.000,363.000,40.00,23376
364.000,364.000,68.00,23376
365.000,365.000,40.00,2021
366.000,366.000,40.00,205784
367.000,367.000,40.00,211802
368.000,368.000,40.00,178175
369.000,369.000,40.00,204694
370.000,370.000,40.00,228907
371.000,371.000,40.00,177655
373.000,373.000,40.00,220438
374.000,374.000,40.00,241661
375.000,375.000,40.00,249576
377.000,377.000,40.00,164272
378.000,378.000,69.00,164272
378.000,378.000,40.00,332
379.000,379.000,40.00,231794
381.000,381.000,40.00,241951
382.000,382.000,40.00,208068
383.000,383.000,40.00,181621
384.000,384.000,40.00,115533
385.000,385.000,40.00,103475
386.000,386.000,40.00,108060
387.000,387.000,40.00,107910
389.000,389.000,40.00,91712
391.000,391.000,40.00,29017
392.000,392.000,70.00,29017
392.000,392.000,40.00,334
393.000,393.000,40.00,101964
395.000,395.000,40.00,250483
396.000,396.000,40.00,232633
397.000,397.000,40.00,146612
398.000,398.000,40.00,194222
399.000,399.000,40.00,181090
400.000,400.000,40.00,184132
401.000,401.000,40.00,181398
403.000,403.000,40.00,184510
405.000,405.000,40.00,37025
406.000,406.000,66.00,37025
406.000,406.000,40.00,1525
407.000,407.000,40.00,12739
408.000,408.000,40.00,17473
410.000,410.000,40.00,18721
411.000,411.000,40.00,18507
412.000,412.000,40.00,19106
413.000,413.000,40.00,19145
414.000,414.000,40.00,19551
416.000,416.000,40.00,18526
417.000,417.000,40.00,30829
418.000,418.000,40.00,37583
419.000,419.000,40.00,1229
420.000,420.000,65.00,1229
420.000,420.000,40.00,7807
421.000,421.000,40.00,22219
423.000,423.000,40.00,24090
424.000,424.000,40.00,61229
425.000,425.000,40.00,229211
426.000,426.000,40.00,224429
427.000,427.000,40.00,208170
428.000,428.000,40.00,221877
430.000,430.000,40.00,185730
431.000,431.000,40.00,221384
432.000,432.000,40.00,213484
433.000,433.000,40.00,4273
433.000,433.000,66.00,4273
434.000,434.000,40.00,4908
435.000,435.000,40.00,20190
437.000,437.000,40.00,20936
438.000,438.000,40.00,20224
439.000,439.000,40.00,20715
440.000,440.000,40.00,19925
441.000,441.000,40.00,35078
442.000,442.000,40.00,98788
444.000,444.000,40.00,138491
446.000,446.000,40.00,133568
447.000,447.000,40.00,2
447.000,447.000,67.00,2
448.000,448.000,40.00,11569
449.000,449.000,40.00,62237
451.000,451.000,40.00,168194
452.000,452.000,40.00,234263
453.000,453.000,40.00,236944
454.000,454.000,40.00,210613
455.000,455.000,40.00,227099
456.000,456.000,40.00,197064
457.000,457.000,40.00,172470
460.000,460.000,40.00,184448
461.000,461.000,40.00,0
