since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,40.00,37
1.000,1.000,40.00,1
2.000,2.000,40.00,0
3.000,3.000,40.00,0
3.000,3.000,40.00,85
4.000,4.000,40.00,115
5.000,5.000,40.00,0
6.000,6.000,40.00,4188
7.000,7.000,40.00,4212
8.000,8.000,40.00,3904
9.000,9.000,40.00,3552
10.000,10.000,40.00,15808
11.000,11.000,40.00,12245
12.000,12.000,40.00,16452
13.000,13.000,40.00,20302
15.000,15.000,40.00,15505
16.000,16.000,40.00,8148
17.000,17.000,40.00,8929
18.000,18.000,40.00,13276
19.000,19.000,40.00,10081
20.000,20.000,40.00,7628
21.000,21.000,40.00,8969
22.000,22.000,40.00,9064
23.000,23.000,40.00,10928
24.000,24.000,40.00,7422
25.000,25.000,40.00,6201
26.000,26.000,40.00,5461
27.000,27.000,40.00,4846
29.000,29.000,40.00,7955
30.000,30.000,40.00,7082
31.000,31.000,40.00,4213
31.000,31.000,40.00,4213
32.000,32.000,40.00,6777
33.000,33.000,40.00,7073
34.000,34.000,40.00,3457
35.000,35.000,40.00,348
36.000,36.000,40.00,0
37.000,37.000,40.00,0
38.000,38.000,40.00,0
40.000,40.000,40.00,0
41.000,41.000,40.00,0
43.000,43.000,40.00,0
44.000,44.000,40.00,0
45.000,45.000,40.00,0
46.000,46.000,40.00,2
46.000,46.000,40.00,2
47.000,47.000,40.00,0
48.000,48.000,40.00,3
49.000,49.000,40.00,0
50.000,50.000,40.00,2
51.000,51.000,40.00,0
52.000,52.000,40.00,0
53.000,53.000,40.00,0
53.000,53.000,40.00,0
54.000,54.000,40.00,0
55.000,55.000,40.00,0
57.000,57.000,40.00,0
58.000,58.000,40.00,0
59.000,59.000,40.00,0
60.000,60.000,40.00,0
60.000,60.000,40.00,0
61.000,61.000,40.00,0
62.000,62.000,40.00,0
63.000,63.000,40.00,0
64.000,64.000,40.00,18
65.000,65.000,40.00,0
66.000,66.000,40.00,0
66.000,66.000,40.00,0
67.000,67.000,40.00,0
68.000,68.000,40.00,2
69.000,69.000,40.00,0
71.000,71.000,40.00,18
72.000,72.000,40.00,0
72.000,72.000,40.00,0
73.000,73.000,40.00,0
74.000,74.000,40.00,0
75.000,75.000,40.00,5
76.000,76.000,40.00,1
77.000,77.000,40.00,1
78.000,78.000,40.00,0
78.000,78.000,40.00,0
79.000,79.000,40.00,0
80.000,80.000,40.00,8103
81.000,81.000,40.00,11148
82.000,82.000,40.00,10081
83.000,83.000,40.00,3693
84.000,84.000,40.00,0
85.000,85.000,40.00,0
86.000,86.000,40.00,0
87.000,87.000,40.00,0
88.000,88.000,40.00,2
89.000,89.000,40.00,0
90.000,90.000,40.00,2
91.000,91.000,40.00,0
92.000,92.000,40.00,2
93.000,93.000,40.00,0
94.000,94.000,40.00,0
95.000,95.000,40.00,0
96.000,96.000,40.00,0
97.000,97.000,40.00,0
98.000,98.000,40.00,0
100.000,100.000,40.00,0
101.000,101.000,40.00,0
101.000,101.000,40.00,0
102.000,102.000,40.00,0
103.000,103.000,40.00,0
104.000,104.000,40.00,0
105.000,105.000,40.00,0
