since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,40.00,141
1.000,1.000,40.00,0
1.000,1.000,40.00,0
2.000,2.000,40.00,53
3.000,3.000,40.00,0
4.000,4.000,40.00,56
5.000,5.000,40.00,38
6.000,6.000,40.00,0
7.000,7.000,40.00,2737
8.000,8.000,40.00,4638
9.000,9.000,40.00,4319
10.000,10.000,40.00,0
11.000,11.000,40.00,3425
12.000,12.000,40.00,3026
13.000,13.000,40.00,3463
15.000,15.000,40.00,2568
16.000,16.000,40.00,57152
17.000,17.000,40.00,72426
18.000,18.000,40.00,56403
19.000,19.000,40.00,62408
20.000,20.000,40.00,3121
21.000,21.000,40.00,12831
22.000,22.000,40.00,0
23.000,23.000,40.00,0
24.000,24.000,40.00,0
25.000,25.000,40.00,2
26.000,26.000,40.00,0
27.000,27.000,40.00,2
29.000,29.000,40.00,5
30.000,30.000,40.00,4
31.000,31.000,40.00,1
32.000,32.000,40.00,0
33.000,33.000,40.00,1
34.000,34.000,40.00,0
35.000,35.000,40.00,0
36.000,36.000,40.00,1
37.000,37.000,40.00,0
38.000,38.000,40.00,1
39.000,39.000,40.00,0
41.000,41.000,40.00,0
42.000,42.000,40.00,0
43.000,43.000,40.00,0
44.000,44.000,40.00,0
45.000,45.000,40.00,1
46.000,46.000,40.00,15
47.000,47.000,40.00,2
48.000,48.000,40.00,1
49.000,49.000,40.00,5
50.000,50.000,40.00,0
51.000,51.000,40.00,31
52.000,52.000,40.00,32
53.000,53.000,40.00,0
55.000,55.000,40.00,0
56.000,56.000,40.00,0
57.000,57.000,40.00,0
58.000,58.000,40.00,0
59.000,59.000,40.00,0
60.000,60.000,40.00,0
61.000,61.000,40.00,1
62.000,62.000,40.00,0
63.000,63.000,40.00,0
64.000,64.000,40.00,0
65.000,65.000,40.00,17
66.000,66.000,40.00,0
67.000,67.000,40.00,2
69.000,69.000,40.00,0
70.000,70.000,40.00,2
71.000,71.000,40.00,0
72.000,72.000,40.00,33740
73.000,73.000,40.00,0
74.000,74.000,40.00,0
75.000,75.000,40.00,15
76.000,76.000,40.00,0
77.000,77.000,40.00,6
78.000,78.000,40.00,1
79.000,79.000,40.00,2
80.000,80.000,40.00,37
81.000,81.000,40.00,0
83.000,83.000,40.00,0
84.000,84.000,40.00,0
85.000,85.000,40.00,0
86.000,86.000,40.00,0
87.000,87.000,40.00,0
88.000,88.000,40.00,0
89.000,89.000,40.00,2
90.000,90.000,40.00,0
91.000,91.000,40.00,2
92.000,92.000,40.00,1
93.000,93.000,40.00,2
94.000,94.000,40.00,0
95.000,95.000,40.00,0
97.000,97.000,40.00,0
98.000,98.000,40.00,0
99.000,99.000,40.00,0
100.000,100.000,40.00,0
101.000,101.000,40.00,0
102.000,102.000,40.00,0
103.000,103.000,40.00,0
103.000,103.000,40.00,0
104.000,104.000,40.00,0
105.000,105.000,40.00,0
106.000,106.000,40.00,0
107.000,107.000,40.00,0
108.000,108.000,40.00,0
109.000,109.000,40.00,2
111.000,111.000,40.00,2
112.000,112.000,40.00,2
113.000,113.000,40.00,2
114.000,114.000,40.00,2
115.000,115.000,40.00,0
116.000,116.000,40.00,0
117.000,117.000,40.00,948
118.000,118.000,40.00,1409
119.000,119.000,40.00,534
120.000,120.000,40.00,0
121.000,121.000,40.00,0
121.000,121.000,40.00,473
122.000,122.000,40.00,31381
123.000,123.000,40.00,0
125.000,125.000,40.00,0
126.000,126.000,40.00,0
127.000,127.000,40.00,0
128.000,128.000,40.00,0
129.000,129.000,40.00,0
130.000,130.000,40.00,0
131.000,131.000,40.00,2
132.000,132.000,40.00,0
133.000,133.000,40.00,2
134.000,134.000,40.00,0
135.000,135.000,40.00,18
136.000,136.000,40.00,0
137.000,137.000,40.00,0
139.000,139.000,40.00,0
140.000,140.000,40.00,0
141.000,141.000,40.00,0
142.000,142.000,40.00,0
143.000,143.000,40.00,33
144.000,144.000,40.00,0
145.000,145.000,40.00,0
146.000,146.000,40.00,0
147.000,147.000,40.00,0
148.000,148.000,40.00,0
149.000,149.000,40.00,0
150.000,150.000,40.00,0
151.000,151.000,40.00,2
153.000,153.000,40.00,0
154.000,154.000,40.00,2
155.000,155.000,40.00,0
156.000,156.000,40.00,2
157.000,157.000,40.00,1
158.000,158.000,40.00,0
159.000,159.000,40.00,0
160.000,160.000,40.00,0
161.000,161.000,40.00,0
162.000,162.000,40.00,0
163.000,163.000,40.00,0
164.000,164.000,40.00,0
165.000,165.000,40.00,0
167.000,167.000,40.00,0
168.000,168.000,40.00,14590
169.000,169.000,40.00,12906
170.000,170.000,40.00,0
171.000,171.000,40.00,0
172.000,172.000,40.00,0
173.000,173.000,40.00,2
174.000,174.000,40.00,0
175.000,175.000,40.00,2
176.000,176.000,40.00,0
177.000,177.000,40.00,2
178.000,178.000,40.00,0
179.000,179.000,40.00,0
180.000,180.000,40.00,0
182.000,182.000,40.00,0
183.000,183.000,40.00,0
184.000,184.000,40.00,0
185.000,185.000,40.00,0
186.000,186.000,40.00,0
187.000,187.000,40.00,0
188.000,188.000,40.00,0
189.000,189.000,40.00,0
190.000,190.000,40.00,0
191.000,191.000,40.00,0
192.000,192.000,40.00,0
193.000,193.000,40.00,2
195.000,195.000,40.00,0
196.000,196.000,40.00,18
197.000,197.000,40.00,0
198.000,198.000,40.00,2
199.000,199.000,40.00,0
200.000,200.000,40.00,0
201.000,201.000,40.00,0
202.000,202.000,40.00,0
203.000,203.000,40.00,0
204.000,204.000,40.00,0
205.000,205.000,40.00,0
206.000,206.000,40.00,0
207.000,207.000,40.00,0
209.000,209.000,40.00,0
210.000,210.000,40.00,0
211.000,211.000,40.00,0
212.000,212.000,40.00,0
213.000,213.000,40.00,0
214.000,214.000,40.00,32178
215.000,215.000,40.00,2
216.000,216.000,40.00,0
217.000,217.000,40.00,2
218.000,218.000,40.00,0
219.000,219.000,40.00,2
220.000,220.000,40.00,0
221.000,221.000,40.00,0
223.000,223.000,40.00,0
224.000,224.000,40.00,0
