since,relative_seconds,rtt
0.000,0.000,500.00
1.000,1.000,278.01
2.000,2.000,500.00
3.000,3.000,500.00
4.000,4.000,282.08
5.000,5.000,316.23
6.000,6.000,261.87
7.000,7.000,500.00
8.000,8.000,500.00
9.000,9.000,436.63
10.000,10.000,213.79
11.000,11.000,500.00
12.000,12.000,500.00
13.000,13.000,332.43
14.000,14.000,223.96
15.000,15.000,141.02
16.000,16.000,500.00
17.000,17.000,500.00
18.000,18.000,75.12
19.000,19.000,500.00
20.000,20.000,500.00
21.000,21.000,352.69
22.000,22.000,68.56
23.000,23.000,500.00
24.000,24.000,500.00
25.000,25.000,500.00
26.000,26.000,395.57
27.000,27.000,172.12
28.000,28.000,500.00
29.000,29.000,92.75
30.000,30.000,146.22
31.000,31.000,443.28
32.000,32.000,500.00
33.000,33.000,500.00
34.000,34.000,500.00
35.000,35.000,339.16
36.000,36.000,387.33
37.000,37.000,500.00
38.000,38.000,196.05
39.000,39.000,500.00
40.000,40.000,500.00
41.000,41.000,500.00
42.000,42.000,500.00
43.000,43.000,500.00
44.000,44.000,80.26
45.000,45.000,457.90
46.000,46.000,73.05
47.000,47.000,500.00
48.000,48.000,241.52
49.000,49.000,500.00
50.000,50.000,500.00
51.000,51.000,254.31
52.000,52.000,64.21
53.000,53.000,181.85
54.000,54.000,347.34
55.000,55.000,500.00
56.000,56.000,347.43
57.000,57.000,285.56
58.000,58.000,500.00
59.000,59.000,500.00
60.000,60.000,275.72
61.000,61.000,344.52
62.000,62.000,300.27
63.000,63.000,500.00
64.000,64.000,291.24
65.000,65.000,336.24
66.000,66.000,500.00
67.000,67.000,115.57
68.000,68.000,105.44
69.000,69.000,308.04
70.000,70.000,453.96
71.000,71.000,283.59
72.000,72.000,151.65
73.000,73.000,397.92
74.000,74.000,265.13
75.000,75.000,71.09
76.000,76.000,176.13
77.000,77.000,262.94
78.000,78.000,500.00
79.000,79.000,500.00
80.000,80.000,70.89
81.000,81.000,500.00
82.000,82.000,302.27
83.000,83.000,500.00
84.000,84.000,500.00
85.000,85.000,500.00
86.000,86.000,388.46
87.000,87.000,93.05
88.000,88.000,500.00
89.000,89.000,242.34
90.000,90.000,500.00
91.000,91.000,274.88
92.000,92.000,152.47
93.000,93.000,500.00
94.000,94.000,500.00
95.000,95.000,138.16
96.000,96.000,485.74
97.000,97.000,342.11
98.000,98.000,242.25
99.000,99.000,454.05
100.000,100.000,500.00
101.000,101.000,500.00
