since,relative_seconds,rtt
0.000,0.000,106.10
1.000,1.000,94.75
2.000,2.000,102.09
3.000,3.000,96.38
4.000,4.000,99.76
5.000,5.000,99.77
6.000,6.000,97.85
7.000,7.000,91.87
8.000,8.000,99.56
9.000,9.000,91.25
10.000,10.000,101.46
11.000,11.000,96.24
12.000,12.000,100.19
13.000,13.000,104.43
14.000,14.000,100.38
15.000,15.000,103.80
16.000,16.000,100.04
17.000,17.000,106.39
18.000,18.000,95.49
19.000,19.000,98.47
20.000,20.000,105.79
21.000,21.000,108.79
22.000,22.000,98.60
23.000,23.000,98.44
24.000,24.000,107.31
25.000,25.000,99.38
26.000,26.000,99.72
27.000,27.000,96.07
28.000,28.000,99.48
29.000,29.000,101.93
30.000,30.000,94.54
31.000,31.000,96.73
32.000,32.000,100.70
33.000,33.000,103.63
34.000,34.000,101.71
35.000,35.000,99.45
36.000,36.000,95.50
37.000,37.000,102.21
38.000,38.000,108.69
39.000,39.000,101.54
40.000,40.000,95.68
41.000,41.000,97.93
42.000,42.000,98.68
43.000,43.000,100.94
44.000,44.000,102.20
45.000,45.000,99.41
46.000,46.000,98.08
47.000,47.000,100.76
48.000,48.000,96.81
49.000,49.000,91.78
50.000,50.000,103.00
51.000,51.000,96.14
52.000,52.000,98.04
53.000,53.000,103.11
54.000,54.000,92.77
55.000,55.000,100.59
56.000,56.000,94.80
57.000,57.000,96.98
58.000,58.000,103.58
59.000,59.000,104.71
60.000,60.000,105.26
61.000,61.000,95.67
62.000,62.000,98.90
63.000,63.000,98.51
64.000,64.000,100.78
65.000,65.000,104.33
66.000,66.000,99.06
67.000,67.000,105.65
68.000,68.000,99.29
69.000,69.000,99.41
70.000,70.000,100.76
71.000,71.000,101.45
72.000,72.000,99.34
73.000,73.000,96.75
74.000,74.000,104.02
75.000,75.000,102.04
76.000,76.000,99.06
77.000,77.000,98.51
78.000,78.000,103.71
79.000,79.000,95.96
80.000,80.000,112.34
81.000,81.000,99.56
82.000,82.000,105.50
83.000,83.000,103.72
84.000,84.000,107.94
85.000,85.000,101.78
86.000,86.000,92.31
87.000,87.000,102.62
88.000,88.000,100.52
89.000,89.000,93.53
90.000,90.000,98.68
91.000,91.000,96.73
92.000,92.000,100.78
93.000,93.000,91.97
94.000,94.000,98.37
95.000,95.000,96.54
96.000,96.000,95.30
97.000,97.000,103.92
98.000,98.000,104.82
99.000,99.000,96.22
100.000,100.000,101.71
101.000,101.000,106.81
102.000,102.000,96.05
103.000,103.000,102.56
104.000,104.000,105.30
105.000,105.000,100.00
106.000,106.000,97.92
107.000,107.000,97.37
108.000,108.000,93.30
109.000,109.000,98.05
110.000,110.000,98.85
111.000,111.000,101.52
112.000,112.000,91.65
113.000,113.000,96.42
114.000,114.000,105.33
115.000,115.000,113.12
116.000,116.000,101.42
117.000,117.000,99.64
118.000,118.000,101.06
119.000,119.000,96.41
120.000,120.000,97.68
121.000,121.000,97.26
122.000,122.000,98.02
123.000,123.000,102.24
124.000,124.000,103.21
125.000,125.000,98.15
126.000,126.000,104.19
127.000,127.000,101.91
128.000,128.000,105.85
129.000,129.000,102.10
130.000,130.000,94.61
131.000,131.000,99.69
132.000,132.000,95.05
133.000,133.000,100.72
134.000,134.000,102.20
135.000,135.000,93.31
136.000,136.000,101.78
137.000,137.000,96.88
138.000,138.000,96.59
139.000,139.000,94.23
140.000,140.000,98.16
141.000,141.000,104.99
142.000,142.000,97.20
143.000,143.000,100.00
144.000,144.000,104.82
145.000,145.000,96.84
146.000,146.000,100.22
147.000,147.000,99.64
148.000,148.000,99.36
149.000,149.000,107.85
150.000,150.000,104.02
151.000,151.000,98.18
152.000,152.000,113.26
153.000,153.000,97.92
154.000,154.000,98.91
155.000,155.000,102.51
156.000,156.000,100.91
157.000,157.000,96.05
158.000,158.000,98.37
159.000,159.000,94.81
160.000,160.000,90.43
161.000,161.000,95.81
162.000,162.000,91.49
163.000,163.000,105.14
164.000,164.000,103.12
165.000,165.000,107.69
166.000,166.000,98.77
167.000,167.000,100.57
168.000,168.000,103.81
169.000,169.000,103.51
170.000,170.000,103.18
171.000,171.000,102.42
172.000,172.000,101.92
173.000,173.000,95.30
174.000,174.000,96.83
175.000,175.000,98.32
176.000,176.000,96.56
177.000,177.000,99.78
178.000,178.000,101.17
179.000,179.000,95.64
180.000,180.000,101.45
181.000,181.000,105.95
182.000,182.000,94.37
183.000,183.000,98.00
184.000,184.000,105.55
185.000,185.000,97.84
186.000,186.000,94.70
187.000,187.000,101.27
188.000,188.000,101.32
189.000,189.000,95.87
190.000,190.000,99.35
191.000,191.000,110.06
192.000,192.000,99.82
193.000,193.000,101.72
194.000,194.000,92.53
195.000,195.000,106.12
196.000,196.000,101.63
197.000,197.000,101.37
198.000,198.000,101.70
199.000,199.000,100.82
200.000,200.000,106.98
