since,relative_seconds,rtt
0.000,0.000,500.00
1.000,1.000,500.00
2.000,2.000,500.00
3.000,3.000,500.00
4.000,4.000,500.00
5.000,5.000,500.00
6.000,6.000,500.00
7.000,7.000,500.00
8.000,8.000,500.00
9.000,9.000,500.00
10.000,10.000,500.00
11.000,11.000,500.00
12.000,12.000,500.00
13.000,13.000,500.00
14.000,14.000,500.00
15.000,15.000,500.00
16.000,16.000,500.00
17.000,17.000,500.00
18.000,18.000,500.00
19.000,19.000,500.00
20.000,20.000,500.00
21.000,21.000,500.00
22.000,22.000,500.00
23.000,23.000,500.00
24.000,24.000,500.00
25.000,25.000,500.00
26.000,26.000,500.00
27.000,27.000,500.00
28.000,28.000,500.00
29.000,29.000,500.00
30.000,30.000,500.00
31.000,31.000,500.00
32.000,32.000,500.00
33.000,33.000,500.00
34.000,34.000,500.00
35.000,35.000,500.00
36.000,36.000,500.00
37.000,37.000,500.00
38.000,38.000,500.00
39.000,39.000,500.00
40.000,40.000,500.00
41.000,41.000,500.00
42.000,42.000,500.00
43.000,43.000,500.00
44.000,44.000,500.00
45.000,45.000,500.00
46.000,46.000,500.00
47.000,47.000,500.00
48.000,48.000,500.00
49.000,49.000,500.00
50.000,50.000,500.00
51.000,51.000,500.00
52.000,52.000,500.00
53.000,53.000,500.00
54.000,54.000,500.00
55.000,55.000,500.00
56.000,56.000,500.00
57.000,57.000,500.00
58.000,58.000,500.00
59.000,59.000,500.00
60.000,60.000,500.00
61.000,61.000,500.00
62.000,62.000,500.00
63.000,63.000,500.00
64.000,64.000,500.00
65.000,65.000,500.00
66.000,66.000,500.00
67.000,67.000,500.00
68.000,68.000,500.00
69.000,69.000,500.00
70.000,70.000,500.00
71.000,71.000,500.00
72.000,72.000,500.00
73.000,73.000,500.00
74.000,74.000,500.00
75.000,75.000,500.00
76.000,76.000,500.00
77.000,77.000,500.00
78.000,78.000,500.00
79.000,79.000,500.00
80.000,80.000,500.00
81.000,81.000,500.00
82.000,82.000,500.00
83.000,83.000,500.00
84.000,84.000,500.00
85.000,85.000,500.00
86.000,86.000,500.00
87.000,87.000,500.00
88.000,88.000,500.00
89.000,89.000,500.00
90.000,90.000,500.00
91.000,91.000,500.00
92.000,92.000,500.00
93.000,93.000,500.00
94.000,94.000,500.00
95.000,95.000,500.00
96.000,96.000,500.00
97.000,97.000,500.00
98.000,98.000,500.00
99.000,99.000,500.00
100.000,100.000,500.00
101.000,101.000,500.00
102.000,102.000,500.00
103.000,103.000,500.00
104.000,104.000,500.00
105.000,105.000,500.00
106.000,106.000,500.00
107.000,107.000,500.00
108.000,108.000,500.00
109.000,109.000,500.00
110.000,110.000,500.00
111.000,111.000,500.00
112.000,112.000,500.00
113.000,113.000,500.00
114.000,114.000,500.00
115.000,115.000,500.00
116.000,116.000,500.00
117.000,117.000,500.00
118.000,118.000,500.00
119.000,119.000,500.00
120.000,120.000,500.00
121.000,121.000,500.00
122.000,122.000,500.00
123.000,123.000,500.00
124.000,124.000,500.00
125.000,125.000,500.00
126.000,126.000,500.00
127.000,127.000,500.00
128.000,128.000,500.00
129.000,129.000,500.00
130.000,130.000,500.00
131.000,131.000,500.00
132.000,132.000,500.00
133.000,133.000,500.00
134.000,134.000,500.00
135.000,135.000,500.00
136.000,136.000,500.00
137.000,137.000,500.00
138.000,138.000,500.00
139.000,139.000,500.00
140.000,140.000,500.00
141.000,141.000,500.00
142.000,142.000,500.00
143.000,143.000,500.00
144.000,144.000,500.00
145.000,145.000,500.00
146.000,146.000,500.00
147.000,147.000,500.00
148.000,148.000,500.00
149.000,149.000,500.00
150.000,150.000,500.00
151.000,151.000,500.00
152.000,152.000,500.00
153.000,153.000,500.00
154.000,154.000,500.00
155.000,155.000,500.00
156.000,156.000,500.00
157.000,157.000,500.00
158.000,158.000,500.00
159.000,159.000,500.00
160.000,160.000,500.00
161.000,161.000,500.00
162.000,162.000,500.00
163.000,163.000,500.00
164.000,164.000,500.00
165.000,165.000,500.00
166.000,166.000,500.00
167.000,167.000,500.00
168.000,168.000,500.00
169.000,169.000,500.00
170.000,170.000,500.00
171.000,171.000,500.00
172.000,172.000,500.00
173.000,173.000,500.00
174.000,174.000,500.00
175.000,175.000,500.00
176.000,176.000,500.00
177.000,177.000,500.00
178.000,178.000,500.00
179.000,179.000,500.00
180.000,180.000,500.00
181.000,181.000,500.00
182.000,182.000,500.00
183.000,183.000,500.00
184.000,184.000,500.00
185.000,185.000,500.00
186.000,186.000,500.00
187.000,187.000,500.00
188.000,188.000,500.00
189.000,189.000,500.00
190.000,190.000,500.00
191.000,191.000,500.00
192.000,192.000,500.00
193.000,193.000,500.00
194.000,194.000,500.00
195.000,195.000,500.00
196.000,196.000,500.00
197.000,197.000,500.00
198.000,198.000,500.00
199.000,199.000,500.00
200.000,200.000,500.00
201.000,201.000,500.00
202.000,202.000,500.00
203.000,203.000,500.00
204.000,204.000,500.00
205.000,205.000,500.00
206.000,206.000,500.00
207.000,207.000,500.00
208.000,208.000,500.00
209.000,209.000,500.00
210.000,210.000,500.00
211.000,211.000,500.00
212.000,212.000,500.00
213.000,213.000,500.00
214.000,214.000,500.00
215.000,215.000,500.00
216.000,216.000,500.00
217.000,217.000,500.00
218.000,218.000,500.00
219.000,219.000,500.00
220.000,220.000,500.00
221.000,221.000,500.00
222.000,222.000,500.00
223.000,223.000,500.00
224.000,224.000,500.00
225.000,225.000,500.00
226.000,226.000,500.00
227.000,227.000,500.00
228.000,228.000,500.00
229.000,229.000,500.00
230.000,230.000,500.00
231.000,231.000,500.00
232.000,232.000,500.00
233.000,233.000,500.00
234.000,234.000,500.00
235.000,235.000,500.00
236.000,236.000,500.00
237.000,237.000,500.00
238.000,238.000,500.00
239.000,239.000,500.00
240.000,240.000,500.00
241.000,241.000,500.00
242.000,242.000,500.00
243.000,243.000,500.00
244.000,244.000,500.00
245.000,245.000,500.00
246.000,246.000,500.00
247.000,247.000,500.00
248.000,248.000,500.00
249.000,249.000,500.00
250.000,250.000,500.00
251.000,251.000,500.00
252.000,252.000,500.00
253.000,253.000,500.00
254.000,254.000,500.00
255.000,255.000,500.00
256.000,256.000,500.00
257.000,257.000,500.00
258.000,258.000,500.00
259.000,259.000,500.00
260.000,260.000,500.00
261.000,261.000,500.00
262.000,262.000,500.00
263.000,263.000,500.00
264.000,264.000,500.00
265.000,265.000,500.00
266.000,266.000,500.00
267.000,267.000,500.00
268.000,268.000,500.00
269.000,269.000,500.00
270.000,270.000,500.00
271.000,271.000,500.00
272.000,272.000,500.00
273.000,273.000,500.00
274.000,274.000,500.00
275.000,275.000,500.00
276.000,276.000,500.00
277.000,277.000,500.00
278.000,278.000,500.00
279.000,279.000,500.00
280.000,280.000,500.00
281.000,281.000,500.00
282.000,282.000,500.00
283.000,283.000,500.00
284.000,284.000,500.00
285.000,285.000,500.00
286.000,286.000,500.00
287.000,287.000,500.00
288.000,288.000,500.00
289.000,289.000,500.00
290.000,290.000,500.00
291.000,291.000,500.00
292.000,292.000,500.00
293.000,293.000,500.00
294.000,294.000,500.00
295.000,295.000,500.00
296.000,296.000,500.00
297.000,297.000,500.00
298.000,298.000,500.00
299.000,299.000,500.00
300.000,300.000,500.00
301.000,301.000,500.00
302.000,302.000,500.00
303.000,303.000,500.00
304.000,304.000,500.00
305.000,305.000,500.00
306.000,306.000,500.00
307.000,307.000,500.00
308.000,308.000,500.00
309.000,309.000,500.00
310.000,310.000,500.00
311.000,311.000,500.00
312.000,312.000,500.00
313.000,313.000,500.00
314.000,314.000,500.00
315.000,315.000,500.00
316.000,316.000,500.00
317.000,317.000,500.00
318.000,318.000,500.00
319.000,319.000,500.00
320.000,320.000,500.00
321.000,321.000,500.00
322.000,322.000,500.00
323.000,323.000,500.00
324.000,324.000,500.00
325.000,325.000,500.00
326.000,326.000,500.00
327.000,327.000,500.00
328.000,328.000,500.00
329.000,329.000,500.00
330.000,330.000,500.00
331.000,331.000,500.00
332.000,332.000,500.00
333.000,333.000,500.00
334.000,334.000,500.00
335.000,335.000,500.00
336.000,336.000,500.00
337.000,337.000,500.00
338.000,338.000,500.00
339.000,339.000,500.00
340.000,340.000,500.00
341.000,341.000,500.00
342.000,342.000,500.00
343.000,343.000,500.00
344.000,344.000,500.00
345.000,345.000,500.00
346.000,346.000,500.00
347.000,347.000,500.00
348.000,348.000,500.00
349.000,349.000,500.00
350.000,350.000,500.00
351.000,351.000,500.00
352.000,352.000,500.00
353.000,353.000,500.00
354.000,354.000,500.00
355.000,355.000,500.00
356.000,356.000,500.00
357.000,357.000,500.00
358.000,358.000,500.00
359.000,359.000,500.00
360.000,360.000,500.00
361.000,361.000,500.00
362.000,362.000,500.00
363.000,363.000,500.00
364.000,364.000,500.00
365.000,365.000,500.00
366.000,366.000,500.00
367.000,367.000,500.00
368.000,368.000,500.00
369.000,369.000,500.00
370.000,370.000,500.00
371.000,371.000,500.00
372.000,372.000,500.00
373.000,373.000,500.00
374.000,374.000,500.00
375.000,375.000,500.00
376.000,376.000,500.00
377.000,377.000,500.00
378.000,378.000,500.00
379.000,379.000,500.00
380.000,380.000,500.00
381.000,381.000,500.00
382.000,382.000,500.00
383.000,383.000,500.00
384.000,384.000,500.00
385.000,385.000,500.00
386.000,386.000,500.00
387.000,387.000,500.00
388.000,388.000,500.00
389.000,389.000,500.00
390.000,390.000,500.00
391.000,391.000,500.00
392.000,392.000,500.00
393.000,393.000,500.00
394.000,394.000,500.00
395.000,395.000,500.00
396.000,396.000,500.00
397.000,397.000,500.00
398.000,398.000,500.00
399.000,399.000,500.00
400.000,400.000,500.00
401.000,401.000,500.00
402.000,402.000,500.00
403.000,403.000,500.00
404.000,404.000,500.00
405.000,405.000,500.00
406.000,406.000,500.00
407.000,407.000,500.00
408.000,408.000,500.00
409.000,409.000,500.00
410.000,410.000,500.00
411.000,411.000,500.00
412.000,412.000,500.00
413.000,413.000,500.00
414.000,414.000,500.00
415.000,415.000,500.00
416.000,416.000,500.00
417.000,417.000,500.00
418.000,418.000,500.00
