since,relative_seconds,rtt
0.000,0.000,264.19
1.000,1.000,249.07
2.000,2.000,242.35
3.000,3.000,226.01
4.000,4.000,258.20
5.000,5.000,255.55
6.000,6.000,236.89
7.000,7.000,261.70
8.000,8.000,235.12
9.000,9.000,253.83
10.000,10.000,258.74
11.000,11.000,241.91
12.000,12.000,245.94
13.000,13.000,242.02
14.000,14.000,252.02
15.000,15.000,262.25
16.000,16.000,286.16
17.000,17.000,240.96
18.000,18.000,251.45
19.000,19.000,256.16
20.000,20.000,231.65
21.000,21.000,257.93
22.000,22.000,269.80
23.000,23.000,264.50
24.000,24.000,248.19
25.000,25.000,263.31
26.000,26.000,254.86
27.000,27.000,271.24
28.000,28.000,228.93
29.000,29.000,264.39
30.000,30.000,245.13
31.000,31.000,233.94
32.000,32.000,237.97
33.000,33.000,283.18
34.000,34.000,274.87
35.000,35.000,271.59
36.000,36.000,235.83
37.000,37.000,260.92
38.000,38.000,251.99
39.000,39.000,261.98
40.000,40.000,255.68
41.000,41.000,275.74
42.000,42.000,256.08
43.000,43.000,228.66
44.000,44.000,225.24
45.000,45.000,243.81
46.000,46.000,237.43
47.000,47.000,249.97
48.000,48.000,249.60
49.000,49.000,257.11
50.000,50.000,237.99
51.000,51.000,251.52
52.000,52.000,245.67
53.000,53.000,248.44
54.000,54.000,237.26
55.000,55.000,259.15
56.000,56.000,262.21
57.000,57.000,257.30
58.000,58.000,243.20
59.000,59.000,233.16
60.000,60.000,236.65
61.000,61.000,249.06
62.000,62.000,242.70
63.000,63.000,236.46
64.000,64.000,259.79
65.000,65.000,255.15
66.000,66.000,233.98
67.000,67.000,220.11
68.000,68.000,241.40
69.000,69.000,238.96
70.000,70.000,261.99
71.000,71.000,235.61
72.000,72.000,247.81
73.000,73.000,247.78
74.000,74.000,241.78
75.000,75.000,269.55
76.000,76.000,239.72
77.000,77.000,269.16
78.000,78.000,250.58
79.000,79.000,247.61
80.000,80.000,236.06
81.000,81.000,240.77
82.000,82.000,262.10
83.000,83.000,243.07
84.000,84.000,233.24
85.000,85.000,249.97
86.000,86.000,273.14
87.000,87.000,271.26
