since,relative_seconds,rtt
0.000,0.000,500.00
1.000,1.000,500.00
2.000,2.000,500.00
3.000,3.000,500.00
4.000,4.000,500.00
5.000,5.000,500.00
6.000,6.000,500.00
7.000,7.000,464.85
8.000,8.000,500.00
9.000,9.000,500.00
10.000,10.000,500.00
11.000,11.000,500.00
12.000,12.000,500.00
13.000,13.000,500.00
14.000,14.000,500.00
15.000,15.000,452.93
16.000,16.000,500.00
17.000,17.000,500.00
18.000,18.000,500.00
19.000,19.000,367.64
20.000,20.000,500.00
21.000,21.000,500.00
22.000,22.000,500.00
23.000,23.000,500.00
24.000,24.000,500.00
25.000,25.000,500.00
26.000,26.000,500.00
27.000,27.000,500.00
28.000,28.000,500.00
29.000,29.000,500.00
30.000,30.000,500.00
31.000,31.000,500.00
32.000,32.000,500.00
33.000,33.000,462.90
34.000,34.000,500.00
35.000,35.000,500.00
36.000,36.000,500.00
37.000,37.000,500.00
38.000,38.000,500.00
39.000,39.000,500.00
40.000,40.000,500.00
41.000,41.000,500.00
42.000,42.000,500.00
43.000,43.000,500.00
44.000,44.000,500.00
45.000,45.000,500.00
46.000,46.000,451.44
47.000,47.000,500.00
48.000,48.000,500.00
49.000,49.000,500.00
50.000,50.000,500.00
51.000,51.000,500.00
52.000,52.000,500.00
53.000,53.000,500.00
54.000,54.000,500.00
55.000,55.000,500.00
56.000,56.000,500.00
57.000,57.000,500.00
58.000,58.000,500.00
59.000,59.000,500.00
60.000,60.000,500.00
61.000,61.000,500.00
62.000,62.000,500.00
63.000,63.000,500.00
64.000,64.000,500.00
65.000,65.000,500.00
66.000,66.000,500.00
67.000,67.000,500.00
68.000,68.000,500.00
69.000,69.000,500.00
70.000,70.000,500.00
71.000,71.000,500.00
72.000,72.000,500.00
73.000,73.000,500.00
74.000,74.000,500.00
75.000,75.000,500.00
76.000,76.000,466.25
77.000,77.000,500.00
78.000,78.000,500.00
79.000,79.000,448.03
80.000,80.000,447.06
81.000,81.000,500.00
82.000,82.000,374.86
83.000,83.000,500.00
84.000,84.000,500.00
85.000,85.000,436.80
86.000,86.000,500.00
87.000,87.000,387.14
88.000,88.000,500.00
89.000,89.000,500.00
90.000,90.000,386.38
91.000,91.000,500.00
92.000,92.000,488.14
93.000,93.000,462.80
94.000,94.000,500.00
95.000,95.000,500.00
96.000,96.000,500.00
97.000,97.000,500.00
98.000,98.000,500.00
99.000,99.000,500.00
100.000,100.000,500.00
101.000,101.000,445.43
102.000,102.000,458.79
103.000,103.000,500.00
104.000,104.000,496.05
105.000,105.000,372.64
106.000,106.000,461.30
107.000,107.000,488.19
108.000,108.000,500.00
109.000,109.000,500.00
110.000,110.000,500.00
111.000,111.000,500.00
112.000,112.000,500.00
113.000,113.000,500.00
114.000,114.000,402.66
115.000,115.000,500.00
116.000,116.000,500.00
117.000,117.000,500.00
118.000,118.000,500.00
119.000,119.000,485.26
120.000,120.000,500.00
121.000,121.000,405.36
122.000,122.000,418.90
123.000,123.000,500.00
124.000,124.000,500.00
125.000,125.000,371.27
126.000,126.000,500.00
127.000,127.000,500.00
128.000,128.000,500.00
129.000,129.000,439.84
130.000,130.000,500.00
131.000,131.000,362.99
132.000,132.000,392.04
133.000,133.000,449.03
134.000,134.000,500.00
135.000,135.000,500.00
136.000,136.000,500.00
137.000,137.000,500.00
138.000,138.000,500.00
139.000,139.000,466.62
140.000,140.000,500.00
141.000,141.000,462.23
142.000,142.000,500.00
143.000,143.000,500.00
144.000,144.000,322.44
145.000,145.000,500.00
146.000,146.000,500.00
147.000,147.000,495.71
148.000,148.000,435.11
149.000,149.000,383.23
150.000,150.000,500.00
151.000,151.000,443.27
152.000,152.000,500.00
153.000,153.000,500.00
154.000,154.000,329.35
155.000,155.000,500.00
156.000,156.000,365.03
157.000,157.000,500.00
158.000,158.000,500.00
159.000,159.000,489.01
160.000,160.000,500.00
161.000,161.000,500.00
162.000,162.000,500.00
163.000,163.000,500.00
164.000,164.000,492.77
165.000,165.000,373.73
166.000,166.000,328.95
167.000,167.000,500.00
168.000,168.000,457.02
169.000,169.000,444.94
170.000,170.000,370.49
171.000,171.000,332.74
172.000,172.000,500.00
173.000,173.000,459.00
174.000,174.000,500.00
175.000,175.000,406.08
176.000,176.000,467.70
177.000,177.000,370.08
178.000,178.000,404.15
179.000,179.000,500.00
180.000,180.000,459.08
181.000,181.000,500.00
182.000,182.000,333.77
183.000,183.000,417.64
184.000,184.000,454.26
185.000,185.000,500.00
186.000,186.000,377.71
187.000,187.000,360.43
188.000,188.000,373.78
189.000,189.000,403.71
190.000,190.000,309.12
191.000,191.000,431.08
192.000,192.000,325.41
193.000,193.000,360.79
194.000,194.000,368.76
195.000,195.000,500.00
196.000,196.000,336.62
197.000,197.000,500.00
198.000,198.000,353.85
199.000,199.000,350.89
200.000,200.000,441.21
201.000,201.000,484.45
202.000,202.000,500.00
203.000,203.000,500.00
204.000,204.000,500.00
205.000,205.000,494.88
206.000,206.000,464.78
207.000,207.000,484.82
208.000,208.000,500.00
209.000,209.000,500.00
210.000,210.000,429.03
211.000,211.000,500.00
212.000,212.000,421.01
213.000,213.000,389.38
214.000,214.000,500.00
215.000,215.000,500.00
216.000,216.000,500.00
217.000,217.000,398.57
218.000,218.000,362.71
219.000,219.000,353.00
220.000,220.000,407.96
221.000,221.000,481.50
222.000,222.000,403.69
223.000,223.000,285.45
224.000,224.000,500.00
225.000,225.000,389.78
226.000,226.000,435.47
227.000,227.000,467.82
228.000,228.000,500.00
229.000,229.000,446.26
230.000,230.000,317.77
231.000,231.000,442.82
232.000,232.000,325.47
233.000,233.000,434.04
234.000,234.000,500.00
235.000,235.000,352.68
236.000,236.000,463.18
237.000,237.000,251.63
238.000,238.000,273.77
239.000,239.000,350.71
240.000,240.000,455.24
241.000,241.000,387.18
242.000,242.000,373.28
243.000,243.000,301.99
244.000,244.000,312.53
245.000,245.000,316.77
246.000,246.000,379.42
247.000,247.000,281.25
248.000,248.000,269.75
249.000,249.000,408.39
250.000,250.000,271.45
251.000,251.000,397.00
252.000,252.000,500.00
253.000,253.000,450.02
254.000,254.000,301.93
255.000,255.000,478.01
256.000,256.000,369.14
257.000,257.000,311.50
258.000,258.000,440.58
259.000,259.000,397.29
260.000,260.000,307.14
261.000,261.000,346.53
262.000,262.000,290.96
263.000,263.000,320.61
264.000,264.000,463.39
265.000,265.000,257.35
266.000,266.000,421.40
267.000,267.000,500.00
268.000,268.000,500.00
269.000,269.000,375.20
270.000,270.000,348.03
271.000,271.000,483.32
272.000,272.000,366.78
273.000,273.000,295.25
274.000,274.000,268.75
275.000,275.000,339.30
276.000,276.000,301.72
277.000,277.000,316.01
278.000,278.000,392.20
279.000,279.000,384.94
280.000,280.000,260.90
281.000,281.000,264.07
282.000,282.000,296.99
283.000,283.000,232.84
284.000,284.000,308.39
285.000,285.000,398.21
286.000,286.000,334.44
287.000,287.000,500.00
288.000,288.000,333.38
289.000,289.000,309.15
290.000,290.000,380.71
291.000,291.000,259.89
292.000,292.000,369.44
293.000,293.000,281.43
294.000,294.000,349.37
295.000,295.000,249.06
296.000,296.000,304.84
297.000,297.000,319.01
298.000,298.000,327.21
299.000,299.000,386.00
300.000,300.000,266.24
301.000,301.000,357.59
302.000,302.000,405.46
303.000,303.000,299.81
304.000,304.000,261.34
305.000,305.000,350.12
306.000,306.000,296.97
307.000,307.000,325.82
308.000,308.000,310.90
309.000,309.000,254.11
310.000,310.000,410.55
311.000,311.000,228.00
312.000,312.000,235.40
313.000,313.000,391.74
314.000,314.000,347.71
315.000,315.000,341.20
316.000,316.000,396.91
317.000,317.000,378.98
318.000,318.000,264.14
319.000,319.000,451.63
320.000,320.000,395.59
321.000,321.000,331.28
322.000,322.000,376.47
323.000,323.000,333.45
324.000,324.000,313.06
325.000,325.000,269.98
326.000,326.000,331.69
327.000,327.000,248.83
328.000,328.000,468.37
329.000,329.000,335.55
330.000,330.000,284.64
331.000,331.000,264.58
332.000,332.000,259.19
333.000,333.000,320.01
334.000,334.000,327.35
335.000,335.000,264.74
336.000,336.000,346.65
337.000,337.000,238.41
338.000,338.000,258.58
339.000,339.000,329.49
340.000,340.000,256.20
341.000,341.000,432.35
342.000,342.000,274.75
343.000,343.000,323.77
344.000,344.000,315.21
345.000,345.000,386.96
346.000,346.000,310.18
347.000,347.000,258.40
348.000,348.000,272.34
349.000,349.000,257.70
350.000,350.000,348.34
351.000,351.000,332.94
352.000,352.000,269.26
353.000,353.000,259.72
354.000,354.000,312.43
355.000,355.000,350.98
356.000,356.000,279.19
357.000,357.000,251.32
358.000,358.000,258.19
359.000,359.000,321.52
360.000,360.000,198.17
361.000,361.000,217.76
362.000,362.000,386.27
363.000,363.000,248.38
364.000,364.000,298.59
365.000,365.000,258.10
366.000,366.000,365.21
367.000,367.000,306.10
368.000,368.000,291.49
369.000,369.000,363.10
370.000,370.000,314.60
371.000,371.000,235.46
372.000,372.000,301.50
373.000,373.000,243.86
374.000,374.000,278.20
375.000,375.000,230.19
376.000,376.000,217.94
377.000,377.000,254.37
378.000,378.000,242.54
379.000,379.000,360.38
380.000,380.000,213.92
381.000,381.000,255.19
382.000,382.000,300.81
383.000,383.000,251.45
384.000,384.000,350.50
385.000,385.000,289.23
386.000,386.000,278.25
387.000,387.000,331.09
388.000,388.000,296.74
389.000,389.000,190.42
390.000,390.000,300.61
391.000,391.000,251.12
392.000,392.000,311.65
393.000,393.000,211.78
394.000,394.000,312.17
395.000,395.000,298.19
396.000,396.000,283.23
397.000,397.000,260.30
398.000,398.000,192.82
399.000,399.000,266.62
400.000,400.000,217.62
401.000,401.000,321.50
402.000,402.000,207.49
403.000,403.000,289.74
404.000,404.000,321.16
405.000,405.000,251.29
406.000,406.000,260.95
407.000,407.000,245.64
408.000,408.000,346.76
409.000,409.000,257.24
410.000,410.000,315.31
411.000,411.000,425.62
412.000,412.000,333.44
413.000,413.000,316.02
414.000,414.000,275.88
415.000,415.000,310.40
416.000,416.000,236.05
417.000,417.000,283.57
418.000,418.000,254.60
