since,relative_seconds,rtt
0.000,0.000,500.00
1.000,1.000,427.75
2.000,2.000,366.02
3.000,3.000,500.00
4.000,4.000,500.00
5.000,5.000,409.89
6.000,6.000,500.00
7.000,7.000,341.15
8.000,8.000,500.00
9.000,9.000,401.82
10.000,10.000,497.60
11.000,11.000,454.67
12.000,12.000,500.00
13.000,13.000,418.63
14.000,14.000,495.11
15.000,15.000,500.00
16.000,16.000,392.11
17.000,17.000,399.02
18.000,18.000,456.95
19.000,19.000,500.00
20.000,20.000,447.71
21.000,21.000,500.00
22.000,22.000,379.02
23.000,23.000,500.00
24.000,24.000,420.01
25.000,25.000,500.00
26.000,26.000,500.00
27.000,27.000,378.26
28.000,28.000,500.00
29.000,29.000,500.00
30.000,30.000,500.00
31.000,31.000,500.00
32.000,32.000,348.34
33.000,33.000,377.27
34.000,34.000,480.90
35.000,35.000,488.52
36.000,36.000,500.00
37.000,37.000,500.00
38.000,38.000,500.00
39.000,39.000,442.35
40.000,40.000,399.82
41.000,41.000,478.70
42.000,42.000,500.00
43.000,43.000,500.00
44.000,44.000,400.80
45.000,45.000,500.00
46.000,46.000,454.36
47.000,47.000,500.00
48.000,48.000,500.00
49.000,49.000,476.58
50.000,50.000,500.00
51.000,51.000,500.00
52.000,52.000,325.46
53.000,53.000,429.09
54.000,54.000,490.67
55.000,55.000,433.13
56.000,56.000,500.00
57.000,57.000,369.39
58.000,58.000,439.99
59.000,59.000,500.00
60.000,60.000,162.58
61.000,61.000,171.30
62.000,62.000,166.72
63.000,63.000,151.59
64.000,64.000,177.40
65.000,65.000,156.24
66.000,66.000,160.32
67.000,67.000,185.89
68.000,68.000,175.16
69.000,69.000,136.34
70.000,70.000,173.97
71.000,71.000,153.41
72.000,72.000,164.84
73.000,73.000,158.87
74.000,74.000,188.30
75.000,75.000,165.80
76.000,76.000,167.55
77.000,77.000,179.56
78.000,78.000,173.54
79.000,79.000,164.87
80.000,80.000,163.69
81.000,81.000,177.59
82.000,82.000,185.56
83.000,83.000,164.45
84.000,84.000,160.79
85.000,85.000,165.98
86.000,86.000,165.39
87.000,87.000,153.75
88.000,88.000,168.60
89.000,89.000,173.85
90.000,90.000,169.65
91.000,91.000,169.59
92.000,92.000,149.08
93.000,93.000,157.67
94.000,94.000,159.57
95.000,95.000,169.51
96.000,96.000,159.97
97.000,97.000,163.38
98.000,98.000,164.35
99.000,99.000,160.85
100.000,100.000,149.89
101.000,101.000,177.43
102.000,102.000,174.94
103.000,103.000,173.35
104.000,104.000,186.35
105.000,105.000,165.10
106.000,106.000,201.30
107.000,107.000,178.47
108.000,108.000,162.73
109.000,109.000,163.99
110.000,110.000,173.97
111.000,111.000,170.41
112.000,112.000,170.99
113.000,113.000,170.57
114.000,114.000,177.38
115.000,115.000,163.14
116.000,116.000,168.72
117.000,117.000,180.60
118.000,118.000,155.50
119.000,119.000,196.76
120.000,120.000,500.00
121.000,121.000,500.00
122.000,122.000,500.00
123.000,123.000,500.00
124.000,124.000,500.00
125.000,125.000,500.00
126.000,126.000,500.00
127.000,127.000,500.00
128.000,128.000,500.00
129.000,129.000,500.00
130.000,130.000,500.00
131.000,131.000,500.00
132.000,132.000,500.00
133.000,133.000,500.00
134.000,134.000,500.00
135.000,135.000,500.00
136.000,136.000,500.00
137.000,137.000,500.00
138.000,138.000,500.00
139.000,139.000,500.00
140.000,140.000,500.00
141.000,141.000,500.00
142.000,142.000,500.00
143.000,143.000,500.00
144.000,144.000,500.00
145.000,145.000,500.00
146.000,146.000,500.00
147.000,147.000,500.00
148.000,148.000,466.27
149.000,149.000,500.00
150.000,150.000,500.00
151.000,151.000,500.00
152.000,152.000,500.00
153.000,153.000,500.00
154.000,154.000,500.00
155.000,155.000,500.00
156.000,156.000,500.00
157.000,157.000,500.00
158.000,158.000,500.00
159.000,159.000,500.00
160.000,160.000,500.00
161.000,161.000,500.00
162.000,162.000,500.00
163.000,163.000,500.00
164.000,164.000,500.00
165.000,165.000,500.00
166.000,166.000,500.00
167.000,167.000,500.00
168.000,168.000,500.00
169.000,169.000,500.00
170.000,170.000,500.00
171.000,171.000,500.00
172.000,172.000,500.00
173.000,173.000,500.00
174.000,174.000,500.00
175.000,175.000,500.00
176.000,176.000,500.00
177.000,177.000,500.00
178.000,178.000,500.00
179.000,179.000,500.00
180.000,180.000,123.45
181.000,181.000,116.70
182.000,182.000,123.38
183.000,183.000,122.38
184.000,184.000,125.51
185.000,185.000,126.61
186.000,186.000,133.37
187.000,187.000,128.97
188.000,188.000,118.58
189.000,189.000,125.84
190.000,190.000,128.50
191.000,191.000,122.72
192.000,192.000,131.28
193.000,193.000,129.14
194.000,194.000,126.20
195.000,195.000,131.16
196.000,196.000,110.49
197.000,197.000,116.74
198.000,198.000,145.40
199.000,199.000,127.21
200.000,200.000,126.06
201.000,201.000,110.67
202.000,202.000,131.89
203.000,203.000,116.08
204.000,204.000,115.33
205.000,205.000,125.54
206.000,206.000,129.83
207.000,207.000,122.24
208.000,208.000,128.02
209.000,209.000,125.10
210.000,210.000,132.04
211.000,211.000,141.86
212.000,212.000,113.42
213.000,213.000,126.30
214.000,214.000,124.08
215.000,215.000,129.09
216.000,216.000,136.48
217.000,217.000,121.76
218.000,218.000,120.55
219.000,219.000,119.82
220.000,220.000,120.45
221.000,221.000,124.68
222.000,222.000,124.60
223.000,223.000,123.20
224.000,224.000,117.53
225.000,225.000,136.88
226.000,226.000,125.56
227.000,227.000,132.35
228.000,228.000,134.82
229.000,229.000,126.08
230.000,230.000,119.45
231.000,231.000,129.95
232.000,232.000,118.37
233.000,233.000,122.34
234.000,234.000,123.65
235.000,235.000,130.96
236.000,236.000,125.77
237.000,237.000,139.28
238.000,238.000,127.92
239.000,239.000,138.25
240.000,240.000,251.89
241.000,241.000,276.95
242.000,242.000,253.13
243.000,243.000,286.43
244.000,244.000,250.89
245.000,245.000,249.21
246.000,246.000,238.72
247.000,247.000,265.74
248.000,248.000,325.44
249.000,249.000,255.39
250.000,250.000,273.21
251.000,251.000,302.39
252.000,252.000,241.92
253.000,253.000,267.63
254.000,254.000,227.31
255.000,255.000,257.61
256.000,256.000,247.35
257.000,257.000,224.06
258.000,258.000,259.43
259.000,259.000,252.14
260.000,260.000,321.65
261.000,261.000,265.21
262.000,262.000,284.21
263.000,263.000,276.13
264.000,264.000,301.75
265.000,265.000,229.46
266.000,266.000,236.17
267.000,267.000,292.36
268.000,268.000,239.01
269.000,269.000,261.44
270.000,270.000,263.67
271.000,271.000,244.38
272.000,272.000,286.01
273.000,273.000,274.04
274.000,274.000,311.63
275.000,275.000,263.44
276.000,276.000,260.89
277.000,277.000,249.81
278.000,278.000,225.93
279.000,279.000,259.28
280.000,280.000,247.21
281.000,281.000,273.36
282.000,282.000,264.57
283.000,283.000,262.56
284.000,284.000,216.39
285.000,285.000,258.23
286.000,286.000,297.26
287.000,287.000,236.23
288.000,288.000,278.17
289.000,289.000,274.46
290.000,290.000,200.46
291.000,291.000,204.91
292.000,292.000,230.08
293.000,293.000,249.40
294.000,294.000,291.57
295.000,295.000,216.43
296.000,296.000,242.73
297.000,297.000,218.39
298.000,298.000,242.64
299.000,299.000,245.12
300.000,300.000,500.00
301.000,301.000,500.00
302.000,302.000,455.09
303.000,303.000,465.13
304.000,304.000,467.81
305.000,305.000,490.61
306.000,306.000,500.00
307.000,307.000,457.28
308.000,308.000,500.00
309.000,309.000,485.64
310.000,310.000,500.00
311.000,311.000,431.05
312.000,312.000,500.00
313.000,313.000,500.00
314.000,314.000,411.23
315.000,315.000,396.73
316.000,316.000,451.18
317.000,317.000,388.21
318.000,318.000,500.00
319.000,319.000,375.54
320.000,320.000,500.00
321.000,321.000,483.07
322.000,322.000,426.86
323.000,323.000,500.00
324.000,324.000,362.98
325.000,325.000,500.00
326.000,326.000,478.39
327.000,327.000,500.00
328.000,328.000,465.08
329.000,329.000,456.86
330.000,330.000,500.00
331.000,331.000,500.00
332.000,332.000,495.42
333.000,333.000,488.43
334.000,334.000,492.86
335.000,335.000,500.00
336.000,336.000,486.05
337.000,337.000,500.00
338.000,338.000,421.66
339.000,339.000,411.20
340.000,340.000,500.00
341.000,341.000,470.41
342.000,342.000,500.00
343.000,343.000,455.50
344.000,344.000,460.52
345.000,345.000,500.00
346.000,346.000,500.00
347.000,347.000,500.00
348.000,348.000,500.00
349.000,349.000,500.00
350.000,350.000,483.29
351.000,351.000,459.64
352.000,352.000,500.00
353.000,353.000,500.00
354.000,354.000,500.00
355.000,355.000,455.41
356.000,356.000,418.60
357.000,357.000,500.00
358.000,358.000,492.98
359.000,359.000,457.01
360.000,360.000,189.75
361.000,361.000,168.52
362.000,362.000,172.76
363.000,363.000,188.20
364.000,364.000,171.91
365.000,365.000,158.03
366.000,366.000,158.52
367.000,367.000,176.46
368.000,368.000,158.42
369.000,369.000,197.40
370.000,370.000,146.02
371.000,371.000,162.00
372.000,372.000,169.17
373.000,373.000,164.03
374.000,374.000,154.82
375.000,375.000,151.28
376.000,376.000,175.00
377.000,377.000,159.54
378.000,378.000,183.00
379.000,379.000,157.79
380.000,380.000,173.88
381.000,381.000,157.95
382.000,382.000,184.53
383.000,383.000,173.96
384.000,384.000,162.22
385.000,385.000,152.81
386.000,386.000,165.02
387.000,387.000,150.98
388.000,388.000,175.99
389.000,389.000,159.13
390.000,390.000,165.37
391.000,391.000,150.39
392.000,392.000,157.48
393.000,393.000,159.88
394.000,394.000,170.19
395.000,395.000,199.04
396.000,396.000,157.27
397.000,397.000,176.90
398.000,398.000,141.73
399.000,399.000,196.28
400.000,400.000,163.60
401.000,401.000,179.13
402.000,402.000,164.15
403.000,403.000,158.35
404.000,404.000,144.47
405.000,405.000,167.21
406.000,406.000,162.97
407.000,407.000,177.40
408.000,408.000,165.28
409.000,409.000,169.32
410.000,410.000,162.20
411.000,411.000,171.77
412.000,412.000,163.21
413.000,413.000,179.52
414.000,414.000,217.29
415.000,415.000,156.80
416.000,416.000,171.60
417.000,417.000,177.42
418.000,418.000,170.62
419.000,419.000,159.84
420.000,420.000,500.00
421.000,421.000,500.00
422.000,422.000,500.00
423.000,423.000,500.00
424.000,424.000,500.00
425.000,425.000,500.00
426.000,426.000,500.00
427.000,427.000,500.00
428.000,428.000,500.00
429.000,429.000,500.00
430.000,430.000,500.00
431.000,431.000,500.00
432.000,432.000,500.00
433.000,433.000,500.00
434.000,434.000,500.00
435.000,435.000,500.00
436.000,436.000,500.00
437.000,437.000,500.00
438.000,438.000,500.00
