since,relative_seconds,rtt
0.000,0.000,330.19
1.000,1.000,197.70
2.000,2.000,258.87
3.000,3.000,251.37
4.000,4.000,500.00
5.000,5.000,354.74
6.000,6.000,405.15
7.000,7.000,280.02
8.000,8.000,285.65
9.000,9.000,500.00
10.000,10.000,479.38
11.000,11.000,293.77
12.000,12.000,311.44
13.000,13.000,500.00
14.000,14.000,252.28
15.000,15.000,206.51
16.000,16.000,176.81
17.000,17.000,476.29
18.000,18.000,500.00
19.000,19.000,440.14
20.000,20.000,489.53
21.000,21.000,383.16
22.000,22.000,500.00
23.000,23.000,228.73
24.000,24.000,331.23
25.000,25.000,281.16
26.000,26.000,211.91
27.000,27.000,455.54
28.000,28.000,500.00
29.000,29.000,317.81
30.000,30.000,343.92
31.000,31.000,224.11
32.000,32.000,500.00
33.000,33.000,352.04
34.000,34.000,500.00
35.000,35.000,167.64
36.000,36.000,265.16
37.000,37.000,372.58
38.000,38.000,293.38
39.000,39.000,157.06
40.000,40.000,312.96
41.000,41.000,194.25
42.000,42.000,500.00
43.000,43.000,156.17
44.000,44.000,500.00
45.000,45.000,477.32
46.000,46.000,500.00
47.000,47.000,500.00
48.000,48.000,283.41
49.000,49.000,500.00
50.000,50.000,350.50
51.000,51.000,334.99
52.000,52.000,500.00
53.000,53.000,304.06
54.000,54.000,335.45
55.000,55.000,500.00
56.000,56.000,500.00
57.000,57.000,388.25
58.000,58.000,336.54
59.000,59.000,500.00
60.000,60.000,500.00
61.000,61.000,500.00
62.000,62.000,500.00
63.000,63.000,500.00
64.000,64.000,432.97
65.000,65.000,424.56
66.000,66.000,500.00
67.000,67.000,500.00
68.000,68.000,481.77
69.000,69.000,204.56
70.000,70.000,486.67
71.000,71.000,335.72
72.000,72.000,286.46
73.000,73.000,203.45
74.000,74.000,500.00
75.000,75.000,234.33
76.000,76.000,361.83
77.000,77.000,211.52
78.000,78.000,234.39
79.000,79.000,500.00
80.000,80.000,500.00
81.000,81.000,385.46
82.000,82.000,474.27
83.000,83.000,208.35
84.000,84.000,441.41
85.000,85.000,500.00
86.000,86.000,189.74
87.000,87.000,397.92
88.000,88.000,500.00
89.000,89.000,170.96
90.000,90.000,324.02
91.000,91.000,500.00
92.000,92.000,296.59
93.000,93.000,396.28
94.000,94.000,438.37
95.000,95.000,362.06
96.000,96.000,221.47
97.000,97.000,270.16
98.000,98.000,286.35
99.000,99.000,500.00
100.000,100.000,500.00
101.000,101.000,194.09
102.000,102.000,173.65
