since,relative_seconds,rtt
0.000,0.000,160.76
1.451,1.451,158.30
4.340,4.340,170.35
7.211,7.211,167.12
8.638,8.638,174.23
11.518,11.518,153.59
15.851,15.851,171.01
17.282,17.282,160.62
18.737,18.737,168.76
20.160,20.160,166.28
21.614,21.614,161.06
23.040,23.040,189.68
27.372,27.372,181.05
28.804,28.804,170.08
30.265,30.265,179.46
31.678,31.678,160.94
33.139,33.139,142.86
34.565,34.565,160.70
36.020,36.020,151.32
38.893,38.893,156.16
40.327,40.327,179.71
41.777,41.777,157.22
43.198,43.198,149.16
48.962,48.962,152.17
51.846,51.846,152.00
53.296,53.296,160.28
57.609,57.609,188.26
60.477,60.477,150.07
61.936,61.936,487.31
63.358,63.358,180.58
64.816,64.816,185.71
66.237,66.237,146.73
70.575,70.575,500.00
71.999,71.999,164.25
73.459,73.459,163.51
74.880,74.880,176.74
76.341,76.341,169.27
77.756,77.756,170.66
79.216,79.216,172.84
82.097,82.097,168.41
83.523,83.523,153.88
86.398,86.398,175.11
87.850,87.850,153.98
89.287,89.287,156.90
90.738,90.738,157.05
92.159,92.159,165.55
93.617,93.617,173.32
95.048,95.048,171.90
96.498,96.498,166.88
102.253,102.253,166.62
103.680,103.680,165.65
105.137,105.137,154.68
108.010,108.010,190.06
112.319,112.319,172.25
113.779,113.779,182.77
118.087,118.087,171.44
120.957,120.957,156.95
122.415,122.415,157.88
123.842,123.842,163.82
125.292,125.292,178.21
126.726,126.726,179.67
131.059,131.059,177.10
132.483,132.483,166.85
133.931,133.931,176.23
136.813,136.813,163.41
138.245,138.245,172.15
139.699,139.699,173.52
141.118,141.118,162.33
144.000,144.000,163.89
146.885,146.885,177.21
149.758,149.758,156.49
151.216,151.216,184.42
152.643,152.643,173.28
154.100,154.100,170.60
158.399,158.399,166.69
159.858,159.858,166.28
161.284,161.284,160.65
164.162,164.162,156.25
165.620,165.620,161.58
168.491,168.491,188.70
172.799,172.799,177.99
174.251,174.251,204.00
177.137,177.137,168.17
181.445,181.445,184.90
184.319,184.319,182.41
187.207,187.207,193.81
188.656,188.656,170.06
191.531,191.531,169.37
196.589,196.589,167.28
198.044,198.044,161.30
199.468,199.468,174.58
202.370,202.370,184.00
203.784,203.784,189.64
205.223,205.223,166.75
206.688,206.688,160.76
209.575,209.575,149.78
211.010,211.010,152.10
212.429,212.429,146.68
213.872,213.872,155.63
215.330,215.330,157.65
216.749,216.749,161.08
218.188,218.188,168.16
221.071,221.071,167.94
222.505,222.505,156.12
225.415,225.415,168.15
226.856,226.856,165.12
228.321,228.321,157.36
234.030,234.030,152.20
236.934,236.934,164.04
238.352,238.352,155.81
239.790,239.790,171.11
242.692,242.692,162.42
244.132,244.132,174.49
245.575,245.575,150.92
248.431,248.431,240.73
252.742,252.742,168.38
254.210,254.210,180.43
255.624,255.624,177.47
257.068,257.068,159.87
259.967,259.967,149.43
262.845,262.845,166.32
264.264,264.264,117.59
265.709,265.709,142.22
267.169,267.169,122.16
268.582,268.582,124.07
270.028,270.028,118.51
271.488,271.488,149.13
274.348,274.348,140.70
277.249,277.249,135.76
278.692,278.692,158.51
280.136,280.136,121.21
281.549,281.549,156.08
282.986,282.986,151.10
284.447,284.447,157.74
285.864,285.864,171.07
288.769,288.769,177.57
290.192,290.192,138.30
291.624,291.624,142.30
294.532,294.532,136.51
295.966,295.966,161.43
297.432,297.432,134.05
298.846,298.846,149.23
300.268,300.268,160.90
301.724,301.724,184.82
304.607,304.607,220.66
306.054,306.054,241.96
308.902,308.902,193.27
310.368,310.368,139.14
314.686,314.686,152.28
316.104,316.104,154.41
317.551,317.551,162.75
319.007,319.007,160.91
320.428,320.428,162.50
321.867,321.867,183.21
323.335,323.335,169.70
324.746,324.746,173.58
327.651,327.651,178.29
329.086,329.086,159.44
330.536,330.536,143.83
333.385,333.385,160.84
337.702,337.702,161.58
339.145,339.145,157.16
340.606,340.606,156.78
342.027,342.027,157.88
343.470,343.470,164.69
344.931,344.931,195.12
346.376,346.376,176.62
347.809,347.809,209.63
349.286,349.286,146.72
350.666,350.666,154.58
353.573,353.573,164.72
354.993,354.993,164.05
356.426,356.426,154.46
357.888,357.888,182.09
359.306,359.306,146.26
360.750,360.750,146.12
366.530,366.530,158.01
370.847,370.847,150.14
372.265,372.265,137.42
373.709,373.709,183.86
375.174,375.174,160.48
376.583,376.583,166.00
378.032,378.032,149.31
382.373,382.373,146.62
383.805,383.805,151.02
385.228,385.228,143.70
386.687,386.687,234.19
391.001,391.001,182.10
392.446,392.446,163.17
393.864,393.864,164.84
395.308,395.308,162.95
396.774,396.774,155.06
398.213,398.213,173.17
399.656,399.656,154.11
401.093,401.093,146.08
402.509,402.509,144.57
403.949,403.949,144.52
406.833,406.833,244.32
408.271,408.271,171.84
412.590,412.590,132.17
418.374,418.374,167.35
421.231,421.231,155.30
422.693,422.693,143.00
424.105,424.105,153.39
425.549,425.549,187.20
428.434,428.434,160.98
432.766,432.766,143.16
434.212,434.212,160.13
435.652,435.652,183.53
438.510,438.510,155.17
439.965,439.965,158.81
441.384,441.384,152.77
444.287,444.287,161.78
445.708,445.708,158.16
447.152,447.152,163.96
448.605,448.605,156.07
451.487,451.487,162.21
452.933,452.933,166.58
454.351,454.351,169.47
457.255,457.255,207.85
465.894,465.894,162.09
467.330,467.330,154.43
470.235,470.235,162.05
471.629,471.629,164.92
473.068,473.068,169.03
474.527,474.527,163.43
475.950,475.950,163.02
477.395,477.395,168.03
478.852,478.852,147.50
480.263,480.263,164.84
483.171,483.171,153.58
484.606,484.606,143.16
486.052,486.052,148.34
487.493,487.493,168.44
488.902,488.902,155.10
490.344,490.344,156.76
491.813,491.813,161.93
493.232,493.232,153.46
496.127,496.127,174.27
497.546,497.546,173.94
498.984,498.984,171.65
500.451,500.451,161.94
503.330,503.330,191.48
504.773,504.773,177.67
506.192,506.192,168.75
507.627,507.627,158.56
510.512,510.512,174.88
511.947,511.947,173.55
513.414,513.414,191.87
514.829,514.829,169.80
517.737,517.737,196.76
519.194,519.194,184.06
520.613,520.613,165.36
522.048,522.048,171.49
523.463,523.463,157.84
524.903,524.903,152.31
526.373,526.373,156.30
529.226,529.226,164.13
532.112,532.112,154.31
