since,relative_seconds,rtt
1050.000,1050.000,388.58
1055.000,1055.000,387.59
1060.000,1060.000,384.75
1065.000,1065.000,386.82
1070.000,1070.000,500.00
1075.000,1075.000,383.13
1080.000,1080.000,399.62
1085.000,1085.000,392.26
1090.000,1090.000,500.00
1095.000,1095.000,385.03
1100.000,1100.000,385.11
1105.000,1105.000,385.51
1110.000,1110.000,399.14
1115.000,1115.000,500.00
1120.000,1120.000,436.26
1125.000,1125.000,385.08
1130.000,1130.000,384.94
1135.000,1135.000,465.98
1140.000,1140.000,386.19
1145.000,1145.000,500.00
1150.000,1150.000,475.06
1155.000,1155.000,431.19
1160.000,1160.000,384.86
1165.000,1165.000,396.04
1170.000,1170.000,384.47
1175.000,1175.000,375.46
1180.000,1180.000,454.13
1185.000,1185.000,385.38
1190.000,1190.000,440.44
1195.000,1195.000,384.33
1200.000,1200.000,413.52
1205.000,1205.000,385.54
1210.000,1210.000,426.53
1215.000,1215.000,387.35
1220.000,1220.000,479.09
