since,relative_seconds,rtt
0.000,0.000,500.00
5.000,5.000,375.74
10.000,10.000,500.00
15.000,15.000,500.00
20.000,20.000,500.00
25.000,25.000,368.79
30.000,30.000,376.91
35.000,35.000,348.54
40.000,40.000,386.50
45.000,45.000,500.00
50.000,50.000,363.07
55.000,55.000,370.66
60.000,60.000,352.48
65.000,65.000,414.52
70.000,70.000,396.41
75.000,75.000,356.29
80.000,80.000,376.21
85.000,85.000,360.29
90.000,90.000,356.97
95.000,95.000,365.48
100.000,100.000,358.38
105.000,105.000,405.84
110.000,110.000,395.71
115.000,115.000,384.00
120.000,120.000,218.14
125.000,125.000,199.43
130.000,130.000,204.40
135.000,135.000,204.43
140.000,140.000,197.40
145.000,145.000,196.88
150.000,150.000,196.97
155.000,155.000,197.20
160.000,160.000,198.08
165.000,165.000,197.55
170.000,170.000,198.15
175.000,175.000,205.72
180.000,180.000,202.01
185.000,185.000,198.04
