since,relative_seconds,rtt
185.000,185.000,298.32
190.000,190.000,172.77
195.000,195.000,208.63
200.000,200.000,161.18
205.000,205.000,151.38
210.000,210.000,199.92
215.000,215.000,192.84
220.000,220.000,198.70
225.000,225.000,164.36
230.000,230.000,213.09
235.000,235.000,158.71
240.000,240.000,211.44
245.000,245.000,229.74
250.000,250.000,145.25
255.000,255.000,155.70
260.000,260.000,500.00
265.000,265.000,195.45
270.000,270.000,280.28
275.000,275.000,137.92
280.000,280.000,174.06
285.000,285.000,140.21
290.000,290.000,147.16
295.000,295.000,205.36
300.000,300.000,199.30
305.000,305.000,212.06
310.000,310.000,168.58
315.000,315.000,199.28
320.000,320.000,139.95
325.000,325.000,163.37
330.000,330.000,154.29
335.000,335.000,223.64
340.000,340.000,179.46
345.000,345.000,202.99
350.000,350.000,191.38
355.000,355.000,208.94
360.000,360.000,187.89
365.000,365.000,154.35
