since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,20.00,39144
5.000,5.000,20.00,44167
10.000,10.000,20.00,41371
15.000,15.000,20.00,43667
20.000,20.000,20.00,41065
25.000,25.000,20.00,41073
30.000,30.000,20.00,38833
35.000,35.000,20.00,39381
40.000,40.000,20.00,43557
45.000,45.000,20.00,36538
50.000,50.000,20.00,41587
55.000,55.000,20.00,34008
60.000,60.000,20.00,37487
65.000,65.000,20.00,44535
70.000,70.000,20.00,40938
75.000,75.000,20.00,30371
80.000,80.000,20.00,41865
85.000,85.000,20.00,34439
90.000,90.000,20.00,19979
95.000,95.000,20.00,22113
100.000,100.000,20.00,28476
105.000,105.000,20.00,22952
110.000,110.000,20.00,32601
115.000,115.000,20.00,31163
120.000,120.000,20.00,32020
125.000,125.000,20.00,26066
130.000,130.000,20.00,30392
135.000,135.000,20.00,32996
140.000,140.000,20.00,21553
145.000,145.000,20.00,29268
150.000,150.000,20.00,44306
155.000,155.000,20.00,43989
160.000,160.000,20.00,43387
165.000,165.000,20.00,44439
170.000,170.000,20.00,43094
175.000,175.000,20.00,43382
180.000,180.000,20.00,44104
185.000,185.000,20.00,44299
190.000,190.000,20.00,44281
195.000,195.000,20.00,44061
200.000,200.000,20.00,44038
205.000,205.000,20.00,43206
210.000,210.000,20.00,43342
215.000,215.000,20.00,43632
220.000,220.000,20.00,43498
225.000,225.000,20.00,43410
230.000,230.000,20.00,44275
235.000,235.000,20.00,43549
240.000,240.000,20.00,44445
245.000,245.000,20.00,42666
250.000,250.000,20.00,44529
255.000,255.000,20.00,43920
260.000,260.000,20.00,43741
265.000,265.000,20.00,43806
270.000,270.000,20.00,38934
275.000,275.000,20.00,38575
280.000,280.000,20.00,38816
285.000,285.000,20.00,38928
290.000,290.000,20.00,38768
295.000,295.000,20.00,38589
300.000,300.000,20.00,39142
305.000,305.000,20.00,38862
310.000,310.000,20.00,38679
315.000,315.000,20.00,38758
320.000,320.000,20.00,37706
325.000,325.000,20.00,37844
330.000,330.000,20.00,38590
335.000,335.000,20.00,33508
340.000,340.000,20.00,33793
345.000,345.000,20.00,40480
350.000,350.000,20.00,35662
355.000,355.000,20.00,39981
360.000,360.000,20.00,41574
365.000,365.000,20.00,35354
370.000,370.000,20.00,39575
375.000,375.000,20.00,40614
380.000,380.000,20.00,34013
385.000,385.000,20.00,40310
390.000,390.000,20.00,43847
395.000,395.000,20.00,44483
400.000,400.000,20.00,43854
405.000,405.000,20.00,41923
410.000,410.000,20.00,43778
415.000,415.000,20.00,43968
420.000,420.000,20.00,42315
425.000,425.000,20.00,42235
430.000,430.000,20.00,42154
435.000,435.000,20.00,41548
440.000,440.000,20.00,42413
445.000,445.000,20.00,41502
450.000,450.000,20.00,41980
455.000,455.000,20.00,44070
460.000,460.000,20.00,44207
465.000,465.000,20.00,44557
470.000,470.000,20.00,40822
475.000,475.000,20.00,43725
480.000,480.000,20.00,43152
485.000,485.000,20.00,43827
490.000,490.000,20.00,42532
495.000,495.000,20.00,42604
500.000,500.000,20.00,42664
505.000,505.000,20.00,42708
510.000,510.000,20.00,31483
515.000,515.000,20.00,36713
520.000,520.000,20.00,33480
525.000,525.000,20.00,35870
530.000,530.000,20.00,35134
535.000,535.000,20.00,35334
540.000,540.000,20.00,32247
545.000,545.000,20.00,34676
550.000,550.000,20.00,31967
555.000,555.000,20.00,37481
560.000,560.000,20.00,34126
565.000,565.000,20.00,38023
570.000,570.000,20.00,39762
575.000,575.000,20.00,42592
580.000,580.000,20.00,43924
585.000,585.000,20.00,44714
590.000,590.000,20.00,40496
595.000,595.000,20.00,46604
600.000,600.000,20.00,45191
605.000,605.000,20.00,43995
610.000,610.000,20.00,43916
615.000,615.000,20.00,40683
620.000,620.000,20.00,42986
625.000,625.000,20.00,44422
630.000,630.000,20.00,49732
635.000,635.000,20.00,49216
640.000,640.000,20.00,47475
645.000,645.000,20.00,48215
650.000,650.000,20.00,48745
655.000,655.000,20.00,47053
660.000,660.000,20.00,34636
665.000,665.000,20.00,34265
670.000,670.000,20.00,34622
675.000,675.000,20.00,34583
680.000,680.000,20.00,40539
685.000,685.000,20.00,39029
690.000,690.000,20.00,37270
695.000,695.000,20.00,36500
700.000,700.000,20.00,37549
705.000,705.000,20.00,37964
710.000,710.000,20.00,36190
715.000,715.000,20.00,36855
720.000,720.000,20.00,37881
725.000,725.000,20.00,38250
730.000,730.000,20.00,38037
735.000,735.000,20.00,37919
740.000,740.000,20.00,37709
745.000,745.000,20.00,37780
750.000,750.000,20.00,43690
755.000,755.000,20.00,43373
760.000,760.000,20.00,44329
765.000,765.000,20.00,43931
770.000,770.000,20.00,44580
775.000,775.000,20.00,44480
780.000,780.000,20.00,43955
785.000,785.000,20.00,43618
790.000,790.000,20.00,42863
795.000,795.000,20.00,43846
800.000,800.000,20.00,43526
805.000,805.000,20.00,44161
810.000,810.000,20.00,43724
815.000,815.000,20.00,43004
820.000,820.000,20.00,44376
825.000,825.000,20.00,43924
830.000,830.000,20.00,44179
835.000,835.000,20.00,44622
840.000,840.000,20.00,46537
845.000,845.000,20.00,46107
850.000,850.000,20.00,39909
855.000,855.000,20.00,42741
860.000,860.000,20.00,35956
865.000,865.000,20.00,43723
870.000,870.000,20.00,49529
875.000,875.000,20.00,49261
880.000,880.000,20.00,46072
885.000,885.000,20.00,49388
890.000,890.000,20.00,46792
895.000,895.000,20.00,49380
900.000,900.000,20.00,49947
905.000,905.000,20.00,49067
910.000,910.000,20.00,49522
915.000,915.000,20.00,47958
920.000,920.000,20.00,47995
925.000,925.000,20.00,49603
930.000,930.000,20.00,39632
935.000,935.000,20.00,41195
940.000,940.000,20.00,41592
945.000,945.000,20.00,44995
950.000,950.000,20.00,46483
