since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,20.00,16037
5.000,5.000,20.00,16220
10.000,10.000,20.00,16122
15.000,15.000,20.00,16218
20.000,20.000,20.00,16123
25.000,25.000,20.00,16230
30.000,30.000,20.00,16221
35.000,35.000,20.00,16218
40.000,40.000,20.00,16220
45.000,45.000,20.00,16215
50.000,50.000,20.00,16198
55.000,55.000,20.00,16239
60.000,60.000,20.00,16222
65.000,65.000,20.00,16217
70.000,70.000,20.00,16220
75.000,75.000,20.00,16218
80.000,80.000,20.00,16221
85.000,85.000,20.00,16219
90.000,90.000,20.00,16203
95.000,95.000,20.00,16189
100.000,100.000,20.00,16222
105.000,105.000,20.00,16201
110.000,110.000,20.00,16223
115.000,115.000,20.00,16198
120.000,120.000,20.00,16057
125.000,125.000,20.00,16013
130.000,130.000,20.00,16206
135.000,135.000,20.00,16174
140.000,140.000,20.00,16211
145.000,145.000,20.00,16176
150.000,150.000,20.00,16218
155.000,155.000,20.00,16221
160.000,160.000,20.00,16221
165.000,165.000,20.00,16218
170.000,170.000,20.00,16216
175.000,175.000,20.00,16222
180.000,180.000,20.00,16163
185.000,185.000,20.00,16262
190.000,190.000,20.00,16220
195.000,195.000,20.00,16218
200.000,200.000,20.00,16217
205.000,205.000,20.00,16173
210.000,210.000,20.00,16219
215.000,215.000,20.00,16220
220.000,220.000,20.00,16216
225.000,225.000,20.00,16222
230.000,230.000,20.00,16058
235.000,235.000,20.00,16135
240.000,240.000,20.00,16220
245.000,245.000,20.00,16218
250.000,250.000,20.00,16219
255.000,255.000,20.00,16155
260.000,260.000,20.00,16218
265.000,265.000,20.00,16221
270.000,270.000,20.00,16221
275.000,275.000,20.00,16178
280.000,280.000,20.00,16261
285.000,285.000,20.00,16218
290.000,290.000,20.00,16218
295.000,295.000,20.00,16219
300.000,300.000,20.00,16092
305.000,305.000,20.00,16331
310.000,310.000,20.00,16232
315.000,315.000,20.00,16222
320.000,320.000,20.00,16215
325.000,325.000,20.00,16221
330.000,330.000,20.00,16221
335.000,335.000,20.00,16216
340.000,340.000,20.00,16187
345.000,345.000,20.00,16215
350.000,350.000,20.00,16221
355.000,355.000,20.00,16221
360.000,360.000,20.00,16101
365.000,365.000,20.00,16186
370.000,370.000,20.00,15686
375.000,375.000,20.00,16190
