since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,20.00,6099
5.000,5.000,20.00,6060
10.000,10.000,20.00,6092
15.000,15.000,20.00,6089
20.000,20.000,20.00,6089
25.000,25.000,20.00,6055
30.000,30.000,20.00,6085
35.000,35.000,20.00,6113
40.000,40.000,20.00,5742
45.000,45.000,20.00,5633
50.000,50.000,20.00,5942
55.000,55.000,20.00,5921
60.000,60.000,20.00,6034
65.000,65.000,20.00,6064
70.000,70.000,20.00,6092
75.000,75.000,20.00,6089
80.000,80.000,20.00,6043
85.000,85.000,20.00,6138
90.000,90.000,20.00,6078
95.000,95.000,20.00,5947
100.000,100.000,20.00,6089
105.000,105.000,20.00,6089
110.000,110.000,20.00,6089
115.000,115.000,20.00,6071
120.000,120.000,20.00,6089
125.000,125.000,20.00,6089
130.000,130.000,20.00,6089
135.000,135.000,20.00,6092
140.000,140.000,20.00,6090
145.000,145.000,20.00,5801
150.000,150.000,20.00,6089
155.000,155.000,20.00,6089
160.000,160.000,20.00,5564
165.000,165.000,20.00,5348
170.000,170.000,20.00,5373
175.000,175.000,20.00,6062
180.000,180.000,20.00,5923
185.000,185.000,20.00,5792
190.000,190.000,20.00,5772
195.000,195.000,20.00,5988
200.000,200.000,20.00,6089
205.000,205.000,20.00,5843
210.000,210.000,20.00,6089
215.000,215.000,20.00,6089
220.000,220.000,20.00,6089
225.000,225.000,20.00,5852
230.000,230.000,20.00,5785
235.000,235.000,20.00,5921
240.000,240.000,20.00,5631
245.000,245.000,20.00,5292
250.000,250.000,20.00,5979
255.000,255.000,20.00,5447
260.000,260.000,20.00,5792
265.000,265.000,20.00,5854
270.000,270.000,20.00,6065
275.000,275.000,20.00,6068
280.000,280.000,20.00,6092
285.000,285.000,20.00,6092
290.000,290.000,20.00,6050
295.000,295.000,20.00,6053
300.000,300.000,20.00,6048
305.000,305.000,20.00,5988
310.000,310.000,20.00,6025
315.000,315.000,20.00,5689
320.000,320.000,20.00,5841
325.000,325.000,20.00,5808
330.000,330.000,20.00,6117
335.000,335.000,20.00,6092
340.000,340.000,20.00,6094
345.000,345.000,20.00,6094
350.000,350.000,20.00,6092
355.000,355.000,20.00,5854
360.000,360.000,20.00,6043
365.000,365.000,20.00,6041
370.000,370.000,20.00,6011
375.000,375.000,20.00,6089
380.000,380.000,20.00,6016
385.000,385.000,20.00,5907
390.000,390.000,20.00,6092
395.000,395.000,20.00,6087
400.000,400.000,20.00,6089
405.000,405.000,20.00,6089
410.000,410.000,20.00,6089
415.000,415.000,20.00,6089
