since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,160.76,3110
1.451,1.451,158.30,3159
4.340,4.340,170.35,2935
7.211,7.211,167.12,2992
8.638,8.638,174.23,2870
11.518,11.518,153.59,3256
15.851,15.851,171.01,2924
17.282,17.282,160.62,3113
18.737,18.737,168.76,2963
20.160,20.160,166.28,3007
21.614,21.614,161.06,3104
23.040,23.040,189.68,2636
27.372,27.372,181.05,2762
28.804,28.804,170.08,2940
30.265,30.265,179.46,2786
31.678,31.678,160.94,3107
33.139,33.139,142.86,3500
34.565,34.565,160.70,3111
36.020,36.020,151.32,3304
38.893,38.893,156.16,3202
40.327,40.327,179.71,2782
41.777,41.777,157.22,3180
43.198,43.198,149.16,3352
48.962,48.962,152.17,3286
51.846,51.846,152.00,3289
53.296,53.296,160.28,3120
57.609,57.609,188.26,2656
60.477,60.477,150.07,3332
61.936,61.936,487.31,1026
63.358,63.358,180.58,2769
64.816,64.816,185.71,2692
66.237,66.237,146.73,3408
70.575,70.575,500.00,1
71.999,71.999,164.25,3044
73.459,73.459,163.51,3058
74.880,74.880,176.74,2829
76.341,76.341,169.27,2954
77.756,77.756,170.66,2930
79.216,79.216,172.84,2893
82.097,82.097,168.41,2969
83.523,83.523,153.88,3249
86.398,86.398,175.11,2855
87.850,87.850,153.98,3247
89.287,89.287,156.90,3187
90.738,90.738,157.05,3184
92.159,92.159,165.55,3020
93.617,93.617,173.32,2885
95.048,95.048,171.90,2909
96.498,96.498,166.88,2996
102.253,102.253,166.62,3001
103.680,103.680,165.65,3018
105.137,105.137,154.68,3233
108.010,108.010,190.06,2631
112.319,112.319,172.25,2903
113.779,113.779,182.77,2736
118.087,118.087,171.44,2916
120.957,120.957,156.95,3186
122.415,122.415,157.88,3167
123.842,123.842,163.82,3052
125.292,125.292,178.21,2806
126.726,126.726,179.67,2783
131.059,131.059,177.10,2823
132.483,132.483,166.85,2997
133.931,133.931,176.23,2837
136.813,136.813,163.41,3060
