since,relative_seconds,rtt,bandwidth_kbps
360.000,360.000,500.00,788
365.000,365.000,500.00,405
370.000,370.000,500.00,761
375.000,375.000,500.00,796
380.000,380.000,500.00,754
385.000,385.000,500.00,788
390.000,390.000,500.00,771
395.000,395.000,500.00,764
400.000,400.000,500.00,434
405.000,405.000,500.00,668
410.000,410.000,500.00,714
415.000,415.000,500.00,62
420.000,420.000,500.00,755
425.000,425.000,500.00,340
430.000,430.000,500.00,477
435.000,435.000,500.00,180
440.000,440.000,500.00,770
445.000,445.000,500.00,782
450.000,450.000,500.00,755
455.000,455.000,500.00,795
460.000,460.000,500.00,748
465.000,465.000,500.00,770
470.000,470.000,500.00,575
475.000,475.000,500.00,774
480.000,480.000,500.00,472
485.000,485.000,500.00,267
490.000,490.000,500.00,786
495.000,495.000,500.00,787
500.000,500.000,500.00,810
505.000,505.000,500.00,774
510.000,510.000,500.00,760
515.000,515.000,500.00,770
520.000,520.000,500.00,667
525.000,525.000,500.00,787
530.000,530.000,500.00,738
535.000,535.000,500.00,764
