since,relative_seconds,rtt
0.000,0.000,266.93
5.000,5.000,266.95
10.000,10.000,279.24
15.000,15.000,269.36
20.000,20.000,265.41
25.000,25.000,296.24
30.000,30.000,298.10
35.000,35.000,302.89
40.000,40.000,283.11
45.000,45.000,275.75
50.000,50.000,319.73
55.000,55.000,271.10
60.000,60.000,301.71
65.000,65.000,269.32
70.000,70.000,266.35
75.000,75.000,266.35
80.000,80.000,293.54
85.000,85.000,297.16
90.000,90.000,242.56
95.000,95.000,276.22
100.000,100.000,302.23
105.000,105.000,267.54
110.000,110.000,298.39
115.000,115.000,212.77
120.000,120.000,211.26
125.000,125.000,210.71
130.000,130.000,209.53
135.000,135.000,194.50
140.000,140.000,209.30
145.000,145.000,212.66
150.000,150.000,212.41
155.000,155.000,209.46
160.000,160.000,210.06
165.000,165.000,206.87
170.000,170.000,207.25
175.000,175.000,212.25
180.000,180.000,211.46
185.000,185.000,211.56
