since,relative_seconds,rtt
0.000,0.000,500.00
40.321,40.321,454.10
41.760,41.760,465.37
53.998,53.998,452.01
59.755,59.755,500.00
60.483,60.483,477.88
61.923,61.923,500.00
74.160,74.160,500.00
79.916,79.916,469.21
100.077,100.077,462.79
102.958,102.958,500.00
138.257,138.257,500.00
146.159,146.159,479.53
149.039,149.039,462.57
151.203,151.203,500.00
155.522,155.522,500.00
156.962,156.962,470.43
169.199,169.199,500.00
174.958,174.958,450.32
177.119,177.119,445.76
195.117,195.117,494.09
195.910,195.910,472.25
197.312,197.312,473.10
198.747,198.747,493.98
200.191,200.191,457.46
201.635,201.635,473.73
203.075,203.075,475.34
204.519,204.519,486.12
205.959,205.959,500.00
207.394,207.394,475.84
208.823,208.823,500.00
210.265,210.265,458.60
211.704,211.704,442.00
213.142,213.142,428.71
214.583,214.583,500.00
216.025,216.025,440.09
217.457,217.457,500.00
218.900,218.900,468.17
220.347,220.347,455.35
221.793,221.793,500.00
223.231,223.231,500.00
224.680,224.680,500.00
226.116,226.116,454.22
227.556,227.556,500.00
228.988,228.988,500.00
230.429,230.429,451.92
231.881,231.881,500.00
233.310,233.310,449.13
234.752,234.752,448.98
236.181,236.181,438.43
237.625,237.625,500.00
239.073,239.073,443.77
240.515,240.515,500.00
241.952,241.952,470.60
243.388,243.388,464.01
244.825,244.825,460.91
246.365,246.365,484.34
247.714,247.714,500.00
249.152,249.152,447.33
250.586,250.586,479.11
252.027,252.027,440.24
253.470,253.470,453.87
254.912,254.912,478.35
256.359,256.359,500.00
257.802,257.802,500.00
259.238,259.238,500.00
260.659,260.659,500.00
262.100,262.100,440.12
263.547,263.547,478.29
264.981,264.981,442.68
266.416,266.416,469.04
267.854,267.854,447.24
269.303,269.303,462.20
270.745,270.745,459.98
272.193,272.193,500.00
273.642,273.642,500.00
275.084,275.084,476.47
276.523,276.523,500.00
277.953,277.953,446.43
279.403,279.403,462.72
280.831,280.831,439.29
282.260,282.260,482.04
283.696,283.696,455.82
285.142,285.142,453.54
286.579,286.579,479.70
288.018,288.018,468.66
289.458,289.458,500.00
290.918,290.918,500.00
292.350,292.350,500.00
293.794,293.794,500.00
295.231,295.231,465.36
296.673,296.673,500.00
298.106,298.106,453.07
299.551,299.551,471.35
300.982,300.982,450.80
302.429,302.429,481.50
303.862,303.862,461.17
305.308,305.308,453.17
306.744,306.744,468.97
308.200,308.200,496.28
309.636,309.636,500.00
311.080,311.080,500.00
312.507,312.507,496.08
313.946,313.946,450.90
315.376,315.376,452.06
316.824,316.824,463.90
318.273,318.273,454.30
319.708,319.708,500.00
321.158,321.158,475.88
322.590,322.590,442.58
324.033,324.033,483.84
325.473,325.473,500.00
326.917,326.917,482.91
328.356,328.356,429.41
329.791,329.791,441.44
331.222,331.222,460.72
332.676,332.676,432.62
334.111,334.111,410.27
335.546,335.546,422.89
336.987,336.987,439.60
338.422,338.422,448.12
339.870,339.870,447.67
341.303,341.303,470.49
342.757,342.757,500.00
344.205,344.205,458.43
