since,relative_seconds,rtt,bandwidth_kbps
185.000,185.000,500.00,477
190.000,190.000,500.00,416
195.000,195.000,500.00,471
200.000,200.000,500.00,478
205.000,205.000,500.00,478
210.000,210.000,500.00,226
215.000,215.000,500.00,479
220.000,220.000,500.00,474
225.000,225.000,500.00,455
230.000,230.000,500.00,477
235.000,235.000,500.00,478
240.000,240.000,500.00,445
245.000,245.000,500.00,0
250.000,250.000,500.00,477
255.000,255.000,500.00,475
260.000,260.000,500.00,476
265.000,265.000,500.00,118
270.000,270.000,500.00,473
275.000,275.000,500.00,478
280.000,280.000,500.00,472
285.000,285.000,500.00,475
290.000,290.000,500.00,471
295.000,295.000,500.00,477
300.000,300.000,500.00,483
305.000,305.000,500.00,483
310.000,310.000,500.00,483
315.000,315.000,500.00,480
320.000,320.000,500.00,519
325.000,325.000,500.00,480
330.000,330.000,500.00,482
335.000,335.000,500.00,483
340.000,340.000,500.00,479
345.000,345.000,500.00,480
350.000,350.000,500.00,478
355.000,355.000,500.00,479
360.000,360.000,500.00,475
365.000,365.000,500.00,482
