since,relative_seconds,rtt,bandwidth_kbps
185.000,185.000,298.32,1676
190.000,190.000,172.77,2894
195.000,195.000,208.63,2397
200.000,200.000,161.18,3102
205.000,205.000,151.38,3303
210.000,210.000,199.92,2501
215.000,215.000,192.84,2593
220.000,220.000,198.70,2516
225.000,225.000,164.36,3042
230.000,230.000,213.09,2346
235.000,235.000,158.71,3150
240.000,240.000,211.44,2365
245.000,245.000,229.74,2176
250.000,250.000,145.25,3442
255.000,255.000,155.70,3211
260.000,260.000,500.00,275
265.000,265.000,195.45,2558
270.000,270.000,280.28,1784
275.000,275.000,137.92,3625
280.000,280.000,174.06,2873
285.000,285.000,140.21,3566
290.000,290.000,147.16,3398
295.000,295.000,205.36,2435
300.000,300.000,199.30,2509
305.000,305.000,212.06,2358
310.000,310.000,168.58,2966
315.000,315.000,199.28,2509
320.000,320.000,139.95,3573
325.000,325.000,163.37,3061
330.000,330.000,154.29,3241
335.000,335.000,223.64,2236
340.000,340.000,179.46,2786
345.000,345.000,202.99,2463
350.000,350.000,191.38,2613
355.000,355.000,208.94,2393
360.000,360.000,187.89,2661
365.000,365.000,154.35,3239
