since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,23.68,30782
5.000,5.000,23.68,30724
10.000,10.000,23.68,30421
15.000,15.000,23.68,30499
20.000,20.000,23.68,30795
25.000,25.000,23.68,30812
30.000,30.000,23.68,30792
35.000,35.000,23.68,30794
40.000,40.000,23.68,29536
45.000,45.000,23.68,30733
50.000,50.000,23.68,30795
55.000,55.000,23.68,30861
60.000,60.000,23.68,30762
65.000,65.000,23.68,30792
70.000,70.000,23.68,30790
75.000,75.000,23.68,30787
80.000,80.000,23.68,30793
85.000,85.000,23.68,30789
90.000,90.000,23.68,30742
95.000,95.000,23.68,30792
100.000,100.000,23.68,30788
105.000,105.000,23.68,30913
110.000,110.000,23.68,30941
115.000,115.000,23.68,30788
120.000,120.000,23.68,30776
125.000,125.000,23.68,30804
130.000,130.000,23.68,30792
135.000,135.000,23.68,30760
140.000,140.000,23.68,30790
145.000,145.000,23.68,30786
150.000,150.000,23.68,30904
155.000,155.000,23.68,30791
160.000,160.000,23.68,30791
165.000,165.000,23.68,30760
170.000,170.000,23.68,30790
175.000,175.000,23.68,30749
180.000,180.000,23.68,30790
185.000,185.000,23.68,30787
190.000,190.000,23.68,30790
195.000,195.000,23.68,30787
200.000,200.000,23.68,30792
205.000,205.000,23.68,30580
210.000,210.000,23.68,30791
215.000,215.000,23.68,30804
220.000,220.000,23.68,30791
225.000,225.000,23.68,30791
230.000,230.000,23.68,30791
235.000,235.000,23.68,30793
240.000,240.000,23.68,30793
245.000,245.000,23.68,30661
250.000,250.000,23.68,32200
255.000,255.000,23.68,32201
260.000,260.000,23.68,32200
265.000,265.000,23.68,32162
270.000,270.000,23.68,31750
275.000,275.000,23.68,33038
280.000,280.000,23.68,32541
285.000,285.000,23.68,32143
290.000,290.000,23.68,32272
295.000,295.000,23.68,33072
300.000,300.000,23.68,32999
305.000,305.000,23.68,32587
310.000,310.000,23.68,32655
315.000,315.000,23.68,33036
320.000,320.000,23.68,33039
325.000,325.000,23.68,33005
330.000,330.000,23.68,33024
335.000,335.000,23.68,33003
340.000,340.000,23.68,32958
345.000,345.000,23.68,33017
350.000,350.000,23.68,33092
355.000,355.000,23.68,33042
360.000,360.000,23.68,33012
365.000,365.000,23.68,33040
370.000,370.000,23.68,33006
375.000,375.000,23.68,33026
380.000,380.000,23.68,32989
385.000,385.000,23.68,32666
390.000,390.000,23.68,31204
395.000,395.000,23.68,31237
400.000,400.000,23.68,31174
405.000,405.000,23.68,26256
410.000,410.000,23.68,24691
415.000,415.000,23.68,26295
420.000,420.000,23.68,30983
425.000,425.000,23.68,31205
430.000,430.000,23.68,31186
435.000,435.000,23.68,31216
440.000,440.000,23.68,30995
445.000,445.000,23.68,31181
450.000,450.000,23.68,31214
455.000,455.000,23.68,31179
460.000,460.000,23.68,30888
465.000,465.000,23.68,31050
470.000,470.000,23.68,31151
475.000,475.000,23.68,31183
480.000,480.000,23.68,27658
485.000,485.000,23.68,25228
490.000,490.000,23.68,24541
495.000,495.000,23.68,31248
500.000,500.000,23.68,31218
505.000,505.000,23.68,30540
510.000,510.000,23.68,31223
515.000,515.000,23.68,30340
520.000,520.000,23.68,31172
525.000,525.000,23.68,22815
530.000,530.000,23.68,14175
535.000,535.000,23.68,31218
540.000,540.000,23.68,30904
545.000,545.000,23.68,31000
550.000,550.000,23.68,31732
555.000,555.000,23.68,31770
560.000,560.000,23.68,31731
565.000,565.000,23.68,31775
570.000,570.000,23.68,25531
575.000,575.000,23.68,22949
580.000,580.000,23.68,31744
585.000,585.000,23.68,30694
590.000,590.000,23.68,31745
595.000,595.000,23.68,31504
600.000,600.000,23.68,31695
605.000,605.000,23.68,31771
610.000,610.000,23.68,31702
615.000,615.000,23.68,31669
620.000,620.000,23.68,31623
625.000,625.000,23.68,31766
630.000,630.000,23.68,31679
635.000,635.000,23.68,31769
640.000,640.000,23.68,31713
645.000,645.000,23.68,27823
650.000,650.000,23.68,31837
655.000,655.000,23.68,31637
660.000,660.000,23.68,31772
665.000,665.000,23.68,31737
670.000,670.000,23.68,31764
675.000,675.000,23.68,31774
680.000,680.000,23.68,31736
685.000,685.000,23.68,31774
690.000,690.000,23.68,28105
695.000,695.000,23.68,31750
700.000,700.000,23.68,31410
705.000,705.000,23.68,31773
710.000,710.000,23.68,30586
715.000,715.000,23.68,31766
720.000,720.000,23.68,31771
725.000,725.000,23.68,31742
730.000,730.000,23.68,31686
735.000,735.000,23.68,31734
740.000,740.000,23.68,31776
745.000,745.000,23.68,31691
750.000,750.000,23.68,30602
755.000,755.000,23.68,31771
760.000,760.000,23.68,30938
765.000,765.000,23.68,31389
770.000,770.000,23.68,31555
775.000,775.000,23.68,31582
780.000,780.000,23.68,31568
785.000,785.000,23.68,31642
790.000,790.000,23.68,30542
795.000,795.000,23.68,31642
800.000,800.000,23.68,31634
805.000,805.000,23.68,31521
810.000,810.000,23.68,31609
815.000,815.000,23.68,31738
820.000,820.000,23.68,31645
825.000,825.000,23.68,31713
830.000,830.000,23.68,31578
835.000,835.000,23.68,31685
840.000,840.000,23.68,31644
845.000,845.000,23.68,31648
850.000,850.000,23.68,31414
855.000,855.000,23.68,27758
860.000,860.000,23.68,31463
865.000,865.000,23.68,31497
870.000,870.000,23.68,31565
875.000,875.000,23.68,31576
880.000,880.000,23.68,31504
885.000,885.000,23.68,31632
890.000,890.000,23.68,31548
895.000,895.000,23.68,31638
900.000,900.000,23.68,31643
905.000,905.000,23.68,31645
910.000,910.000,23.68,31513
915.000,915.000,23.68,31558
920.000,920.000,23.68,31634
925.000,925.000,23.68,31593
930.000,930.000,23.68,31588
935.000,935.000,23.68,30263
940.000,940.000,23.68,28604
945.000,945.000,23.68,31601
950.000,950.000,23.68,25853
955.000,955.000,23.68,28831
960.000,960.000,23.68,31680
965.000,965.000,23.68,31605
970.000,970.000,23.68,31688
975.000,975.000,23.68,31644
980.000,980.000,23.68,21740
985.000,985.000,23.68,31525
990.000,990.000,23.68,30382
995.000,995.000,23.68,32749
1000.000,1000.000,23.68,32941
1005.000,1005.000,23.68,32604
1010.000,1010.000,23.68,32965
1015.000,1015.000,23.68,32180
1020.000,1020.000,23.68,32897
1025.000,1025.000,23.68,32957
1030.000,1030.000,23.68,32944
1035.000,1035.000,23.68,32902
1040.000,1040.000,23.68,32230
1045.000,1045.000,23.68,32148
1050.000,1050.000,23.68,32238
1055.000,1055.000,23.68,31893
1060.000,1060.000,23.68,32209
1065.000,1065.000,23.68,32241
1070.000,1070.000,23.68,32061
1075.000,1075.000,23.68,32239
