since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,70.00,2975
1.000,1.000,70.00,2454
2.000,2.000,70.00,1449
3.000,3.000,70.00,1777
4.000,4.000,70.00,1123
5.000,5.000,70.00,871
6.000,6.000,70.00,1665
7.000,7.000,70.00,1805
9.000,9.000,70.00,1299
10.000,10.000,70.00,1401
11.000,11.000,70.00,2814
12.000,12.000,70.00,2106
13.000,13.000,70.00,2591
14.000,14.000,70.00,1914
15.000,15.000,70.00,1965
16.000,16.000,70.00,1699
17.000,17.000,70.00,1329
18.000,18.000,70.00,1623
19.000,19.000,70.00,1820
20.000,20.000,70.00,1979
21.000,21.000,70.00,1160
22.000,22.000,70.00,2241
23.000,23.000,70.00,2585
24.000,24.000,70.00,2009
25.000,25.000,70.00,2022
26.000,26.000,70.00,1976
27.000,27.000,70.00,1892
28.000,28.000,70.00,2295
29.000,29.000,70.00,2606
30.000,30.000,70.00,2078
31.000,31.000,70.00,1930
32.000,32.000,70.00,2022
33.000,33.000,70.00,1581
34.000,34.000,70.00,1742
35.000,35.000,70.00,1960
36.000,36.000,70.00,2500
37.000,37.000,70.00,3027
38.000,38.000,70.00,1017
39.000,39.000,70.00,1249
40.000,40.000,70.00,786
41.000,41.000,70.00,1429
42.000,42.000,70.00,1713
43.000,43.000,70.00,1802
45.000,45.000,70.00,2129
46.000,46.000,70.00,2265
47.000,47.000,70.00,2397
48.000,48.000,70.00,2319
49.000,49.000,70.00,1882
50.000,50.000,70.00,1910
51.000,51.000,70.00,2183
52.000,52.000,70.00,1889
53.000,53.000,70.00,1600
54.000,54.000,70.00,2065
55.000,55.000,70.00,1652
56.000,56.000,70.00,2022
57.000,57.000,70.00,2452
58.000,58.000,70.00,2588
59.000,59.000,70.00,2224
60.000,60.000,70.00,2112
61.000,61.000,70.00,1638
62.000,62.000,70.00,806
63.000,63.000,70.00,2255
64.000,64.000,70.00,1394
65.000,65.000,70.00,2588
66.000,66.000,70.00,2383
68.000,68.000,70.00,2650
69.000,69.000,70.00,2459
70.000,70.000,70.00,3856
71.000,71.000,70.00,2723
72.000,72.000,70.00,2641
73.000,73.000,70.00,2329
74.000,74.000,70.00,1801
75.000,75.000,70.00,446
76.000,76.000,70.00,2355
77.000,77.000,70.00,2047
78.000,78.000,70.00,2521
79.000,79.000,70.00,2120
80.000,80.000,70.00,1965
81.000,81.000,70.00,1628
82.000,82.000,70.00,1965
83.000,83.000,70.00,1554
84.000,84.000,70.00,2071
85.000,85.000,70.00,1674
87.000,87.000,70.00,1256
88.000,88.000,70.00,2519
89.000,89.000,70.00,2177
90.000,90.000,70.00,1445
91.000,91.000,70.00,2754
92.000,92.000,70.00,1815
93.000,93.000,70.00,2617
94.000,94.000,70.00,1799
95.000,95.000,70.00,1211
96.000,96.000,70.00,1017
97.000,97.000,70.00,1709
98.000,98.000,70.00,1476
99.000,99.000,70.00,1492
100.000,100.000,70.00,2158
101.000,101.000,70.00,1639
102.000,102.000,70.00,2066
103.000,103.000,70.00,1172
104.000,104.000,70.00,1529
105.000,105.000,70.00,1300
106.000,106.000,70.00,1823
107.000,107.000,70.00,2201
108.000,108.000,70.00,1987
109.000,109.000,70.00,1656
110.000,110.000,70.00,2239
111.000,111.000,70.00,2075
112.000,112.000,70.00,1660
113.000,113.000,70.00,2606
114.000,114.000,70.00,2097
115.000,115.000,70.00,2695
116.000,116.000,70.00,2070
117.000,117.000,70.00,2805
118.000,118.000,70.00,2737
119.000,119.000,70.00,2269
120.000,120.000,70.00,2374
121.000,121.000,70.00,2993
122.000,122.000,70.00,2306
123.000,123.000,70.00,2549
124.000,124.000,70.00,1824
125.000,125.000,70.00,1679
126.000,126.000,70.00,1992
128.000,128.000,70.00,981
129.000,129.000,70.00,2406
130.000,130.000,70.00,1028
131.000,131.000,70.00,2137
132.000,132.000,70.00,1169
134.000,134.000,70.00,1054
135.000,135.000,70.00,471
136.000,136.000,70.00,1020
137.000,137.000,70.00,1757
138.000,138.000,70.00,1815
139.000,139.000,70.00,1973
140.000,140.000,70.00,1203
141.000,141.000,70.00,1725
142.000,142.000,70.00,1667
143.000,143.000,70.00,1108
144.000,144.000,70.00,2429
145.000,145.000,70.00,2498
146.000,146.000,70.00,2229
147.000,147.000,70.00,2150
148.000,148.000,70.00,2737
149.000,149.000,70.00,3222
150.000,150.000,70.00,1828
151.000,151.000,70.00,2804
152.000,152.000,70.00,2275
153.000,153.000,70.00,1747
154.000,154.000,70.00,1734
155.000,155.000,70.00,2409
156.000,156.000,70.00,1736
157.000,157.000,70.00,1825
159.000,159.000,70.00,2074
160.000,160.000,70.00,1332
161.000,161.000,70.00,2574
162.000,162.000,70.00,2948
163.000,163.000,70.00,2457
164.000,164.000,70.00,2357
165.000,165.000,70.00,1576
166.000,166.000,70.00,3095
167.000,167.000,70.00,2239
168.000,168.000,70.00,1662
169.000,169.000,70.00,1206
170.000,170.000,70.00,490
171.000,171.000,70.00,195
172.000,172.000,70.00,1171
173.000,173.000,70.00,1605
174.000,174.000,70.00,2027
175.000,175.000,70.00,2428
176.000,176.000,70.00,1946
177.000,177.000,70.00,2087
178.000,178.000,70.00,2532
179.000,179.000,70.00,2035
180.000,180.000,70.00,2000
181.000,181.000,70.00,2296
183.000,183.000,70.00,1969
184.000,184.000,70.00,2543
185.000,185.000,70.00,2315
186.000,186.000,70.00,2336
187.000,187.000,70.00,2721
188.000,188.000,70.00,1913
189.000,189.000,70.00,1899
190.000,190.000,70.00,2115
191.000,191.000,70.00,2225
192.000,192.000,70.00,1686
193.000,193.000,70.00,1778
194.000,194.000,70.00,1971
195.000,195.000,70.00,1682
196.000,196.000,70.00,636
197.000,197.000,70.00,1733
198.000,198.000,70.00,961
199.000,199.000,70.00,645
200.000,200.000,70.00,1396
201.000,201.000,70.00,1684
202.000,202.000,70.00,1572
203.000,203.000,70.00,720
204.000,204.000,70.00,1552
205.000,205.000,70.00,858
206.000,206.000,70.00,806
207.000,207.000,70.00,1491
208.000,208.000,70.00,1584
210.000,210.000,70.00,418
211.000,211.000,70.00,2550
213.000,213.000,70.00,374
214.000,214.000,70.00,2307
215.000,215.000,70.00,2184
216.000,216.000,70.00,2104
217.000,217.000,70.00,1830
218.000,218.000,70.00,1880
219.000,219.000,70.00,1813
220.000,220.000,70.00,1921
221.000,221.000,70.00,1539
222.000,222.000,70.00,1723
223.000,223.000,70.00,1590
224.000,224.000,70.00,894
225.000,225.000,70.00,897
226.000,226.000,70.00,1145
227.000,227.000,70.00,567
228.000,228.000,70.00,1016
229.000,229.000,70.00,1867
230.000,230.000,70.00,483
231.000,231.000,70.00,1149
232.000,232.000,70.00,1337
233.000,233.000,70.00,952
234.000,234.000,70.00,2708
235.000,235.000,70.00,2593
236.000,236.000,70.00,2365
237.000,237.000,70.00,3082
238.000,238.000,70.00,1028
239.000,239.000,70.00,1994
240.000,240.000,70.00,1369
241.000,241.000,70.00,1951
242.000,242.000,70.00,3100
243.000,243.000,70.00,2117
244.000,244.000,70.00,1406
245.000,245.000,70.00,1799
246.000,246.000,70.00,1134
248.000,248.000,70.00,2533
249.000,249.000,70.00,1956
250.000,250.000,70.00,2592
252.000,252.000,70.00,2271
253.000,253.000,70.00,1279
254.000,254.000,70.00,1596
255.000,255.000,70.00,1047
256.000,256.000,70.00,708
257.000,257.000,70.00,696
258.000,258.000,70.00,432
259.000,259.000,70.00,2044
260.000,260.000,70.00,1492
261.000,261.000,70.00,1529
262.000,262.000,70.00,695
263.000,263.000,70.00,1291
264.000,264.000,70.00,874
265.000,265.000,70.00,1281
266.000,266.000,70.00,1414
267.000,267.000,70.00,1682
268.000,268.000,70.00,1154
269.000,269.000,70.00,1464
270.000,270.000,70.00,1669
271.000,271.000,70.00,2556
272.000,272.000,70.00,2672
273.000,273.000,70.00,2964
274.000,274.000,70.00,2320
275.000,275.000,70.00,3266
277.000,277.000,70.00,1283
278.000,278.000,70.00,831
279.000,279.000,70.00,1843
280.000,280.000,70.00,3280
281.000,281.000,70.00,2970
282.000,282.000,70.00,1353
283.000,283.000,70.00,2767
284.000,284.000,70.00,3710
285.000,285.000,70.00,3545
286.000,286.000,70.00,3361
287.000,287.000,70.00,3064
288.000,288.000,70.00,3167
289.000,289.000,70.00,2029
290.000,290.000,70.00,2040
291.000,291.000,70.00,1667
292.000,292.000,70.00,645
293.000,293.000,70.00,725
294.000,294.000,70.00,1528
295.000,295.000,70.00,994
296.000,296.000,70.00,788
297.000,297.000,70.00,636
298.000,298.000,70.00,394
300.000,300.000,70.00,834
301.000,301.000,70.00,855
303.000,303.000,70.00,109
304.000,304.000,70.00,1079
305.000,305.000,70.00,580
306.000,306.000,70.00,717
308.000,308.000,70.00,67
309.000,309.000,70.00,907
310.000,310.000,70.00,1749
311.000,311.000,70.00,1759
312.000,312.000,70.00,1677
313.000,313.000,70.00,1128
314.000,314.000,70.00,1160
315.000,315.000,70.00,1159
316.000,316.000,70.00,1187
317.000,317.000,70.00,873
318.000,318.000,70.00,1062
319.000,319.000,70.00,1135
320.000,320.000,70.00,732
321.000,321.000,70.00,1625
322.000,322.000,70.00,1421
323.000,323.000,70.00,1676
324.000,324.000,70.00,1583
325.000,325.000,70.00,1913
326.000,326.000,70.00,2232
327.000,327.000,70.00,1554
328.000,328.000,70.00,1917
329.000,329.000,70.00,2531
330.000,330.000,70.00,2179
331.000,331.000,70.00,2821
332.000,332.000,70.00,2998
333.000,333.000,70.00,2458
334.000,334.000,70.00,2545
335.000,335.000,70.00,3128
336.000,336.000,70.00,1724
337.000,337.000,70.00,2785
338.000,338.000,70.00,2610
339.000,339.000,70.00,3134
340.000,340.000,70.00,2172
341.000,341.000,70.00,2831
342.000,342.000,70.00,2831
344.000,344.000,70.00,2401
345.000,345.000,70.00,2221
346.000,346.000,70.00,2180
347.000,347.000,70.00,2896
348.000,348.000,70.00,3174
349.000,349.000,70.00,2829
350.000,350.000,70.00,3002
351.000,351.000,70.00,2872
352.000,352.000,70.00,2143
353.000,353.000,70.00,3212
354.000,354.000,70.00,2398
355.000,355.000,70.00,2431
356.000,356.000,70.00,2102
357.000,357.000,70.00,1732
358.000,358.000,70.00,2389
359.000,359.000,70.00,2233
360.000,360.000,70.00,1829
361.000,361.000,70.00,2280
362.000,362.000,70.00,2269
363.000,363.000,70.00,2341
364.000,364.000,70.00,2331
365.000,365.000,70.00,2167
366.000,366.000,70.00,252
367.000,367.000,70.00,335
368.000,368.000,70.00,979
369.000,369.000,70.00,1876
370.000,370.000,70.00,1743
371.000,371.000,70.00,2092
372.000,372.000,70.00,2032
373.000,373.000,70.00,1571
374.000,374.000,70.00,702
375.000,375.000,70.00,1138
377.000,377.000,70.00,269
378.000,378.000,70.00,1712
379.000,379.000,70.00,668
380.000,380.000,70.00,525
381.000,381.000,70.00,1003
382.000,382.000,70.00,1493
383.000,383.000,70.00,1379
384.000,384.000,70.00,1218
385.000,385.000,70.00,1298
386.000,386.000,70.00,1699
387.000,387.000,70.00,1853
388.000,388.000,70.00,413
389.000,389.000,70.00,1501
390.000,390.000,70.00,2036
391.000,391.000,70.00,1897
392.000,392.000,70.00,1835
393.000,393.000,70.00,1715
394.000,394.000,70.00,1246
395.000,395.000,70.00,895
396.000,396.000,70.00,1037
397.000,397.000,70.00,945
398.000,398.000,70.00,1142
399.000,399.000,70.00,1204
400.000,400.000,70.00,681
401.000,401.000,70.00,1037
402.000,402.000,70.00,819
403.000,403.000,70.00,1508
404.000,404.000,70.00,1105
405.000,405.000,70.00,1248
406.000,406.000,70.00,1677
408.000,408.000,70.00,737
409.000,409.000,70.00,1574
410.000,410.000,70.00,627
411.000,411.000,70.00,283
412.000,412.000,70.00,1449
413.000,413.000,70.00,1184
414.000,414.000,70.00,1563
415.000,415.000,70.00,1334
416.000,416.000,70.00,1278
417.000,417.000,70.00,1483
418.000,418.000,70.00,696
420.000,420.000,70.00,114
421.000,421.000,70.00,1179
422.000,422.000,70.00,355
423.000,423.000,70.00,652
424.000,424.000,70.00,1321
425.000,425.000,70.00,1480
426.000,426.000,70.00,1350
427.000,427.000,70.00,1595
428.000,428.000,70.00,1207
429.000,429.000,70.00,1645
430.000,430.000,70.00,1101
431.000,431.000,70.00,1289
432.000,432.000,70.00,1330
433.000,433.000,70.00,1387
434.000,434.000,70.00,1093
435.000,435.000,70.00,537
437.000,437.000,70.00,1448
438.000,438.000,70.00,1798
439.000,439.000,70.00,2156
440.000,440.000,70.00,1798
441.000,441.000,70.00,1421
442.000,442.000,70.00,1957
443.000,443.000,70.00,1307
444.000,444.000,70.00,1238
445.000,445.000,70.00,1867
446.000,446.000,70.00,1696
447.000,447.000,70.00,2208
448.000,448.000,70.00,1435
449.000,449.000,70.00,2145
450.000,450.000,70.00,1555
451.000,451.000,70.00,1974
452.000,452.000,70.00,1267
453.000,453.000,70.00,2115
454.000,454.000,70.00,1868
455.000,455.000,70.00,1345
456.000,456.000,70.00,1617
457.000,457.000,70.00,973
458.000,458.000,70.00,1149
459.000,459.000,70.00,792
460.000,460.000,70.00,993
461.000,461.000,70.00,1287
462.000,462.000,70.00,1832
463.000,463.000,70.00,1971
464.000,464.000,70.00,1883
465.000,465.000,70.00,1699
466.000,466.000,70.00,1755
467.000,467.000,70.00,1419
468.000,468.000,70.00,1001
469.000,469.000,70.00,1163
470.000,470.000,70.00,1623
471.000,471.000,70.00,2014
473.000,473.000,70.00,1802
474.000,474.000,70.00,2506
475.000,475.000,70.00,2186
476.000,476.000,70.00,1945
477.000,477.000,70.00,2284
478.000,478.000,70.00,1045
479.000,479.000,70.00,1656
480.000,480.000,70.00,1537
481.000,481.000,70.00,563
482.000,482.000,70.00,1608
483.000,483.000,70.00,1951
484.000,484.000,70.00,1709
485.000,485.000,70.00,2152
486.000,486.000,70.00,1439
487.000,487.000,70.00,2262
488.000,488.000,70.00,1705
489.000,489.000,70.00,2374
