since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,70.00,2929
1.000,1.000,70.00,3011
2.000,2.000,70.00,2829
3.000,3.000,70.00,2847
4.000,4.000,70.00,3138
5.000,5.000,70.00,2899
6.000,6.000,70.00,2822
7.000,7.000,70.00,2738
8.000,8.000,70.00,2563
9.000,9.000,70.00,2806
10.000,10.000,70.00,2716
11.000,11.000,70.00,2953
12.000,12.000,70.00,3070
13.000,13.000,70.00,2891
14.000,14.000,70.00,2987
15.000,15.000,70.00,2771
16.000,16.000,70.00,3022
17.000,17.000,70.00,2885
18.000,18.000,70.00,2628
19.000,19.000,70.00,2814
20.000,20.000,70.00,3001
21.000,21.000,70.00,3004
22.000,22.000,70.00,3034
23.000,23.000,70.00,2919
24.000,24.000,70.00,2464
25.000,25.000,70.00,1848
26.000,26.000,70.00,2077
27.000,27.000,70.00,1852
28.000,28.000,70.00,2553
30.000,30.000,70.00,2755
31.000,31.000,70.00,3077
32.000,32.000,70.00,2913
33.000,33.000,70.00,2835
34.000,34.000,70.00,2613
35.000,35.000,70.00,2722
36.000,36.000,70.00,2539
37.000,37.000,70.00,2639
38.000,38.000,70.00,2603
39.000,39.000,70.00,1413
40.000,40.000,70.00,1474
41.000,41.000,70.00,1251
42.000,42.000,70.00,1922
43.000,43.000,70.00,1188
44.000,44.000,70.00,1289
45.000,45.000,70.00,1028
46.000,46.000,70.00,970
47.000,47.000,70.00,1673
48.000,48.000,70.00,2093
49.000,49.000,70.00,2595
50.000,50.000,70.00,2128
51.000,51.000,70.00,1688
52.000,52.000,70.00,2451
53.000,53.000,70.00,2280
54.000,54.000,70.00,2300
55.000,55.000,70.00,2226
56.000,56.000,70.00,2050
57.000,57.000,70.00,1710
58.000,58.000,70.00,1870
59.000,59.000,70.00,1422
60.000,60.000,70.00,2318
61.000,61.000,70.00,2285
62.000,62.000,70.00,2071
63.000,63.000,70.00,2278
64.000,64.000,70.00,1966
65.000,65.000,70.00,1641
66.000,66.000,70.00,2503
67.000,67.000,70.00,2083
68.000,68.000,70.00,2054
69.000,69.000,70.00,2273
70.000,70.000,70.00,1946
71.000,71.000,70.00,1784
72.000,72.000,70.00,2285
73.000,73.000,70.00,1960
74.000,74.000,70.00,2285
75.000,75.000,70.00,2393
76.000,76.000,70.00,2279
77.000,77.000,70.00,2347
78.000,78.000,70.00,2200
79.000,79.000,70.00,2158
80.000,80.000,70.00,2447
81.000,81.000,70.00,2453
82.000,82.000,70.00,2709
83.000,83.000,70.00,2382
84.000,84.000,70.00,2172
85.000,85.000,70.00,2261
86.000,86.000,70.00,2471
87.000,87.000,70.00,2211
88.000,88.000,70.00,2009
89.000,89.000,70.00,2611
90.000,90.000,70.00,2355
91.000,91.000,70.00,2382
92.000,92.000,70.00,2257
93.000,93.000,70.00,2568
94.000,94.000,70.00,2563
95.000,95.000,70.00,2377
96.000,96.000,70.00,2415
97.000,97.000,70.00,2554
98.000,98.000,70.00,2158
99.000,99.000,70.00,1968
100.000,100.000,70.00,1528
101.000,101.000,70.00,1074
102.000,102.000,70.00,1066
103.000,103.000,70.00,1268
104.000,104.000,70.00,1252
105.000,105.000,70.00,1441
106.000,106.000,70.00,1387
107.000,107.000,70.00,1359
108.000,108.000,70.00,1771
109.000,109.000,70.00,1565
110.000,110.000,70.00,1755
111.000,111.000,70.00,1577
112.000,112.000,70.00,2055
113.000,113.000,70.00,1816
114.000,114.000,70.00,1467
115.000,115.000,70.00,1551
116.000,116.000,70.00,1303
117.000,117.000,70.00,605
118.000,118.000,70.00,390
120.000,120.000,70.00,470
121.000,121.000,70.00,773
123.000,123.000,70.00,54
124.000,124.000,70.00,1930
125.000,125.000,70.00,1430
126.000,126.000,70.00,1195
127.000,127.000,70.00,878
128.000,128.000,70.00,921
129.000,129.000,70.00,1051
130.000,130.000,70.00,967
131.000,131.000,70.00,1095
132.000,132.000,70.00,715
133.000,133.000,70.00,773
134.000,134.000,70.00,904
135.000,135.000,70.00,1441
136.000,136.000,70.00,1481
137.000,137.000,70.00,1486
138.000,138.000,70.00,1195
139.000,139.000,70.00,1552
140.000,140.000,70.00,1498
141.000,141.000,70.00,1328
142.000,142.000,70.00,1669
143.000,143.000,70.00,1507
144.000,144.000,70.00,1690
145.000,145.000,70.00,1557
146.000,146.000,70.00,1974
147.000,147.000,70.00,1524
148.000,148.000,70.00,1385
149.000,149.000,70.00,893
150.000,150.000,70.00,1560
151.000,151.000,70.00,1382
152.000,152.000,70.00,1573
153.000,153.000,70.00,1377
154.000,154.000,70.00,1327
156.000,156.000,70.00,1486
157.000,157.000,70.00,1246
158.000,158.000,70.00,1354
159.000,159.000,70.00,1334
160.000,160.000,70.00,1383
161.000,161.000,70.00,1615
162.000,162.000,70.00,1293
163.000,163.000,70.00,1692
164.000,164.000,70.00,1371
165.000,165.000,70.00,1560
166.000,166.000,70.00,1010
167.000,167.000,70.00,776
168.000,168.000,70.00,401
169.000,169.000,70.00,336
170.000,170.000,70.00,258
171.000,171.000,70.00,256
172.000,172.000,70.00,247
173.000,173.000,70.00,202
174.000,174.000,70.00,155
175.000,175.000,70.00,161
211.000,211.000,70.00,4
212.000,212.000,70.00,262
213.000,213.000,70.00,683
214.000,214.000,70.00,998
215.000,215.000,70.00,748
216.000,216.000,70.00,644
217.000,217.000,70.00,415
218.000,218.000,70.00,542
219.000,219.000,70.00,488
220.000,220.000,70.00,379
221.000,221.000,70.00,282
222.000,222.000,70.00,244
223.000,223.000,70.00,230
224.000,224.000,70.00,271
225.000,225.000,70.00,347
226.000,226.000,70.00,369
227.000,227.000,70.00,446
228.000,228.000,70.00,431
229.000,229.000,70.00,455
230.000,230.000,70.00,468
231.000,231.000,70.00,354
232.000,232.000,70.00,368
234.000,234.000,70.00,324
235.000,235.000,70.00,296
236.000,236.000,70.00,329
237.000,237.000,70.00,274
238.000,238.000,70.00,184
239.000,239.000,70.00,221
240.000,240.000,70.00,242
241.000,241.000,70.00,284
242.000,242.000,70.00,337
243.000,243.000,70.00,274
244.000,244.000,70.00,271
245.000,245.000,70.00,287
246.000,246.000,70.00,219
247.000,247.000,70.00,215
248.000,248.000,70.00,163
249.000,249.000,70.00,177
250.000,250.000,70.00,146
251.000,251.000,70.00,102
252.000,252.000,70.00,125
253.000,253.000,70.00,102
254.000,254.000,70.00,73
255.000,255.000,70.00,105
256.000,256.000,70.00,167
257.000,257.000,70.00,141
259.000,259.000,70.00,55
260.000,260.000,70.00,54
261.000,261.000,70.00,53
262.000,262.000,70.00,107
263.000,263.000,70.00,110
264.000,264.000,70.00,147
265.000,265.000,70.00,119
268.000,268.000,70.00,20
286.000,286.000,70.00,5
287.000,287.000,70.00,128
288.000,288.000,70.00,86
289.000,289.000,70.00,57
290.000,290.000,70.00,57
291.000,291.000,70.00,57
292.000,292.000,70.00,56
293.000,293.000,70.00,57
295.000,295.000,70.00,60
296.000,296.000,70.00,56
297.000,297.000,70.00,54
298.000,298.000,70.00,43
299.000,299.000,70.00,65
300.000,300.000,70.00,287
301.000,301.000,70.00,215
302.000,302.000,70.00,483
303.000,303.000,70.00,694
304.000,304.000,70.00,868
305.000,305.000,70.00,926
306.000,306.000,70.00,1019
307.000,307.000,70.00,878
308.000,308.000,70.00,693
309.000,309.000,70.00,623
310.000,310.000,70.00,569
311.000,311.000,70.00,672
312.000,312.000,70.00,860
313.000,313.000,70.00,902
314.000,314.000,70.00,891
315.000,315.000,70.00,654
316.000,316.000,70.00,711
317.000,317.000,70.00,846
319.000,319.000,70.00,1163
320.000,320.000,70.00,1062
321.000,321.000,70.00,1261
322.000,322.000,70.00,1484
323.000,323.000,70.00,867
324.000,324.000,70.00,846
325.000,325.000,70.00,1486
326.000,326.000,70.00,1235
327.000,327.000,70.00,981
328.000,328.000,70.00,1545
329.000,329.000,70.00,723
330.000,330.000,70.00,820
331.000,331.000,70.00,601
332.000,332.000,70.00,394
333.000,333.000,70.00,329
334.000,334.000,70.00,279
335.000,335.000,70.00,135
336.000,336.000,70.00,71
337.000,337.000,70.00,154
338.000,338.000,70.00,167
356.000,356.000,70.00,4
357.000,357.000,70.00,801
358.000,358.000,70.00,2700
359.000,359.000,70.00,2607
