since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,70.00,1286
1.000,1.000,70.00,1694
2.000,2.000,70.00,1812
3.000,3.000,70.00,1796
4.000,4.000,70.00,2182
5.000,5.000,70.00,1896
6.000,6.000,70.00,2249
7.000,7.000,70.00,1776
8.000,8.000,70.00,1646
9.000,9.000,70.00,2128
10.000,10.000,70.00,2065
12.000,12.000,70.00,2001
13.000,13.000,70.00,1733
14.000,14.000,70.00,1853
15.000,15.000,70.00,2206
16.000,16.000,70.00,1732
17.000,17.000,70.00,2313
18.000,18.000,70.00,1732
19.000,19.000,70.00,1640
20.000,20.000,70.00,2323
21.000,21.000,70.00,1559
22.000,22.000,70.00,1837
23.000,23.000,70.00,1680
24.000,24.000,70.00,2126
25.000,25.000,70.00,1805
26.000,26.000,70.00,1743
27.000,27.000,70.00,2247
28.000,28.000,70.00,2024
29.000,29.000,70.00,1893
30.000,30.000,70.00,2154
31.000,31.000,70.00,1893
32.000,32.000,70.00,2237
33.000,33.000,70.00,1994
34.000,34.000,70.00,2111
35.000,35.000,70.00,2336
36.000,36.000,70.00,1537
37.000,37.000,70.00,1941
38.000,38.000,70.00,1930
39.000,39.000,70.00,1464
40.000,40.000,70.00,1824
41.000,41.000,70.00,1629
42.000,42.000,70.00,1781
43.000,43.000,70.00,1734
44.000,44.000,70.00,1953
45.000,45.000,70.00,1859
46.000,46.000,70.00,1876
47.000,47.000,70.00,1356
48.000,48.000,70.00,1524
49.000,49.000,70.00,803
50.000,50.000,70.00,850
51.000,51.000,70.00,1411
52.000,52.000,70.00,1199
53.000,53.000,70.00,1733
54.000,54.000,70.00,1700
55.000,55.000,70.00,2001
56.000,56.000,70.00,1601
57.000,57.000,70.00,1911
58.000,58.000,70.00,1152
59.000,59.000,70.00,1573
60.000,60.000,70.00,1303
61.000,61.000,70.00,1061
62.000,62.000,70.00,1064
63.000,63.000,70.00,842
64.000,64.000,70.00,1159
65.000,65.000,70.00,1104
66.000,66.000,70.00,879
67.000,67.000,70.00,751
68.000,68.000,70.00,685
69.000,69.000,70.00,995
70.000,70.000,70.00,891
71.000,71.000,70.00,1402
72.000,72.000,70.00,1529
73.000,73.000,70.00,1870
74.000,74.000,70.00,1548
75.000,75.000,70.00,2077
76.000,76.000,70.00,1639
77.000,77.000,70.00,1771
78.000,78.000,70.00,1058
79.000,79.000,70.00,1199
81.000,81.000,70.00,1608
82.000,82.000,70.00,1640
83.000,83.000,70.00,1452
84.000,84.000,70.00,1738
85.000,85.000,70.00,1590
86.000,86.000,70.00,1835
87.000,87.000,70.00,1150
88.000,88.000,70.00,1378
89.000,89.000,70.00,1202
90.000,90.000,70.00,807
91.000,91.000,70.00,847
92.000,92.000,70.00,569
93.000,93.000,70.00,369
94.000,94.000,70.00,251
95.000,95.000,70.00,521
96.000,96.000,70.00,418
97.000,97.000,70.00,1270
99.000,99.000,70.00,1449
100.000,100.000,70.00,1262
101.000,101.000,70.00,1554
102.000,102.000,70.00,1312
103.000,103.000,70.00,1542
104.000,104.000,70.00,1345
105.000,105.000,70.00,1467
106.000,106.000,70.00,1350
107.000,107.000,70.00,1036
108.000,108.000,70.00,1191
109.000,109.000,70.00,1203
110.000,110.000,70.00,1025
111.000,111.000,70.00,1277
112.000,112.000,70.00,1218
113.000,113.000,70.00,1444
114.000,114.000,70.00,1375
115.000,115.000,70.00,1154
116.000,116.000,70.00,1244
117.000,117.000,70.00,1152
118.000,118.000,70.00,1104
119.000,119.000,70.00,1238
120.000,120.000,70.00,1269
121.000,121.000,70.00,1444
122.000,122.000,70.00,1451
123.000,123.000,70.00,1157
124.000,124.000,70.00,1859
125.000,125.000,70.00,1594
126.000,126.000,70.00,1793
127.000,127.000,70.00,1502
128.000,128.000,70.00,1617
129.000,129.000,70.00,1416
130.000,130.000,70.00,1300
131.000,131.000,70.00,1131
132.000,132.000,70.00,1341
133.000,133.000,70.00,1216
134.000,134.000,70.00,1024
135.000,135.000,70.00,1191
136.000,136.000,70.00,1102
137.000,137.000,70.00,1148
138.000,138.000,70.00,1277
139.000,139.000,70.00,1336
140.000,140.000,70.00,1390
141.000,141.000,70.00,1205
142.000,142.000,70.00,1388
143.000,143.000,70.00,1445
144.000,144.000,70.00,1126
145.000,145.000,70.00,1759
146.000,146.000,70.00,1286
147.000,147.000,70.00,1730
148.000,148.000,70.00,1383
149.000,149.000,70.00,1710
150.000,150.000,70.00,1481
151.000,151.000,70.00,1694
152.000,152.000,70.00,1552
153.000,153.000,70.00,1833
154.000,154.000,70.00,1421
155.000,155.000,70.00,1761
156.000,156.000,70.00,1360
157.000,157.000,70.00,1838
158.000,158.000,70.00,1560
159.000,159.000,70.00,1824
160.000,160.000,70.00,1410
161.000,161.000,70.00,1602
162.000,162.000,70.00,1148
163.000,163.000,70.00,1290
165.000,165.000,70.00,1267
166.000,166.000,70.00,814
167.000,167.000,70.00,1335
168.000,168.000,70.00,1180
169.000,169.000,70.00,848
170.000,170.000,70.00,1292
171.000,171.000,70.00,1406
172.000,172.000,70.00,1221
173.000,173.000,70.00,1448
174.000,174.000,70.00,1118
175.000,175.000,70.00,1502
176.000,176.000,70.00,1394
177.000,177.000,70.00,962
178.000,178.000,70.00,1668
179.000,179.000,70.00,1291
180.000,180.000,70.00,1631
181.000,181.000,70.00,1372
182.000,182.000,70.00,1719
183.000,183.000,70.00,1167
184.000,184.000,70.00,1469
185.000,185.000,70.00,1477
186.000,186.000,70.00,1162
187.000,187.000,70.00,1346
188.000,188.000,70.00,1336
189.000,189.000,70.00,1933
190.000,190.000,70.00,1216
191.000,191.000,70.00,951
192.000,192.000,70.00,695
193.000,193.000,70.00,858
194.000,194.000,70.00,571
195.000,195.000,70.00,1259
200.000,200.000,70.00,1601
201.000,201.000,70.00,1359
202.000,202.000,70.00,2325
203.000,203.000,70.00,1610
204.000,204.000,70.00,1902
205.000,205.000,70.00,1377
206.000,206.000,70.00,1522
207.000,207.000,70.00,940
208.000,208.000,70.00,805
209.000,209.000,70.00,612
210.000,210.000,70.00,508
211.000,211.000,70.00,378
213.000,213.000,70.00,586
214.000,214.000,70.00,733
215.000,215.000,70.00,120
216.000,216.000,70.00,2063
217.000,217.000,70.00,2215
218.000,218.000,70.00,1765
219.000,219.000,70.00,2226
220.000,220.000,70.00,1814
221.000,221.000,70.00,2120
222.000,222.000,70.00,2228
223.000,223.000,70.00,1763
224.000,224.000,70.00,1448
225.000,225.000,70.00,565
226.000,226.000,70.00,228
227.000,227.000,70.00,151
228.000,228.000,70.00,43
229.000,229.000,70.00,169
231.000,231.000,70.00,72
232.000,232.000,70.00,1412
233.000,233.000,70.00,553
234.000,234.000,70.00,591
235.000,235.000,70.00,751
236.000,236.000,70.00,628
237.000,237.000,70.00,814
238.000,238.000,70.00,1046
239.000,239.000,70.00,672
240.000,240.000,70.00,429
241.000,241.000,70.00,709
242.000,242.000,70.00,820
243.000,243.000,70.00,919
244.000,244.000,70.00,948
245.000,245.000,70.00,1750
246.000,246.000,70.00,1171
247.000,247.000,70.00,1760
248.000,248.000,70.00,1222
249.000,249.000,70.00,476
250.000,250.000,70.00,773
251.000,251.000,70.00,547
252.000,252.000,70.00,142
253.000,253.000,70.00,1420
254.000,254.000,70.00,1180
255.000,255.000,70.00,1130
256.000,256.000,70.00,1153
257.000,257.000,70.00,1471
258.000,258.000,70.00,1394
259.000,259.000,70.00,1668
260.000,260.000,70.00,1559
261.000,261.000,70.00,1837
262.000,262.000,70.00,1852
263.000,263.000,70.00,2027
264.000,264.000,70.00,1307
265.000,265.000,70.00,2247
266.000,266.000,70.00,1701
267.000,267.000,70.00,1912
268.000,268.000,70.00,2104
269.000,269.000,70.00,1642
270.000,270.000,70.00,2136
271.000,271.000,70.00,1540
272.000,272.000,70.00,1737
273.000,273.000,70.00,1242
274.000,274.000,70.00,1774
275.000,275.000,70.00,1634
276.000,276.000,70.00,1689
277.000,277.000,70.00,1513
279.000,279.000,70.00,1436
280.000,280.000,70.00,1698
281.000,281.000,70.00,1378
282.000,282.000,70.00,1188
283.000,283.000,70.00,1600
284.000,284.000,70.00,1568
285.000,285.000,70.00,1532
286.000,286.000,70.00,1330
287.000,287.000,70.00,1231
288.000,288.000,70.00,1514
289.000,289.000,70.00,1100
290.000,290.000,70.00,1618
291.000,291.000,70.00,1143
292.000,292.000,70.00,1622
293.000,293.000,70.00,1607
294.000,294.000,70.00,1743
295.000,295.000,70.00,1731
296.000,296.000,70.00,1568
297.000,297.000,70.00,1700
298.000,298.000,70.00,1258
299.000,299.000,70.00,1234
300.000,300.000,70.00,1145
301.000,301.000,70.00,1038
302.000,302.000,70.00,497
303.000,303.000,70.00,341
304.000,304.000,70.00,422
305.000,305.000,70.00,280
306.000,306.000,70.00,256
307.000,307.000,70.00,295
308.000,308.000,70.00,822
309.000,309.000,70.00,789
310.000,310.000,70.00,873
311.000,311.000,70.00,498
312.000,312.000,70.00,588
314.000,314.000,70.00,184
315.000,315.000,70.00,875
316.000,316.000,70.00,1400
317.000,317.000,70.00,2000
318.000,318.000,70.00,1507
319.000,319.000,70.00,1694
320.000,320.000,70.00,1540
321.000,321.000,70.00,1869
322.000,322.000,70.00,1605
323.000,323.000,70.00,2001
324.000,324.000,70.00,1271
325.000,325.000,70.00,1771
326.000,326.000,70.00,1447
327.000,327.000,70.00,1984
328.000,328.000,70.00,1765
329.000,329.000,70.00,1892
330.000,330.000,70.00,2304
331.000,331.000,70.00,2065
332.000,332.000,70.00,1984
333.000,333.000,70.00,2489
334.000,334.000,70.00,2003
335.000,335.000,70.00,1804
336.000,336.000,70.00,1990
337.000,337.000,70.00,1428
338.000,338.000,70.00,1059
339.000,339.000,70.00,1695
340.000,340.000,70.00,1301
