since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,70.00,920
1.000,1.000,70.00,1631
2.000,2.000,70.00,1781
3.000,3.000,70.00,763
4.000,4.000,70.00,799
5.000,5.000,70.00,490
6.000,6.000,70.00,700
7.000,7.000,70.00,587
8.000,8.000,70.00,426
9.000,9.000,70.00,420
10.000,10.000,70.00,295
11.000,11.000,70.00,192
12.000,12.000,70.00,204
13.000,13.000,70.00,167
14.000,14.000,70.00,258
15.000,15.000,70.00,444
16.000,16.000,70.00,623
17.000,17.000,70.00,583
18.000,18.000,70.00,547
19.000,19.000,70.00,620
20.000,20.000,70.00,478
21.000,21.000,70.00,531
22.000,22.000,70.00,280
23.000,23.000,70.00,326
24.000,24.000,70.00,322
25.000,25.000,70.00,276
26.000,26.000,70.00,553
27.000,27.000,70.00,401
29.000,29.000,70.00,404
30.000,30.000,70.00,340
31.000,31.000,70.00,424
32.000,32.000,70.00,501
33.000,33.000,70.00,396
34.000,34.000,70.00,611
35.000,35.000,70.00,755
36.000,36.000,70.00,721
37.000,37.000,70.00,601
38.000,38.000,70.00,651
39.000,39.000,70.00,492
40.000,40.000,70.00,455
41.000,41.000,70.00,437
42.000,42.000,70.00,478
43.000,43.000,70.00,891
44.000,44.000,70.00,781
45.000,45.000,70.00,1118
46.000,46.000,70.00,921
47.000,47.000,70.00,797
48.000,48.000,70.00,1148
49.000,49.000,70.00,845
50.000,50.000,70.00,1010
51.000,51.000,70.00,615
52.000,52.000,70.00,764
53.000,53.000,70.00,923
54.000,54.000,70.00,618
55.000,55.000,70.00,79
56.000,56.000,70.00,53
57.000,57.000,70.00,54
59.000,59.000,70.00,149
60.000,60.000,70.00,159
64.000,64.000,70.00,27
66.000,66.000,70.00,661
67.000,67.000,70.00,858
68.000,68.000,70.00,777
69.000,69.000,70.00,1113
70.000,70.000,70.00,761
71.000,71.000,70.00,985
72.000,72.000,70.00,1181
73.000,73.000,70.00,1038
74.000,74.000,70.00,778
75.000,75.000,70.00,509
76.000,76.000,70.00,443
77.000,77.000,70.00,461
78.000,78.000,70.00,417
79.000,79.000,70.00,573
80.000,80.000,70.00,240
81.000,81.000,70.00,113
83.000,83.000,70.00,221
84.000,84.000,70.00,186
85.000,85.000,70.00,132
86.000,86.000,70.00,152
87.000,87.000,70.00,159
88.000,88.000,70.00,193
89.000,89.000,70.00,557
90.000,90.000,70.00,509
91.000,91.000,70.00,258
92.000,92.000,70.00,132
93.000,93.000,70.00,95
94.000,94.000,70.00,34
95.000,95.000,70.00,74
96.000,96.000,70.00,158
98.000,98.000,70.00,113
99.000,99.000,70.00,281
100.000,100.000,70.00,132
101.000,101.000,70.00,9
102.000,102.000,70.00,926
103.000,103.000,70.00,542
104.000,104.000,70.00,223
105.000,105.000,70.00,101
107.000,107.000,70.00,68
108.000,108.000,70.00,105
109.000,109.000,70.00,72
110.000,110.000,70.00,137
111.000,111.000,70.00,123
112.000,112.000,70.00,38
114.000,114.000,70.00,41
115.000,115.000,70.00,20
116.000,116.000,70.00,32
118.000,118.000,70.00,16
119.000,119.000,70.00,243
120.000,120.000,70.00,213
121.000,121.000,70.00,236
122.000,122.000,70.00,221
126.000,126.000,70.00,21
127.000,127.000,70.00,386
129.000,129.000,70.00,103
130.000,130.000,70.00,116
131.000,131.000,70.00,64
132.000,132.000,70.00,123
133.000,133.000,70.00,110
134.000,134.000,70.00,350
135.000,135.000,70.00,290
136.000,136.000,70.00,246
137.000,137.000,70.00,272
138.000,138.000,70.00,296
139.000,139.000,70.00,273
140.000,140.000,70.00,179
141.000,141.000,70.00,136
143.000,143.000,70.00,236
144.000,144.000,70.00,76
145.000,145.000,70.00,294
146.000,146.000,70.00,154
147.000,147.000,70.00,542
148.000,148.000,70.00,277
149.000,149.000,70.00,473
150.000,150.000,70.00,410
151.000,151.000,70.00,378
152.000,152.000,70.00,382
153.000,153.000,70.00,405
154.000,154.000,70.00,437
155.000,155.000,70.00,765
156.000,156.000,70.00,736
157.000,157.000,70.00,1169
158.000,158.000,70.00,985
159.000,159.000,70.00,638
160.000,160.000,70.00,721
161.000,161.000,70.00,867
162.000,162.000,70.00,1085
163.000,163.000,70.00,1431
164.000,164.000,70.00,666
165.000,165.000,70.00,672
166.000,166.000,70.00,325
167.000,167.000,70.00,253
168.000,168.000,70.00,180
169.000,169.000,70.00,114
170.000,170.000,70.00,152
171.000,171.000,70.00,221
185.000,185.000,70.00,8
186.000,186.000,70.00,63
187.000,187.000,70.00,67
188.000,188.000,70.00,64
189.000,189.000,70.00,62
190.000,190.000,70.00,68
191.000,191.000,70.00,71
193.000,193.000,70.00,187
195.000,195.000,70.00,340
196.000,196.000,70.00,511
197.000,197.000,70.00,1079
198.000,198.000,70.00,1055
199.000,199.000,70.00,1216
200.000,200.000,70.00,1064
201.000,201.000,70.00,1553
202.000,202.000,70.00,851
203.000,203.000,70.00,238
204.000,204.000,70.00,1184
206.000,206.000,70.00,917
207.000,207.000,70.00,752
208.000,208.000,70.00,623
209.000,209.000,70.00,1007
210.000,210.000,70.00,991
211.000,211.000,70.00,589
212.000,212.000,70.00,606
213.000,213.000,70.00,223
214.000,214.000,70.00,97
215.000,215.000,70.00,1505
216.000,216.000,70.00,2268
217.000,217.000,70.00,1259
218.000,218.000,70.00,1799
219.000,219.000,70.00,1192
220.000,220.000,70.00,904
221.000,221.000,70.00,1117
222.000,222.000,70.00,1603
223.000,223.000,70.00,1548
225.000,225.000,70.00,781
226.000,226.000,70.00,1051
227.000,227.000,70.00,1127
228.000,228.000,70.00,1155
229.000,229.000,70.00,1298
230.000,230.000,70.00,1843
231.000,231.000,70.00,1907
232.000,232.000,70.00,2051
233.000,233.000,70.00,2509
234.000,234.000,70.00,2224
235.000,235.000,70.00,1577
236.000,236.000,70.00,1828
237.000,237.000,70.00,2223
238.000,238.000,70.00,2500
239.000,239.000,70.00,2072
240.000,240.000,70.00,1747
241.000,241.000,70.00,2482
242.000,242.000,70.00,2378
243.000,243.000,70.00,2427
244.000,244.000,70.00,1559
245.000,245.000,70.00,1489
246.000,246.000,70.00,1788
247.000,247.000,70.00,1518
248.000,248.000,70.00,1749
249.000,249.000,70.00,1374
250.000,250.000,70.00,1562
251.000,251.000,70.00,1232
252.000,252.000,70.00,1842
253.000,253.000,70.00,1374
255.000,255.000,70.00,1773
256.000,256.000,70.00,1864
257.000,257.000,70.00,1487
258.000,258.000,70.00,1302
259.000,259.000,70.00,1192
260.000,260.000,70.00,1128
261.000,261.000,70.00,585
262.000,262.000,70.00,629
263.000,263.000,70.00,563
264.000,264.000,70.00,869
265.000,265.000,70.00,922
266.000,266.000,70.00,482
267.000,267.000,70.00,404
268.000,268.000,70.00,406
269.000,269.000,70.00,223
270.000,270.000,70.00,531
271.000,271.000,70.00,912
272.000,272.000,70.00,852
273.000,273.000,70.00,287
274.000,274.000,70.00,68
276.000,276.000,70.00,129
277.000,277.000,70.00,472
278.000,278.000,70.00,496
279.000,279.000,70.00,765
280.000,280.000,70.00,995
281.000,281.000,70.00,726
282.000,282.000,70.00,702
283.000,283.000,70.00,762
284.000,284.000,70.00,998
285.000,285.000,70.00,1069
286.000,286.000,70.00,1698
288.000,288.000,70.00,1512
289.000,289.000,70.00,1626
290.000,290.000,70.00,2476
291.000,291.000,70.00,2545
292.000,292.000,70.00,2166
293.000,293.000,70.00,2242
294.000,294.000,70.00,1255
295.000,295.000,70.00,791
296.000,296.000,70.00,1475
