since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,70.00,63
1.000,1.000,70.00,351
2.000,2.000,70.00,522
3.000,3.000,70.00,1380
4.000,4.000,70.00,1670
5.000,5.000,70.00,916
7.000,7.000,70.00,724
8.000,8.000,70.00,1372
9.000,9.000,70.00,890
10.000,10.000,70.00,962
11.000,11.000,70.00,796
12.000,12.000,70.00,1192
13.000,13.000,70.00,741
14.000,14.000,70.00,1492
15.000,15.000,70.00,1338
16.000,16.000,70.00,760
17.000,17.000,70.00,852
18.000,18.000,70.00,606
19.000,19.000,70.00,807
21.000,21.000,70.00,814
22.000,22.000,70.00,599
23.000,23.000,70.00,409
24.000,24.000,70.00,539
25.000,25.000,70.00,497
26.000,26.000,70.00,576
27.000,27.000,70.00,501
28.000,28.000,70.00,520
29.000,29.000,70.00,395
30.000,30.000,70.00,392
31.000,31.000,70.00,343
32.000,32.000,70.00,226
33.000,33.000,70.00,240
34.000,34.000,70.00,179
35.000,35.000,70.00,235
36.000,36.000,70.00,193
37.000,37.000,70.00,271
38.000,38.000,70.00,949
39.000,39.000,70.00,1108
40.000,40.000,70.00,1082
41.000,41.000,70.00,1098
42.000,42.000,70.00,1200
43.000,43.000,70.00,934
44.000,44.000,70.00,878
45.000,45.000,70.00,1086
47.000,47.000,70.00,608
48.000,48.000,70.00,1014
49.000,49.000,70.00,426
50.000,50.000,70.00,579
51.000,51.000,70.00,453
52.000,52.000,70.00,485
53.000,53.000,70.00,433
54.000,54.000,70.00,672
55.000,55.000,70.00,561
56.000,56.000,70.00,739
57.000,57.000,70.00,354
58.000,58.000,70.00,326
59.000,59.000,70.00,232
60.000,60.000,70.00,202
61.000,61.000,70.00,523
63.000,63.000,70.00,528
64.000,64.000,70.00,620
65.000,65.000,70.00,828
66.000,66.000,70.00,765
67.000,67.000,70.00,337
68.000,68.000,70.00,397
69.000,69.000,70.00,667
70.000,70.000,70.00,407
71.000,71.000,70.00,245
72.000,72.000,70.00,146
73.000,73.000,70.00,49
74.000,74.000,70.00,227
75.000,75.000,70.00,430
76.000,76.000,70.00,852
77.000,77.000,70.00,1123
78.000,78.000,70.00,715
79.000,79.000,70.00,1073
80.000,80.000,70.00,634
81.000,81.000,70.00,678
82.000,82.000,70.00,744
83.000,83.000,70.00,1015
84.000,84.000,70.00,899
85.000,85.000,70.00,780
86.000,86.000,70.00,891
87.000,87.000,70.00,960
88.000,88.000,70.00,727
89.000,89.000,70.00,403
90.000,90.000,70.00,691
91.000,91.000,70.00,939
92.000,92.000,70.00,849
93.000,93.000,70.00,813
94.000,94.000,70.00,633
95.000,95.000,70.00,774
96.000,96.000,70.00,1099
98.000,98.000,70.00,925
99.000,99.000,70.00,636
100.000,100.000,70.00,375
101.000,101.000,70.00,244
102.000,102.000,70.00,893
103.000,103.000,70.00,958
104.000,104.000,70.00,930
105.000,105.000,70.00,704
106.000,106.000,70.00,737
107.000,107.000,70.00,724
108.000,108.000,70.00,695
109.000,109.000,70.00,610
110.000,110.000,70.00,608
111.000,111.000,70.00,505
112.000,112.000,70.00,418
113.000,113.000,70.00,235
114.000,114.000,70.00,126
115.000,115.000,70.00,243
116.000,116.000,70.00,314
117.000,117.000,70.00,238
118.000,118.000,70.00,214
120.000,120.000,70.00,311
121.000,121.000,70.00,313
122.000,122.000,70.00,236
123.000,123.000,70.00,311
124.000,124.000,70.00,215
125.000,125.000,70.00,230
126.000,126.000,70.00,390
127.000,127.000,70.00,451
128.000,128.000,70.00,297
129.000,129.000,70.00,321
130.000,130.000,70.00,548
131.000,131.000,70.00,651
132.000,132.000,70.00,547
133.000,133.000,70.00,513
134.000,134.000,70.00,568
135.000,135.000,70.00,378
136.000,136.000,70.00,274
137.000,137.000,70.00,294
138.000,138.000,70.00,268
140.000,140.000,70.00,207
141.000,141.000,70.00,426
142.000,142.000,70.00,419
143.000,143.000,70.00,483
144.000,144.000,70.00,665
145.000,145.000,70.00,585
146.000,146.000,70.00,368
147.000,147.000,70.00,408
148.000,148.000,70.00,271
149.000,149.000,70.00,365
150.000,150.000,70.00,271
151.000,151.000,70.00,444
152.000,152.000,70.00,574
153.000,153.000,70.00,403
154.000,154.000,70.00,455
155.000,155.000,70.00,313
156.000,156.000,70.00,372
157.000,157.000,70.00,343
158.000,158.000,70.00,300
159.000,159.000,70.00,336
160.000,160.000,70.00,412
161.000,161.000,70.00,944
162.000,162.000,70.00,485
164.000,164.000,70.00,520
165.000,165.000,70.00,545
166.000,166.000,70.00,651
167.000,167.000,70.00,704
168.000,168.000,70.00,693
169.000,169.000,70.00,521
170.000,170.000,70.00,799
171.000,171.000,70.00,795
172.000,172.000,70.00,548
173.000,173.000,70.00,435
174.000,174.000,70.00,596
175.000,175.000,70.00,505
176.000,176.000,70.00,443
177.000,177.000,70.00,691
178.000,178.000,70.00,684
179.000,179.000,70.00,856
180.000,180.000,70.00,653
181.000,181.000,70.00,726
182.000,182.000,70.00,446
183.000,183.000,70.00,404
184.000,184.000,70.00,284
185.000,185.000,70.00,199
187.000,187.000,70.00,95
188.000,188.000,70.00,161
189.000,189.000,70.00,399
190.000,190.000,70.00,499
191.000,191.000,70.00,774
192.000,192.000,70.00,641
193.000,193.000,70.00,572
194.000,194.000,70.00,410
195.000,195.000,70.00,890
196.000,196.000,70.00,562
197.000,197.000,70.00,819
198.000,198.000,70.00,589
199.000,199.000,70.00,823
201.000,201.000,70.00,754
202.000,202.000,70.00,721
203.000,203.000,70.00,890
204.000,204.000,70.00,815
205.000,205.000,70.00,671
206.000,206.000,70.00,198
207.000,207.000,70.00,415
