since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,672.33,63
6.711,6.711,253.28,182
8.808,8.808,246.93,236
11.431,11.431,334.61,150
12.032,12.032,162.39,271
14.754,14.754,308.71,128
17.287,17.287,270.14,256
19.049,19.049,197.50,235
20.970,20.970,372.87,116
21.756,21.756,194.08,407
22.849,22.849,115.43,670
26.719,26.719,150.74,525
28.122,28.122,145.04,501
29.173,29.173,248.16,172
32.476,32.476,179.12,332
34.184,34.184,409.69,253
36.771,36.771,364.28,183
38.243,38.243,246.79,191
38.957,38.957,173.45,349
41.552,41.552,414.73,194
43.196,43.196,238.20,280
46.529,46.529,363.08,183
48.242,48.242,181.47,346
49.257,49.257,113.45,509
56.211,56.211,409.10,91
58.473,58.473,328.89,125
60.332,60.332,382.45,210
62.431,62.431,551.17,151
63.391,63.391,318.80,189
64.371,64.371,214.86,220
67.242,67.242,334.74,179
70.153,70.153,425.86,147
72.724,72.724,499.30,107
76.739,76.739,369.07,225
77.672,77.672,235.65,277
78.965,78.965,329.69,184
81.532,81.532,413.10,81
84.885,84.885,428.68,140
89.554,89.554,179.12,376
93.199,93.199,433.70,149
97.148,97.148,233.25,286
99.333,99.333,124.00,525
101.073,101.073,261.13,194
102.432,102.432,135.29,344
104.241,104.241,139.57,212
106.550,106.550,164.66,461
108.274,108.274,216.44,251
109.220,109.220,191.84,414
111.948,111.948,343.19,261
113.661,113.661,275.77,367
115.430,115.430,317.08,314
117.405,117.405,196.31,325
119.589,119.589,216.88,361
121.979,121.979,335.50,146
124.345,124.345,238.27,316
126.952,126.952,225.87,142
128.107,128.107,169.30,546
129.590,129.590,63.95,705
131.902,131.902,317.57,371
133.784,133.784,330.19,309
135.263,135.263,573.73,81
136.931,136.931,288.00,286
138.529,138.529,167.71,382
139.241,139.241,119.69,373
140.625,140.625,259.03,219
156.719,156.719,420.75,348
157.647,157.647,81.28,574
160.259,160.259,615.16,202
161.276,161.276,246.35,205
163.649,163.649,308.78,243
166.874,166.874,183.02,244
168.386,168.386,123.68,536
170.124,170.124,257.40,393
170.343,170.343,149.71,471
170.939,170.939,73.70,1965
172.567,172.567,450.31,429
173.199,173.199,118.33,1263
175.966,175.966,345.30,623
177.036,177.036,149.23,627
178.094,178.094,227.93,644
179.039,179.039,196.33,1235
180.682,180.682,176.49,1134
183.781,183.781,290.00,237
188.755,188.755,319.76,440
190.494,190.494,152.26,428
191.844,191.844,111.61,589
193.243,193.243,235.49,426
196.732,196.732,128.21,426
198.480,198.480,125.28,873
201.349,201.349,278.99,337
203.892,203.892,373.07,383
205.523,205.523,254.59,316
206.531,206.531,92.20,584
208.247,208.247,464.84,284
213.142,213.142,187.53,200
213.755,213.755,213.43,329
218.294,218.294,213.68,231
218.524,218.524,131.84,687
219.437,219.437,277.71,315
223.113,223.113,525.61,172
223.444,223.444,244.30,329
227.421,227.421,210.48,539
228.120,228.120,174.05,501
229.305,229.305,161.39,579
231.230,231.230,402.13,247
233.871,233.871,413.95,378
236.807,236.807,496.06,49
237.635,237.635,119.48,703
240.010,240.010,84.67,704
240.873,240.873,107.29,567
242.245,242.245,103.51,1072
243.004,243.004,84.79,1100
244.731,244.731,124.39,1398
245.684,245.684,96.69,1071
246.270,246.270,157.76,1655
247.734,247.734,276.72,505
249.253,249.253,219.88,590
250.936,250.936,146.14,1495
253.752,253.752,478.09,173
257.468,257.468,233.50,605
260.924,260.924,241.15,477
265.204,265.204,304.98,341
267.712,267.712,352.06,96
268.915,268.915,201.78,362
271.321,271.321,286.11,334
273.854,273.854,246.96,526
275.406,275.406,144.47,150
279.952,279.952,234.58,259
280.442,280.442,137.99,340
281.229,281.229,143.21,467
283.387,283.387,189.22,602
285.750,285.750,254.23,428
288.154,288.154,220.37,372
289.369,289.369,166.57,572
291.241,291.241,172.56,389
292.875,292.875,223.39,340
296.241,296.241,477.32,220
298.224,298.224,331.79,360
