since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,397.43,207
2.028,2.028,264.24,359
3.442,3.442,222.94,251
4.568,4.568,293.18,601
5.248,5.248,166.99,705
8.195,8.195,639.04,381
9.750,9.750,686.70,169
10.879,10.879,353.21,436
11.303,11.303,234.77,981
13.571,13.571,689.66,232
14.922,14.922,195.91,481
17.601,17.601,401.67,221
18.633,18.633,373.44,579
20.737,20.737,682.53,139
21.216,21.216,216.75,813
22.261,22.261,505.15,533
24.145,24.145,651.43,124
30.950,30.950,442.88,110
33.962,33.962,559.60,213
34.861,34.861,255.33,268
35.815,35.815,235.27,218
37.815,37.815,551.57,287
38.709,38.709,246.56,417
40.910,40.910,387.82,92
41.638,41.638,274.12,454
44.469,44.469,265.38,350
46.980,46.980,544.16,178
49.200,49.200,398.56,97
50.814,50.814,183.43,492
52.290,52.290,234.59,551
53.795,53.795,265.38,582
57.007,57.007,374.02,294
59.130,59.130,794.34,105
60.910,60.910,634.98,16
61.789,61.789,342.10,274
64.456,64.456,488.27,180
66.411,66.411,289.27,320
68.910,68.910,359.36,141
69.904,69.904,202.07,192
71.112,71.112,543.79,321
74.295,74.295,443.10,132
75.209,75.209,240.22,411
76.197,76.197,166.66,684
78.721,78.721,350.37,366
82.191,82.191,224.45,543
84.843,84.843,583.24,112
86.229,86.229,281.10,234
87.452,87.452,273.07,648
89.755,89.755,429.18,481
95.082,95.082,702.06,223
96.328,96.328,461.13,112
96.650,96.650,267.83,689
98.611,98.611,518.54,324
102.411,102.411,878.23,95
104.292,104.292,637.53,288
104.771,104.771,319.71,383
106.082,106.082,371.33,201
107.431,107.431,215.66,325
108.583,108.583,257.73,253
113.495,113.495,573.43,171
114.214,114.214,379.09,448
118.632,118.632,551.53,243
119.202,119.202,227.15,441
119.873,119.873,202.57,492
122.884,122.884,532.37,135
123.710,123.710,285.48,506
127.246,127.246,834.53,26
128.433,128.433,312.87,127
129.769,129.769,308.84,372
132.815,132.815,667.09,56
136.369,136.369,816.31,81
141.572,141.572,485.31,360
143.636,143.636,475.66,190
145.461,145.461,396.79,209
146.660,146.660,236.80,265
148.762,148.762,254.92,440
151.010,151.010,256.10,214
153.883,153.883,428.71,150
154.574,154.574,195.25,416
155.629,155.629,446.62,201
156.938,156.938,442.66,312
158.083,158.083,487.73,108
159.129,159.129,278.31,214
164.673,164.673,474.51,133
165.240,165.240,263.91,362
166.821,166.821,395.31,299
168.797,168.797,285.14,349
170.498,170.498,830.27,183
173.622,173.622,565.62,91
174.135,174.135,209.46,478
176.284,176.284,308.76,355
177.738,177.738,631.08,178
180.604,180.604,1060.63,78
183.375,183.375,633.81,71
185.525,185.525,501.93,167
187.172,187.172,316.86,202
188.857,188.857,342.50,121
190.645,190.645,331.04,135
191.659,191.659,301.87,296
192.922,192.922,382.53,223
194.650,194.650,320.97,319
195.368,195.368,149.88,710
196.836,196.836,242.33,1120
198.274,198.274,143.85,774
200.226,200.226,364.57,959
201.476,201.476,127.39,1642
202.920,202.920,119.55,2657
203.885,203.885,130.30,3178
204.688,204.688,126.07,3650
205.796,205.796,281.52,2415
207.824,207.824,335.01,812
210.440,210.440,853.50,653
212.874,212.874,533.18,233
214.287,214.287,134.03,3304
215.907,215.907,306.19,747
217.776,217.776,201.23,3087
219.776,219.776,214.69,2728
221.913,221.913,904.84,276
223.864,223.864,366.78,1289
225.755,225.755,201.83,1954
228.431,228.431,344.71,1168
230.296,230.296,241.37,983
233.885,233.885,482.10,667
237.537,237.537,127.23,2354
238.996,238.996,300.11,1448
240.789,240.789,155.34,2992
242.425,242.425,292.50,1472
245.165,245.165,386.89,677
246.943,246.943,127.53,2059
248.905,248.905,134.42,2613
251.091,251.091,499.60,606
252.001,252.001,155.80,2598
253.655,253.655,467.25,1601
255.730,255.730,427.82,1105
257.464,257.464,488.94,502
258.716,258.716,209.97,1673
261.466,261.466,781.50,85
262.543,262.543,208.42,1634
264.105,264.105,126.02,3629
265.765,265.765,208.66,3601
267.802,267.802,176.52,1472
269.756,269.756,213.65,2623
271.764,271.764,200.60,2530
273.773,273.773,558.44,1153
275.756,275.756,154.82,3918
278.486,278.486,476.15,29
280.844,280.844,784.77,635
282.441,282.441,790.64,961
