since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,168.28,984
1.915,1.915,178.53,982
2.268,2.268,191.04,982
3.114,3.114,219.03,809
4.228,4.228,214.42,873
5.987,5.987,219.31,49
9.339,9.339,217.11,817
10.588,10.588,215.24,703
12.188,12.188,178.82,557
14.359,14.359,189.62,909
17.996,17.996,360.81,53
19.156,19.156,306.85,112
20.869,20.869,172.16,1438
21.908,21.908,169.11,1017
23.127,23.127,200.72,1539
25.141,25.141,180.21,211
26.277,26.277,157.16,1722
27.870,27.870,514.95,76
30.668,30.668,558.99,894
32.917,32.917,281.40,821
35.086,35.086,374.86,757
37.668,37.668,515.08,627
41.114,41.114,124.94,401
42.272,42.272,374.72,733
44.276,44.276,162.58,937
46.687,46.687,437.31,22
48.188,48.188,369.59,800
50.488,50.488,201.29,986
53.882,53.882,181.45,24
54.930,54.930,336.91,890
56.595,56.595,173.06,740
57.876,57.876,206.93,1128
60.316,60.316,323.13,700
62.194,62.194,177.16,1684
63.515,63.515,183.87,137
66.207,66.207,547.56,676
68.171,68.171,168.29,243
70.380,70.380,197.73,1261
72.885,72.885,157.58,851
74.868,74.868,189.93,181
76.509,76.509,184.09,326
78.590,78.590,392.34,720
80.310,80.310,260.86,1163
82.708,82.708,274.96,659
85.709,85.709,272.93,972
87.341,87.341,202.25,1030
92.070,92.070,233.86,523
92.682,92.682,173.25,1053
93.445,93.445,206.07,705
95.008,95.008,254.79,584
97.308,97.308,360.64,477
100.549,100.549,453.00,6
102.108,102.108,208.16,690
103.945,103.945,279.98,432
106.678,106.678,324.77,492
108.749,108.749,365.15,277
109.589,109.589,185.96,498
113.642,113.642,367.58,505
114.412,114.412,317.57,342
115.626,115.626,350.44,478
119.148,119.148,434.31,10
120.432,120.432,337.43,257
122.345,122.345,222.85,498
125.896,125.896,251.26,143
127.548,127.548,293.19,369
129.740,129.740,175.90,523
131.548,131.548,219.81,467
132.956,132.956,317.12,283
133.709,133.709,234.79,300
141.677,141.677,186.53,437
144.006,144.006,273.09,162
145.229,145.229,314.77,344
146.596,146.596,240.87,65
147.618,147.618,203.14,508
150.308,150.308,188.56,715
151.989,151.989,196.02,640
155.068,155.068,214.06,796
157.380,157.380,277.22,15
158.143,158.143,178.87,521
161.734,161.734,208.16,247
162.396,162.396,225.14,36
162.974,162.974,200.41,631
165.432,165.432,271.77,727
167.588,167.588,284.38,257
168.798,168.798,251.51,725
170.508,170.508,227.52,463
173.695,173.695,198.83,373
176.060,176.060,256.21,911
178.229,178.229,251.91,818
179.568,179.568,371.81,48
180.726,180.726,115.73,843
183.526,183.526,351.76,408
186.048,186.048,494.21,270
187.708,187.708,483.87,334
189.238,189.238,150.90,458
190.660,190.660,191.25,611
193.316,193.316,230.51,156
195.564,195.564,209.34,151
197.588,197.588,156.40,817
200.276,200.276,195.19,57
201.484,201.484,290.43,515
203.598,203.598,316.62,560
204.972,204.972,163.57,500
206.908,206.908,178.15,495
208.740,208.740,112.30,614
211.666,211.666,199.83,596
213.915,213.915,257.00,192
214.963,214.963,197.20,586
216.948,216.948,145.56,660
218.820,218.820,206.20,746
220.748,220.748,289.89,142
222.949,222.949,270.49,14
224.726,224.726,144.88,811
225.882,225.882,234.76,985
227.427,227.427,170.78,1165
229.332,229.332,142.28,1317
230.714,230.714,177.60,653
234.091,234.091,345.61,727
236.304,236.304,199.83,343
238.726,238.726,174.08,1224
240.307,240.307,165.22,684
241.750,241.750,264.57,972
243.266,243.266,311.91,771
245.647,245.647,457.10,1013
247.098,247.098,287.41,1187
249.396,249.396,316.65,536
251.676,251.676,188.23,1129
253.307,253.307,271.96,681
254.804,254.804,203.98,1109
257.767,257.767,286.15,473
259.769,259.769,627.83,684
261.869,261.869,345.61,225
266.521,266.521,556.73,516
267.676,267.676,445.87,716
269.988,269.988,237.91,83
273.586,273.586,261.17,1261
274.412,274.412,276.38,910
275.028,275.028,313.18,689
277.188,277.188,215.44,617
280.106,280.106,489.04,45
281.579,281.579,195.64,949
283.084,283.084,266.95,120
285.627,285.627,227.73,944
287.016,287.016,315.85,735
288.672,288.672,147.01,1252
290.555,290.555,213.09,927
295.364,295.364,742.21,51
296.167,296.167,359.17,267
297.326,297.326,341.45,577
299.821,299.821,622.11,309
