since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,61.77,5146
1.057,1.057,33.81,10920
1.124,1.124,33.30,10920
1.166,1.166,31.89,10920
1.250,1.250,32.16,10920
1.290,1.290,31.06,10920
1.329,1.329,30.00,10920
1.374,1.374,30.73,10920
2.309,2.309,29.47,10920
4.301,4.301,29.07,10920
6.660,6.660,32.52,10920
8.665,8.665,30.91,1284
10.665,10.665,40.37,1284
12.664,12.664,35.73,1284
14.667,14.667,33.41,1284
16.694,16.694,34.29,1284
18.680,18.680,32.54,1284
20.711,20.711,41.35,1284
22.662,22.662,36.38,1284
24.674,24.674,33.95,1284
26.703,26.703,31.53,1284
28.667,28.667,31.77,940
30.676,30.676,31.88,940
32.689,32.689,30.08,797
34.726,34.726,30.75,797
36.662,36.662,30.18,833
38.672,38.672,29.73,833
40.717,40.717,28.60,881
42.666,42.666,38.98,881
44.662,44.662,35.90,881
46.694,46.694,34.61,881
48.712,48.712,32.70,881
50.783,50.783,44.73,881
52.901,52.901,68.92,881
55.006,55.006,113.30,881
57.127,57.127,190.70,881
59.098,59.098,259.27,881
61.182,61.182,340.19,881
63.280,63.280,383.15,881
64.962,64.962,466.79,881
67.291,67.291,503.02,881
69.358,69.358,547.61,881
71.340,71.340,597.91,881
73.411,73.411,619.17,881
75.401,75.401,651.99,881
77.477,77.477,680.63,881
79.473,79.473,718.99,881
81.298,81.298,777.84,37
83.531,83.531,835.15,37
85.601,85.601,896.27,37
87.790,87.790,942.49,37
