since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,72.22,131
1.045,1.045,217.41,895
1.473,1.473,142.43,1259
2.319,2.319,140.10,1274
3.898,3.898,192.65,381
5.407,5.407,187.67,1279
7.325,7.325,180.09,1202
10.117,10.117,140.96,1316
21.538,21.538,193.67,1247
27.365,27.365,225.44,1313
30.689,30.689,222.25,1115
31.218,31.218,107.82,1161
31.830,31.830,158.34,1225
34.204,34.204,202.30,1213
38.172,38.172,209.44,1288
40.550,40.550,233.80,1257
42.909,42.909,182.81,771
45.075,45.075,201.88,1295
47.437,47.437,215.92,1225
50.490,50.490,196.96,1142
52.419,52.419,198.55,1264
54.829,54.829,196.07,1203
56.352,56.352,214.67,1273
58.100,58.100,195.70,1209
59.933,59.933,191.94,1301
62.070,62.070,207.40,1265
64.196,64.196,164.14,1205
66.035,66.035,199.87,1171
67.909,67.909,210.24,435
69.647,69.647,199.82,1061
71.445,71.445,204.69,1201
73.829,73.829,93.37,1280
75.689,75.689,189.26,1270
78.141,78.141,203.29,1195
79.780,79.780,197.45,1271
82.403,82.403,199.76,1202
84.409,84.409,86.54,1148
87.528,87.528,205.90,1264
89.447,89.447,187.80,128
91.212,91.212,195.13,1295
93.302,93.302,213.79,1204
95.439,95.439,182.59,628
97.746,97.746,208.77,1272
100.104,100.104,214.38,1249
101.742,101.742,190.70,1157
103.559,103.559,204.06,1196
105.532,105.532,194.68,892
107.276,107.276,228.77,1245
108.858,108.858,198.23,117
111.370,111.370,178.96,1271
113.819,113.819,199.54,1138
115.575,115.575,109.92,1307
117.688,117.688,203.88,1200
119.044,119.044,180.88,1240
119.969,119.969,146.65,1269
121.915,121.915,204.26,1292
124.738,124.738,211.64,1278
128.610,128.610,231.83,1223
129.939,129.939,175.51,1254
130.756,130.756,180.19,1214
131.564,131.564,154.35,1186
132.454,132.454,162.63,1228
133.403,133.403,204.42,1216
136.528,136.528,112.34,1176
140.945,140.945,201.95,953
143.361,143.361,227.77,1233
144.183,144.183,182.68,1280
144.946,144.946,104.36,1125
146.952,146.952,86.66,1292
147.655,147.655,151.78,1275
149.947,149.947,214.29,1295
155.713,155.713,189.12,1269
157.941,157.941,145.79,1192
159.531,159.531,161.62,1209
161.455,161.455,237.77,1223
162.079,162.079,115.79,1283
163.888,163.888,234.21,1171
164.783,164.783,158.17,1228
166.415,166.415,120.34,1181
169.844,169.844,211.95,1306
172.397,172.397,209.43,1197
174.216,174.216,158.15,1149
175.500,175.500,182.00,1300
176.868,176.868,210.11,1124
178.377,178.377,144.43,1164
180.045,180.045,198.26,1246
183.861,183.861,199.35,1178
186.500,186.500,181.46,1175
189.594,189.594,162.77,1132
191.180,191.180,195.76,1288
193.012,193.012,200.14,1156
196.000,196.000,201.72,1167
198.454,198.454,217.26,1221
200.467,200.467,189.28,1074
201.685,201.685,175.93,1286
203.567,203.567,202.17,1308
205.226,205.226,206.77,1307
206.715,206.715,177.15,1168
208.088,208.088,211.97,1277
209.436,209.436,192.26,1258
210.859,210.859,206.61,1291
213.346,213.346,201.57,1145
216.109,216.109,116.16,1195
219.193,219.193,201.04,1218
221.923,221.923,225.96,1264
224.599,224.599,203.12,1204
226.688,226.688,141.68,1207
228.920,228.920,221.40,100
230.642,230.642,177.08,1248
232.370,232.370,197.59,1273
234.487,234.487,205.06,1284
236.027,236.027,157.81,1295
238.474,238.474,212.72,1223
239.697,239.697,192.02,1308
241.616,241.616,203.31,1128
244.678,244.678,179.98,1141
245.738,245.738,167.17,1250
248.864,248.864,200.76,1288
249.563,249.563,149.05,1275
250.293,250.293,199.68,289
250.813,250.813,138.03,1313
253.152,253.152,206.13,1266
256.098,256.098,156.40,1156
257.921,257.921,203.67,1286
259.775,259.775,205.51,1215
261.174,261.174,163.53,1285
262.719,262.719,176.27,1318
265.770,265.770,101.68,1177
268.468,268.468,202.27,1259
270.636,270.636,208.79,1100
272.549,272.549,195.50,1226
274.776,274.776,213.22,1165
277.476,277.476,200.82,1199
279.874,279.874,237.66,1263
282.134,282.134,170.12,1286
283.873,283.873,201.30,1280
286.128,286.128,211.34,1305
288.253,288.253,112.90,1295
290.023,290.023,190.03,1271
291.536,291.536,216.31,1188
292.921,292.921,235.30,1268
295.237,295.237,194.22,1320
297.587,297.587,204.30,1206
