since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,137.59,3228
0.595,0.595,136.21,3195
0.955,0.955,123.78,150
1.263,1.263,141.22,3489
1.744,1.744,131.80,3122
2.260,2.260,131.66,3276
3.564,3.564,125.00,2965
4.434,4.434,103.22,4162
5.420,5.420,164.11,4353
6.446,6.446,161.55,4427
7.297,7.297,134.59,1014
8.358,8.358,164.50,4481
9.893,9.893,178.54,4438
11.933,11.933,163.56,4432
13.892,13.892,166.67,4994
15.913,15.913,172.14,3741
18.601,18.601,110.14,5180
20.738,20.738,156.80,4971
22.314,22.314,155.76,5188
24.323,24.323,167.51,7290
25.893,25.893,115.79,1296
27.891,27.891,218.94,4579
29.894,29.894,202.65,4304
32.458,32.458,1390.62,779
33.894,33.894,190.08,7194
35.965,35.965,175.53,2238
37.894,37.894,180.34,8273
40.143,40.143,168.24,8061
42.142,42.142,178.73,7610
44.162,44.162,175.32,8285
46.146,46.146,174.51,6040
48.361,48.361,197.23,9042
49.984,49.984,212.96,89
52.145,52.145,127.88,104
54.591,54.591,214.89,78
57.729,57.729,140.91,2632
59.883,59.883,193.08,10793
61.022,61.022,168.03,11046
62.169,62.169,120.18,1114
64.143,64.143,228.59,7403
66.145,66.145,160.00,443
67.949,67.949,195.66,100
70.144,70.144,114.94,8299
72.054,72.054,158.28,1011
73.940,73.940,160.81,129
75.994,75.994,126.47,715
78.143,78.143,168.56,2271
80.165,80.165,122.81,538
82.188,82.188,198.79,10181
84.040,84.040,112.47,889
85.987,85.987,113.74,1094
88.144,88.144,224.93,7344
90.143,90.143,190.68,9636
92.086,92.086,163.96,1570
94.144,94.144,118.05,429
96.144,96.144,160.61,724
98.144,98.144,221.28,4951
100.144,100.144,125.52,93
102.162,102.162,166.01,9552
104.144,104.144,160.57,9799
106.145,106.145,192.93,10182
108.143,108.143,136.55,10057
110.142,110.142,197.20,9568
112.143,112.143,158.47,1661
114.149,114.149,154.48,2403
116.143,116.143,176.55,9546
118.187,118.187,114.10,957
120.143,120.143,200.96,8767
122.142,122.142,178.71,7827
124.155,124.155,177.06,8992
126.159,126.159,161.43,269
128.142,128.142,118.62,8510
130.144,130.144,184.28,8366
132.064,132.064,114.05,1112
134.143,134.143,143.90,6758
136.182,136.182,127.54,819
138.144,138.144,228.58,5387
140.148,140.148,239.86,5434
142.184,142.184,185.96,9085
144.161,144.161,226.90,6550
146.143,146.143,220.98,6477
148.157,148.157,173.98,832
150.144,150.144,176.21,8461
152.144,152.144,122.06,67
154.144,154.144,194.41,8253
156.143,156.143,160.34,8602
158.145,158.145,181.05,4517
160.143,160.143,149.66,9646
162.171,162.171,148.03,1464
164.145,164.145,186.50,272
166.144,166.144,116.14,930
168.143,168.143,164.69,53
170.146,170.146,124.92,1372
172.146,172.146,188.26,9321
174.146,174.146,129.91,91
176.145,176.145,210.78,4543
178.145,178.145,214.18,402
180.145,180.145,124.72,252
182.145,182.145,149.38,939
184.144,184.144,150.17,3279
186.144,186.144,171.57,101
188.147,188.147,231.00,6431
190.146,190.146,112.23,979
192.159,192.159,124.01,544
194.146,194.146,137.53,686
196.148,196.148,177.70,1211
198.144,198.144,204.49,8117
200.145,200.145,116.49,487
202.144,202.144,106.32,8879
204.143,204.143,124.88,7376
206.145,206.145,108.59,7420
208.145,208.145,114.20,9021
210.144,210.144,119.44,10327
212.146,212.146,174.59,7638
214.148,214.148,110.69,9141
216.936,216.936,118.61,832
218.518,218.518,225.71,10398
220.620,220.620,156.16,322
222.147,222.147,160.11,993
224.148,224.148,209.09,5938
227.316,227.316,113.43,10526
230.686,230.686,184.97,749
232.982,232.982,139.74,449
234.133,234.133,169.21,1229
234.829,234.829,205.06,7708
236.147,236.147,181.87,10652
238.636,238.636,181.88,9872
240.286,240.286,146.37,1949
242.147,242.147,183.41,9222
244.145,244.145,199.61,8889
246.194,246.194,118.64,1401
248.146,248.146,123.31,776
250.145,250.145,134.36,1503
252.146,252.146,123.88,3384
254.145,254.145,127.20,66
256.145,256.145,115.06,521
258.144,258.144,164.49,9369
260.144,260.144,131.66,3335
262.144,262.144,107.72,5197
264.145,264.145,107.77,12541
266.144,266.144,227.11,6595
268.144,268.144,101.35,11781
270.144,270.144,117.43,2898
272.144,272.144,109.39,993
274.145,274.145,123.22,12642
276.144,276.144,101.37,4704
278.145,278.145,114.47,807
280.144,280.144,170.44,9803
282.147,282.147,228.46,7256
284.144,284.144,144.28,3607
286.145,286.145,122.34,131
288.146,288.146,138.80,1899
290.302,290.302,100.66,4282
292.396,292.396,229.21,10074
294.395,294.395,175.05,2115
296.393,296.393,125.93,3785
298.395,298.395,100.55,4102
