seqno,timestamp,lost,rtt
0,1764013800406494568,0,22383430
1,1764013800416751568,0,39401648
2,1764013800426497067,0,29643377
3,1764013800436509567,0,19669224
4,1764013800446528567,0,17020887
5,1764013800456472667,0,31877520
6,1764013800466604666,0,29389205
7,1764013800476864066,0,19149991
8,1764013800486678166,0,21354246
9,1764013800496512466,0,27558516
10,1764013800506737765,0,17378937
11,1764013800516495565,0,19957369
12,1764013800526496365,0,21674228
13,1764013800536563565,0,20003293
14,1764013800546634464,0,18147534
15,1764013800556715964,0,23634290
16,1764013800566843864,0,29822360
17,1764013800576888364,0,19818506
18,1764013800587028563,0,21066378
19,1764013800596815663,0,20184928
20,1764013800607079063,0,21373621
21,1764013800616878963,0,29587199
22,1764013800626754763,0,19752300
23,1764013800636767462,0,23743706
24,1764013800646665862,0,34308166
25,1764013800656250062,0,29840463
26,1764013800666258862,0,23724529
27,1764013800676900061,0,21528932
28,1764013800686254761,0,18230235
29,1764013800696592361,0,24972845
30,1764013800706215761,0,23845005
31,1764013800716721560,0,20857652
32,1764013800726866460,0,18296849
33,1764013800736809060,0,24978272
34,1764013800746585760,0,19274267
35,1764013800756260559,0,20394156
36,1764013800766286759,0,21759613
37,1764013800776777059,0,20710431
38,1764013800786623459,0,18124650
39,1764013800796645358,0,19480955
40,1764013800806315458,0,23450740
41,1764013800816241658,0,20297352
42,1764013800826238758,0,18292997
43,1764013800836608557,0,23926324
44,1764013800846631557,0,31314089
45,1764013800856247757,0,21731549
46,1764013800866906657,0,18730519
47,1764013800876741956,0,28687203
48,1764013800886538656,0,26757645
49,1764013800896587656,0,25315153
50,1764013800906993956,0,21912400
51,1764013800916807855,0,27385174
52,1764013800926357055,0,23316973
53,1764013800936324655,0,21122140
54,1764013800946517655,0,18037498
55,1764013800956280555,0,24636760
56,1764013800966736854,0,17599960
57,1764013800976513854,0,20109169
58,1764013800986501654,0,18157529
59,1764013800996321054,0,24197986
60,1764013801006438653,0,22420018
61,1764013801016403153,0,36297665
62,1764013801026481453,0,26239874
63,1764013801036438353,0,20115169
64,1764013801046478852,0,18098727
65,1764013801056442252,0,15541308
66,1764013801066461552,0,21531118
67,1764013801076504652,0,19956987
68,1764013801086509252,0,18082514
69,1764013801096513252,0,24152060
70,1764013801106502252,0,22073525
71,1764013801116515652,0,19917830
72,1764013801126448352,0,18170181
73,1764013801136458351,0,23064167
74,1764013801146488651,0,18167155
75,1764013801156487151,0,22970225
76,1764013801166508651,0,22480303
77,1764013801176476751,0,20059299
78,1764013801186630551,0,18833713
79,1764013801196595951,0,19993215
80,1764013801206699951,0,20975042
81,1764013801216483751,0,16034957
82,1764013801226459951,0,22748725
83,1764013801236819251,0,19987198
84,1764013801246470051,0,18716954
85,1764013801256658251,0,28815460
86,1764013801266365751,0,19133534
87,1764013801276639051,0,20469359
88,1764013801286466051,0,18834766
89,1764013801296724351,0,27944528
90,1764013801306463351,0,18228386
91,1764013801316476851,0,24836746
92,1764013801326737751,0,22090660
93,1764013801336488051,0,20543134
94,1764013801346516051,0,22702996
95,1764013801356289751,0,20649915
96,1764013801366533951,0,22439463
97,1764013801376806151,0,19964814
98,1764013801386519951,0,18045873
99,1764013801396385951,0,20287119
100,1764013801406560951,0,18730365
101,1764013801416447751,0,19394300
102,1764013801426428551,0,26659626
103,1764013801436743651,0,24406342
104,1764013801446464651,0,21898356
105,1764013801466484651,0,16392317
106,1764013801476789651,0,24568230
107,1764013801486362851,0,22414933
108,1764013801496641651,0,20798667
109,1764013801506563851,0,30590852
110,1764013801516271651,0,20907942
111,1764013801526710651,0,18760897
112,1764013801536606650,0,24674875
113,1764013801546760350,0,22979735
114,1764013801556817950,0,20400614
115,1764013801566865950,0,19316364
116,1764013801576687550,0,28540454
117,1764013801586366950,0,18897789
118,1764013801596548150,0,20239909
119,1764013801606462450,0,18734385
120,1764013801616465550,0,24611730
121,1764013801626424150,0,18741791
122,1764013801636538750,0,24655698
123,1764013801646430150,0,26340644
124,1764013801656873450,0,23226840
125,1764013801666597250,0,22330759
126,1764013801676526550,0,20619429
127,1764013801686617350,0,18527753
128,1764013801696527350,0,24498157
129,1764013801706618350,0,30255796
130,1764013801716659450,0,20240789
131,1764013801726330350,0,23929058
132,1764013801736581750,0,20469222
133,1764013801746525750,0,19011344
134,1764013801756958650,0,23248582
135,1764013801766544250,0,23018330
136,1764013801776813250,0,20440726
137,1764013801786880950,0,18584199
138,1764013801796346350,0,20700423
139,1764013801815913450,0,17561542
140,1764013801826528050,0,22752429
141,1764013801837118450,0,19836025
142,1764013801846570450,0,16387027
143,1764013801856794650,0,24329603
144,1764013801866315750,0,23322872
145,1764013801876869850,0,33281257
146,1764013801886672250,0,29915946
147,1764013801896287650,0,28302197
148,1764013801906777650,0,26322796
149,1764013801916740150,0,24186965
150,1764013801926637350,0,30352894
151,1764013801936566849,0,20452515
152,1764013801946299249,0,19063504
153,1764013801956514349,0,28435748
154,1764013801966675349,0,24802440
155,1764013801976626549,0,24374858
156,1764013801986399349,0,31107672
157,1764013801996706749,0,20845479
158,1764013802006462249,0,19040888
