since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,24.01,22032
0.010,0.010,21.34,22032
0.020,0.020,24.18,22032
0.030,0.030,21.07,22032
0.041,0.041,23.04,22032
0.050,0.050,21.38,22032
0.060,0.060,23.38,22032
0.070,0.070,21.00,22032
0.080,0.080,27.35,22032
0.100,0.100,23.63,22032
0.110,0.110,21.07,136418
0.120,0.120,23.17,136418
0.130,0.130,25.24,136418
0.140,0.140,23.15,136418
0.150,0.150,20.95,136418
0.160,0.160,23.95,136418
0.170,0.170,21.82,136418
0.180,0.180,23.41,136418
0.190,0.190,25.94,136418
0.200,0.200,24.33,136418
0.210,0.210,21.13,159135
0.220,0.220,23.81,159135
0.230,0.230,26.83,159135
0.240,0.240,23.58,159135
0.250,0.250,22.91,159135
0.260,0.260,26.97,159135
0.270,0.270,26.35,159135
0.280,0.280,26.64,159135
0.290,0.290,22.51,159135
0.300,0.300,25.99,159135
0.310,0.310,22.34,158419
0.320,0.320,24.30,158419
0.330,0.330,26.33,158419
0.340,0.340,24.59,158419
0.350,0.350,22.66,158419
0.360,0.360,24.83,158419
0.370,0.370,22.64,158419
0.380,0.380,24.96,158419
0.390,0.390,22.71,158419
0.400,0.400,20.37,158419
0.410,0.410,22.57,160440
0.420,0.420,24.85,160440
0.430,0.430,22.71,160440
0.440,0.440,24.12,160440
0.450,0.450,23.10,160440
0.460,0.460,25.04,160440
0.470,0.470,26.94,160440
0.480,0.480,24.68,160440
0.490,0.490,26.80,160440
0.500,0.500,24.58,160440
0.510,0.510,22.64,135165
0.520,0.520,25.02,135165
0.530,0.530,22.35,135165
0.540,0.540,24.42,135165
0.550,0.550,29.72,135165
0.560,0.560,22.87,135165
0.570,0.570,26.58,135165
0.580,0.580,24.55,135165
0.590,0.590,29.72,135165
0.600,0.600,28.68,135165
0.610,0.610,26.78,129671
0.620,0.620,23.16,129671
0.630,0.630,29.46,129671
0.640,0.640,24.27,129671
0.650,0.650,22.21,129671
0.660,0.660,24.40,129671
0.670,0.670,25.10,129671
0.680,0.680,24.22,129671
0.690,0.690,22.06,129671
0.700,0.700,22.56,129671
0.710,0.710,20.86,125685
0.720,0.720,24.34,125685
0.730,0.730,22.18,125685
0.740,0.740,26.93,125685
0.750,0.750,21.12,125685
0.760,0.760,24.41,125685
0.770,0.770,22.21,125685
0.780,0.780,23.18,125685
0.790,0.790,22.25,125685
0.800,0.800,20.41,125685
0.810,0.810,22.34,134109
0.820,0.820,23.50,134109
0.830,0.830,22.78,134109
0.840,0.840,24.71,134109
0.850,0.850,22.61,134109
0.860,0.860,27.17,134109
0.870,0.870,22.58,134109
0.880,0.880,25.16,134109
0.890,0.890,26.00,134109
0.900,0.900,20.14,134109
0.910,0.910,22.38,138920
0.920,0.920,24.72,138920
0.930,0.930,25.48,138920
0.940,0.940,24.94,138920
0.950,0.950,22.57,138920
0.960,0.960,28.61,138920
0.970,0.970,25.99,138920
0.980,0.980,24.57,138920
0.990,0.990,22.66,138920
1.000,1.000,24.82,138920
1.010,1.010,22.65,155533
1.020,1.020,24.43,155533
1.030,1.030,25.93,155533
1.040,1.040,24.65,155533
1.050,1.050,22.45,155533
1.060,1.060,29.05,155533
1.070,1.070,19.27,155533
1.080,1.080,24.46,155533
1.090,1.090,22.62,155533
1.100,1.100,24.14,131777
1.110,1.110,26.34,131777
1.120,1.120,23.57,131777
