since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,40.00,263379
1.000,1.000,40.00,275284
2.000,2.000,40.00,244260
3.000,3.000,40.00,254737
4.000,4.000,40.00,245876
5.000,5.000,40.00,295537
6.000,6.000,40.00,308824
7.000,7.000,40.00,188205
8.000,8.000,40.00,254292
9.000,9.000,40.00,238723
10.000,10.000,40.00,239545
11.000,11.000,40.00,254628
12.000,12.000,40.00,262242
13.000,13.000,40.00,236641
14.000,14.000,40.00,257596
15.000,15.000,40.00,276549
16.000,16.000,40.00,291587
17.000,17.000,40.00,267968
18.000,18.000,40.00,302254
19.000,19.000,40.00,260521
20.000,20.000,40.00,265265
21.000,21.000,40.00,246968
22.000,22.000,40.00,261968
23.000,23.000,40.00,296692
24.000,24.000,40.00,297425
25.000,25.000,40.00,251453
26.000,26.000,40.00,259596
27.000,27.000,40.00,278845
28.000,28.000,40.00,232084
29.000,29.000,40.00,174833
30.000,30.000,40.00,222654
31.000,31.000,40.00,248706
32.000,32.000,40.00,218738
33.000,33.000,40.00,218245
34.000,34.000,40.00,387199
35.000,35.000,40.00,359853
36.000,36.000,40.00,382913
37.000,37.000,40.00,381284
38.000,38.000,40.00,355957
39.000,39.000,40.00,285558
40.000,40.000,40.00,323422
41.000,41.000,40.00,360468
42.000,42.000,40.00,382192
43.000,43.000,40.00,319361
44.000,44.000,40.00,300570
45.000,45.000,40.00,318203
46.000,46.000,40.00,307185
47.000,47.000,40.00,317112
48.000,48.000,40.00,317273
49.000,49.000,40.00,233256
50.000,50.000,40.00,286032
51.000,51.000,40.00,310380
52.000,52.000,40.00,294318
53.000,53.000,40.00,289204
54.000,54.000,40.00,281074
55.000,55.000,40.00,292890
56.000,56.000,40.00,297837
57.000,57.000,40.00,300002
58.000,58.000,40.00,304403
59.000,59.000,40.00,290523
60.000,60.000,40.00,408033
61.000,61.000,40.00,381120
62.000,62.000,40.00,361024
63.000,63.000,40.00,345701
64.000,64.000,40.00,398919
65.000,65.000,40.00,413260
66.000,66.000,40.00,425662
67.000,67.000,40.00,334337
68.000,68.000,40.00,350299
69.000,69.000,40.00,386996
70.000,70.000,40.00,353710
71.000,71.000,40.00,364895
72.000,72.000,40.00,345214
73.000,73.000,40.00,422390
74.000,74.000,40.00,334268
75.000,75.000,40.00,317980
76.000,76.000,40.00,331922
77.000,77.000,40.00,320397
78.000,78.000,40.00,328600
79.000,79.000,40.00,319131
80.000,80.000,40.00,348737
81.000,81.000,40.00,339147
82.000,82.000,40.00,279370
83.000,83.000,40.00,315487
84.000,84.000,40.00,316524
85.000,85.000,40.00,276321
86.000,86.000,40.00,0
87.000,87.000,40.00,0
88.000,88.000,40.00,0
89.000,89.000,40.00,273017
90.000,90.000,40.00,345736
91.000,91.000,40.00,51583
92.000,92.000,40.00,332673
93.000,93.000,40.00,359305
94.000,94.000,40.00,367678
95.000,95.000,40.00,306819
96.000,96.000,40.00,283285
97.000,97.000,40.00,286208
98.000,98.000,40.00,325762
99.000,99.000,40.00,354218
100.000,100.000,40.00,288843
101.000,101.000,40.00,285805
102.000,102.000,40.00,235025
103.000,103.000,40.00,251799
