since,relative_seconds,rtt
360.000,360.000,500.00
365.000,365.000,500.00
370.000,370.000,500.00
375.000,375.000,500.00
380.000,380.000,500.00
385.000,385.000,500.00
390.000,390.000,500.00
395.000,395.000,500.00
400.000,400.000,500.00
405.000,405.000,500.00
410.000,410.000,500.00
415.000,415.000,500.00
420.000,420.000,500.00
425.000,425.000,500.00
430.000,430.000,500.00
435.000,435.000,500.00
440.000,440.000,500.00
445.000,445.000,500.00
450.000,450.000,500.00
455.000,455.000,500.00
460.000,460.000,500.00
465.000,465.000,500.00
470.000,470.000,500.00
475.000,475.000,500.00
480.000,480.000,500.00
485.000,485.000,500.00
490.000,490.000,500.00
495.000,495.000,500.00
500.000,500.000,500.00
505.000,505.000,500.00
510.000,510.000,500.00
515.000,515.000,500.00
520.000,520.000,500.00
525.000,525.000,500.00
530.000,530.000,500.00
535.000,535.000,500.00
