since,relative_seconds,rtt
0.000,0.000,377.43
1.449,1.449,401.87
2.900,2.900,490.55
4.323,4.323,410.40
5.829,5.829,500.00
7.214,7.214,424.54
10.794,10.794,380.79
11.536,11.536,407.37
12.961,12.961,419.36
14.404,14.404,395.13
15.863,15.863,416.36
17.289,17.289,383.93
18.725,18.725,382.87
20.183,20.183,397.74
21.605,21.605,395.47
23.049,23.049,400.77
24.497,24.497,422.02
25.921,25.921,384.39
27.361,27.361,395.24
28.818,28.818,396.42
29.516,29.516,387.74
30.244,30.244,379.03
31.676,31.676,382.38
33.136,33.136,375.50
35.273,35.273,390.64
35.998,35.998,401.61
37.464,37.464,363.98
38.890,38.890,410.12
40.332,40.332,408.33
41.034,41.034,426.43
41.775,41.775,394.66
43.213,43.213,398.14
46.096,46.096,414.76
47.523,47.523,382.20
48.965,48.965,416.60
50.415,50.415,413.72
51.841,51.841,370.33
53.285,53.285,460.95
54.736,54.736,402.10
56.166,56.166,415.26
57.605,57.605,403.39
59.061,59.061,405.99
61.918,61.918,406.47
62.636,62.636,389.83
63.373,63.373,395.92
64.804,64.804,418.54
66.238,66.238,397.09
67.696,67.696,401.11
68.392,68.392,398.88
69.117,69.117,423.34
69.836,69.836,365.22
70.564,70.564,391.08
72.026,72.026,393.22
73.450,73.450,398.91
74.880,74.880,391.13
76.339,76.339,401.22
77.768,77.768,411.00
79.207,79.207,439.86
80.660,80.660,403.08
82.084,82.084,381.44
83.525,83.525,416.93
84.974,84.974,373.05
87.839,87.839,369.58
89.297,89.297,396.86
89.996,89.996,386.77
90.723,90.723,401.20
92.160,92.160,385.53
93.636,93.636,391.50
94.313,94.313,400.20
95.040,95.040,496.77
96.485,96.485,388.29
97.943,97.943,401.93
99.360,99.360,416.09
100.809,100.809,409.44
102.258,102.258,392.95
103.706,103.706,412.40
105.122,105.122,383.07
106.579,106.579,384.30
107.997,107.997,377.52
109.439,109.439,374.34
110.899,110.899,393.27
116.669,116.669,405.74
122.400,122.400,421.74
123.865,123.865,421.76
125.289,125.289,396.29
126.720,126.720,412.34
128.175,128.175,390.83
129.600,129.600,398.45
131.048,131.048,398.43
132.495,132.495,409.54
133.922,133.922,405.35
135.359,135.359,396.16
138.237,138.237,402.72
139.677,139.677,392.92
141.131,141.131,413.28
141.835,141.835,403.64
142.557,142.557,382.15
143.276,143.276,446.04
144.000,144.000,369.16
144.712,144.712,395.93
145.460,145.460,416.91
146.883,146.883,442.00
148.321,148.321,436.15
149.780,149.780,417.54
151.206,151.206,384.10
152.650,152.650,402.50
154.105,154.105,446.66
155.529,155.529,385.55
156.964,156.964,498.41
158.420,158.420,402.90
159.839,159.839,390.48
161.276,161.276,390.98
162.736,162.736,378.49
164.157,164.157,385.65
165.600,165.600,385.51
168.517,168.517,456.21
171.370,171.370,383.19
172.812,172.812,469.42
174.241,174.241,390.21
175.699,175.699,385.35
177.122,177.122,394.86
178.565,178.565,377.62
180.020,180.020,500.00
181.449,181.449,391.67
182.881,182.881,399.63
184.333,184.333,396.90
187.198,187.198,386.66
188.651,188.651,405.45
190.079,190.079,396.99
191.520,191.520,363.21
192.967,192.967,371.15
193.673,193.673,409.52
195.881,195.881,387.43
197.318,197.318,381.93
198.757,198.757,421.89
200.193,200.193,427.71
201.640,201.640,413.67
203.075,203.075,395.48
204.529,204.529,393.56
205.971,205.971,394.06
207.402,207.402,381.70
208.831,208.831,369.53
210.273,210.273,387.02
211.713,211.713,387.51
213.157,213.157,385.07
214.593,214.593,421.78
217.478,217.478,362.57
218.917,218.917,396.82
220.355,220.355,476.72
221.809,221.809,380.55
223.245,223.245,465.55
224.686,224.686,373.18
226.126,226.126,375.22
227.566,227.566,377.23
229.006,229.006,384.02
230.442,230.442,380.42
231.875,231.875,402.52
233.319,233.319,385.74
234.764,234.764,384.37
236.196,236.196,379.21
237.641,237.641,408.37
240.534,240.534,388.04
241.974,241.974,398.70
243.391,243.391,406.51
244.832,244.832,391.77
246.273,246.273,396.53
247.717,247.717,470.13
249.160,249.160,412.51
250.603,250.603,419.61
252.037,252.037,433.16
253.476,253.476,409.98
256.373,256.373,393.34
257.799,257.799,401.16
260.674,260.674,387.66
262.119,262.119,400.15
263.547,263.547,386.53
264.987,264.987,406.26
266.427,266.427,403.99
267.869,267.869,398.22
269.314,269.314,416.50
270.764,270.764,405.10
272.195,272.195,441.32
273.655,273.655,458.34
275.089,275.089,398.21
276.527,276.527,403.23
277.958,277.958,401.60
279.392,279.392,416.28
280.838,280.838,405.13
282.271,282.271,379.78
283.711,283.711,418.00
285.153,285.153,467.72
286.595,286.595,398.98
288.027,288.027,398.17
289.473,289.473,400.56
290.926,290.926,442.49
293.806,293.806,387.27
295.250,295.250,393.75
296.686,296.686,371.33
298.121,298.121,379.94
299.559,299.559,483.17
300.997,300.997,391.98
302.433,302.433,413.47
303.951,303.951,413.37
305.321,305.321,466.68
306.754,306.754,390.95
308.208,308.208,406.48
309.646,309.646,409.87
311.087,311.087,421.61
312.525,312.525,393.55
313.962,313.962,395.64
315.401,315.401,483.97
316.840,316.840,379.25
318.273,318.273,423.21
319.716,319.716,481.64
321.149,321.149,392.61
322.598,322.598,405.23
324.028,324.028,369.30
325.476,325.476,409.59
326.921,326.921,416.88
328.355,328.355,383.71
329.822,329.822,388.86
331.234,331.234,377.54
332.676,332.676,346.88
334.127,334.127,372.68
335.559,335.559,408.13
336.992,336.992,396.98
338.443,338.443,406.81
339.882,339.882,381.72
341.310,341.310,393.40
342.768,342.768,389.54
344.204,344.204,460.71
345.645,345.645,374.27
347.080,347.080,410.30
348.517,348.517,371.32
349.955,349.955,376.51
351.396,351.396,365.00
352.830,352.830,378.07
354.271,354.271,380.31
355.707,355.707,379.44
357.162,357.162,464.06
358.605,358.605,404.23
362.976,362.976,380.95
364.356,364.356,385.69
365.797,365.797,382.69
367.239,367.239,426.27
368.693,368.693,387.27
370.122,370.122,397.94
371.559,371.559,500.00
372.993,372.993,379.12
374.428,374.428,413.73
375.870,375.870,398.35
377.316,377.316,427.99
378.781,378.781,398.82
380.210,380.210,427.77
381.650,381.650,379.93
383.086,383.086,401.21
384.514,384.514,392.70
385.965,385.965,407.72
387.401,387.401,452.39
388.837,388.837,440.09
390.275,390.275,444.16
391.714,391.714,419.53
393.157,393.157,372.68
394.607,394.607,417.49
396.053,396.053,406.38
397.484,397.484,400.46
398.908,398.908,394.45
400.347,400.347,385.64
401.864,401.864,456.26
403.224,403.224,403.51
404.673,404.673,482.63
406.124,406.124,415.36
407.562,407.562,387.18
408.997,408.997,417.00
413.324,413.324,400.57
414.764,414.764,404.79
416.198,416.198,401.40
417.633,417.633,411.09
419.079,419.079,456.83
420.510,420.510,372.14
421.954,421.954,406.27
423.394,423.394,404.79
424.826,424.826,426.35
426.278,426.278,396.37
427.707,427.707,425.85
429.163,429.163,388.58
430.618,430.618,391.40
433.473,433.473,406.65
434.916,434.916,412.20
436.360,436.360,415.50
437.797,437.797,440.86
439.241,439.241,407.45
442.110,442.110,459.00
443.559,443.559,405.16
444.990,444.990,443.22
446.440,446.440,430.66
447.888,447.888,387.59
449.328,449.328,416.08
450.747,450.747,357.62
452.191,452.191,402.20
453.626,453.626,390.43
455.068,455.068,409.33
459.398,459.398,394.92
460.834,460.834,480.82
469.479,469.479,388.77
470.920,470.920,393.25
472.348,472.348,368.40
473.788,473.788,383.48
476.703,476.703,411.72
481.007,481.007,388.36
485.316,485.316,442.73
486.758,486.758,396.13
488.195,488.195,483.19
491.071,491.071,420.65
492.515,492.515,396.86
493.954,493.954,399.20
495.393,495.393,397.49
496.836,496.836,395.18
498.285,498.285,413.98
499.720,499.720,400.72
501.161,501.161,412.69
502.603,502.603,423.87
504.041,504.041,382.76
505.482,505.482,394.48
506.921,506.921,381.70
508.362,508.362,401.58
509.801,509.801,428.91
511.237,511.237,394.07
512.675,512.675,408.44
514.114,514.114,396.23
515.562,515.562,383.40
518.451,518.451,382.60
519.870,519.870,399.62
521.315,521.315,419.86
522.746,522.746,377.70
524.195,524.195,479.00
525.634,525.634,414.29
527.065,527.065,453.78
528.529,528.529,485.54
529.962,529.962,398.12
531.394,531.394,401.16
